number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
6.678849575830087e+37,5.231582739244678e+32,1.0131019567208457e+35
7.386098232197173e+37,6.597830054334585e+32,1.1210049949309366e+35
8.168240125229331e+37,8.349557299986756e+32,1.2404977385288376e+35
9.033205983175634e+37,1.0609243107803028e+33,1.3728541580323914e+35
9.989766349111721e+37,1.3553767644352627e+33,1.519498643185257e+35
1.1047620512109887e+38,1.7470160229475893e+33,1.68203555708361e+35
1.2217494855667338e+38,2.2768903181484668e+33,1.862267712540511e+35
1.3511251620621666e+38,3.0083605721660676e+33,2.06224509623317e+35
1.4942009185383061e+38,4.038045016706048e+33,2.284318283000795e+35
1.6524275083095452e+38,5.510762810232637e+33,2.531211669642499e+35
1.827409310448829e+38,7.639280659758492e+33,2.8061234821221592e+35
2.0209205978005895e+38,1.0728776371952775e+34,3.112859245989872e+35
2.23492352767514e+38,1.52050715300442e+34,3.456007076908504e+35
2.4715880376457784e+38,2.164460819944123e+34,3.841162643783971e+35
2.733313848187137e+38,3.0803351526494845e+34,4.275209274818479e+35
3.0227547952561755e+38,4.365197594481133e+34,4.766710166983253e+35
3.3428457395422493e+38,6.145823154644831e+34,5.3267517985710104e+35
3.696832325239512e+38,8.556485377600152e+34,5.9680992483681036e+35
4.088303890088328e+38,1.1764131551035906e+35,6.706853820241493e+35
4.521229860385532e+38,1.5981146939900237e+35,7.563591276441961e+35
5.000000000000033e+38,1.8162942342896172e+35,8.540807291204268e+35
