number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
9.999999999999999e+31,3.3652589265e+25,1.4901191811995715e+29
1.0903689446502015e+32,3.7823331086928633e+25,1.6248117266365215e+29
1.1889044354575942e+32,4.250123501268766e+25,1.7716802888918324e+29
1.2963444745798408e+32,4.775227397148674e+25,1.931825982537211e+29
1.413493756650741e+32,5.364358797081429e+25,2.1064491280577915e+29
1.5412296957089176e+32,6.025256642100395e+25,2.296857629102513e+29
1.680508996773684e+32,6.766049251584064e+25,2.504479805080931e+29
1.8323748212872906e+32,7.597329266579864e+25,2.7308722572918133e+29
1.997964600090625e+32,8.529875823522137e+25,2.9777308274426668e+29
2.1785185524492766e+32,9.574383118241437e+25,3.246906393365685e+29
2.3753889749350027e+32,1.0746560703773413e+26,3.540417452094841e+29
2.590050369733603e+32,1.206107610773955e+26,3.860464550766164e+29
2.8241104882372928e+32,1.3533377396307267e+26,4.2094464893277066e+29
3.0793223726348636e+32,1.5182803026337727e+26,4.589979853628724e+29
3.35759748568763e+32,1.7032202909509672e+26,5.004915985692512e+29
3.661020027029392e+32,1.910299493774585e+26,5.457367644802544e+29
3.9918625432152906e+32,2.1425194048930404e+26,5.9507264736773154e+29
4.352602948434326e+32,2.4027089771419085e+26,6.488693592199494e+29
4.745943083365692e+32,2.693822193741036e+26,7.075300340291123e+29
5.174828951179373e+32,3.0203733256421617e+26,7.714944664340025e+29
5.642472782242764e+32,3.385609226772896e+26,8.412426215994922e+29
6.152377092791529e+32,3.794784736300272e+26,9.172971297417503e+29
6.708360917757175e+32,4.2530763948660065e+26,1.000228564122408e+30
7.314588414227549e+32,4.766133904124219e+26,1.0906588441453621e+30
7.975600049771884e+32,5.3399174297320846e+26,1.1892661861933769e+30
8.696346609221864e+32,5.9829784110804864e+26,1.2967898935089678e+30
9.482226274609604e+32,6.702000908380073e+26,1.414036668982264e+30
1.0339125055980485e+33,7.507439113827587e+26,1.5418854536045345e+30
1.12734608758959e+33,8.407664939282274e+26,1.6812967475219007e+30
1.2292231637805951e+33,9.415008865479542e+26,1.8333125685711604e+30
1.3403067638310292e+33,1.0542749315257098e+27,1.9990775791061656e+30
