number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
8.208253306149148e+37,6.067482544862757e+32,1.2482493544645946e+35
9.223588141144042e+37,7.8981079875791e+32,1.4035102891392554e+35
1.0364516666867489e+38,1.0334115779159634e+33,1.5782372243988868e+35
1.16465744235247e+38,1.3679649686372502e+33,1.7749298994683073e+35
1.3087218648247448e+38,1.8419142273350124e+33,1.996445008577323e+35
1.4706065982893648e+38,2.5313667037488825e+33,2.2460681230800312e+35
1.6525159585545926e+38,3.5536748717718547e+33,2.5276087648439804e+35
1.8569269282853272e+38,5.085501639684148e+33,2.845526718517236e+35
2.086622885026297e+38,7.384872707078091e+33,3.2050988738326943e+35
2.3447315012744817e+38,1.081512385964525e+34,3.612635431387304e+35
2.634767332669984e+38,1.5867916435974034e+34,4.075752126486006e+35
2.9606796742107027e+38,2.3185089950667924e+34,4.603703674721337e+35
3.3269063361285887e+38,3.3584917533194905e+34,5.207787271668457e+35
3.73843407167082e+38,4.81020010946335e+34,5.901835834056392e+35
4.200866479605357e+38,6.804711497693845e+34,6.702833386523545e+35
4.720500306050548e+38,9.508749020971152e+34,7.631693116400646e+35
5.3044111845984385e+38,1.313457495393623e+35,8.714242482665044e+35
5.9605499822187106e+38,1.7951768298537304e+35,9.982463735611212e+35
6.6978510628446046e+38,2.430122661610845e+35,1.1476046611690522e+36
7.526353942820192e+38,3.2612009898834942e+35,1.3244322772488316e+36
8.457339994739634e+38,4.342187574831838e+35,1.5348669174420987e+36
9.503486061116723e+38,5.740268384610547e+35,1.7865490920250776e+36
1.0679037069576902e+39,7.539217334860868e+35,2.0889924235416923e+36
1.1999999999999671e+39,9.843411794143328e+35,2.4540439180104612e+36
