number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
9.22716714486531e+37,7.978273301629845e+32,1.40516515842817e+35
1.0871889437885956e+38,1.112730767041004e+33,1.6573156756155673e+35
1.2809779870021151e+38,1.5508159900546068e+33,1.955064889629503e+35
1.5093095018661878e+38,2.160073609140233e+33,2.306794370314071e+35
1.778340608143329e+38,3.597803564422698e+33,2.72308871524718e+35
2.095325918680903e+38,6.401518010170855e+33,3.2173353511110817e+35
2.4688131651448604e+38,1.1461381682067107e+34,3.807422319082932e+35
2.908873693611193e+38,1.8944701929725903e+34,4.5091377951249506e+35
3.4273740454906945e+38,3.122913830597917e+34,5.357473437563873e+35
4.0382959471575356e+38,4.966337162539235e+34,6.37905578714608e+35
4.7581133370268586e+38,7.846626878988514e+34,7.629195612459145e+35
5.606236596881514e+38,1.2334981668862272e+35,9.164623905843468e+35
6.6055359664578326e+38,1.95697986565398e+35,1.1074409632262855e+36
7.78295825553261e+38,3.1448744725421143e+35,1.348850426122427e+36
9.170253483586096e+38,5.0713996759629795e+35,1.6604661402096976e+36
1.0804831041390208e+39,8.05113742768717e+35,2.07070463676879e+36
