number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
8.039102809031011e+37,1.2298213724965234e+33,1.219465761830162e+35
9.044549431057612e+37,1.5013565540644216e+33,1.373686043004964e+35
1.0175746766038034e+38,1.7971263381175618e+33,1.5475483770575776e+35
1.144842239359905e+38,2.1355250141265037e+33,1.7435481917520114e+35
1.2880270933991744e+38,2.5606061662298815e+33,1.964532870981409e+35
1.4491200064891911e+38,3.181412991858504e+33,2.2137888717254103e+35
1.6303607307400294e+38,4.223901717905695e+33,2.495225321085984e+35
1.8342691429531293e+38,6.02909651268068e+33,2.8135897857722175e+35
2.0636802796782422e+38,9.070805682293972e+33,3.174732043432907e+35
2.321783754087659e+38,1.3945733570688043e+34,3.585901921851208e+35
2.6121681026994486e+38,2.1358940150495995e+34,4.056070841837833e+35
2.9388706785235e+38,3.2147856491000917e+34,4.596287951286528e+35
3.3064337843187157e+38,4.741985692899162e+34,5.220172521702112e+35
3.7199678264089906e+38,6.885877697355315e+34,5.9447511454974375e+35
4.185222367115804e+38,9.915791407037806e+34,6.79184736672626e+35
4.7086660636834775e+38,1.4239886715689204e+35,7.790218306746963e+35
5.2975766051264106e+38,2.040578869190885e+35,8.978197674727603e+35
5.9601418974333916e+38,2.9039855713919217e+35,1.0406341602399964e+36
6.7055739039555134e+38,4.073331891419907e+35,1.2139297290133276e+36
7.544236723755236e+38,5.594287504830217e+35,1.4256389180540896e+36
8.487790688651354e+38,7.501873259446719e+35,1.6851839847971417e+36
9.549354482410323e+38,9.840947828244408e+35,2.0036321301911393e+36
