number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
4.239386006183856e+31,1.0987308391470537e+25,6.318199008158287e+28
4.667917366539735e+31,1.2536401275251327e+25,6.956978656701892e+28
5.139766114493865e+31,1.4335203560827214e+25,7.660352697248611e+28
5.659310916911554e+31,1.640487699030657e+25,8.434849994725136e+28
6.231373050994989e+31,1.8676535469907098e+25,9.287637301852705e+28
6.861261144821008e+31,2.1308097171983537e+25,1.0226662120956364e+29
7.554820440402542e+31,2.4363611008841734e+25,1.1260649043397219e+29
8.318487036425576e+31,2.779986493725237e+25,1.2399176391397449e+29
9.159347614023946e+31,3.164929900692405e+25,1.3652810738898762e+29
1.0085205199835827e+32,3.6108584522653224e+25,1.5033226969203705e+29
1.1104651576610606e+32,4.128624860027845e+25,1.6553253430791153e+29
1.2227147013322823e+32,4.698608287265475e+25,1.8226934391645738e+29
1.3463108054673518e+32,5.3495385827924565e+25,2.0069863072392107e+29
1.482400418464891e+32,6.103642361759182e+25,2.2099185023627657e+29
1.632246426115588e+32,6.9508944961058395e+25,2.433375489014324e+29
1.79723937094275e+32,7.609308439750337e+25,2.6794204384306713e+29
1.978910356173115e+32,8.674784602173138e+25,2.950348489693699e+29
2.178945254084326e+32,9.878370652620376e+25,3.248671887829052e+29
2.399200350579837e+32,1.1253258714882992e+26,3.577165089428117e+29
2.6417195711699358e+32,1.2822961488733323e+26,3.938879619318021e+29
2.9087534482127207e+32,1.4596884519273418e+26,4.337170965145288e+29
3.202780005427429e+32,1.6628420304117046e+26,4.775745528491961e+29
3.52652775348444e+32,1.893299619654819e+26,5.258672584355852e+29
3.8830010100666604e+32,2.155302425436983e+26,5.790439686153956e+29
4.275507779367666e+32,2.455381451050255e+26,6.375993263308139e+29
4.70769044974305e+32,2.7935941813597514e+26,7.020759956534105e+29
5.18355959438335e+32,3.1804508313725614e+26,7.73074397213726e+29
5.707531188672407e+32,3.6210192163273556e+26,8.51253846796309e+29
6.284467589601152e+32,4.1197969248100107e+26,9.373399948570022e+29
6.919722657518037e+32,4.690873797415417e+26,1.0321344256905324e+30
7.619191438937371e+32,5.336926563186005e+26,1.1365161284002597e+30
8.389364871452614e+32,5.830926882031779e+26,1.2514566956958219e+30
9.237390018405816e+32,6.461030821832366e+26,1.3780200287806415e+30
1.0171136392279562e+33,7.352258572064959e+26,1.517384578886047e+30
1.1199268982279844e+33,8.366276347761525e+26,1.6708462193573974e+30
1.2331328663792047e+33,9.51836922035234e+26,1.839830845337618e+30
1.35778207358945e+33,1.08301929330537e+27,2.025909809427547e+30
1.4950312408540925e+33,1.2321925057757135e+27,2.230812294324069e+30
1.6461540144074375e+33,1.4017300253736088e+27,2.456442720356843e+30
1.81255278491815e+33,1.5947586839202137e+27,2.704899508092179e+30
1.995771701408607e+33,1.7375198428928253e+27,2.978486787084245e+30
2.1975110006648845e+33,1.9770672368084986e+27,3.27975091659554e+30
2.4196427851115713e+33,2.248464426327445e+27,3.6114905661368956e+30
2.6642283955671107e+33,2.557253666127996e+27,3.976793190429473e+30
2.9335375400955324e+33,2.9089351519875627e+27,4.3790565631696884e+30
3.230069356466693e+33,3.3095301865495093e+27,4.822021836930408e+30
3.556575603680663e+33,3.764183242949688e+27,5.309804015110186e+30
3.916086197769204e+33,4.280462846155929e+27,5.846939600251826e+30
4.311937328841732e+33,4.8684027706506203e+27,6.438428656328892e+30
4.7478024202966083e+33,5.538052592803476e+27,7.089773810133233e+30
5.227726217493387e+33,6.299535163611377e+27,7.807031216400013e+30
5.756162322222412e+33,7.162605660972994e+27,8.596864912249271e+30
6.338014521284526e+33,8.145372002133773e+27,9.466634458342735e+30
6.978682292702269e+33,9.02579408411064e+27,1.0424437125488624e+31
7.684110911851579e+33,1.0058616125675397e+28,1.1479130685407857e+31
8.460846622489393e+33,1.143859691628833e+28,1.2640561328029138e+31
9.316097384653792e+33,1.300742911877727e+28,1.3919540831529513e+31
1.0257799763165726e+34,1.4791709739292249e+28,1.5327973596197965e+31
1.1294692577444877e+34,1.68209673227186e+28,1.6878968728846005e+31
1.2436397996096014e+34,1.9128909428451652e+28,1.8586963674844614e+31
1.3693510828808192e+34,2.175394419418752e+28,2.0467858767607453e+31
1.5077696844178704e+34,2.473975553703147e+28,2.2539166287600326e+31
1.6601801025832511e+34,2.8135796022042337e+28,2.482017251362814e+31
1.8279966771433435e+34,3.040164032178202e+28,2.733200213162759e+31
2.0127767140731281e+34,3.4570110059189495e+28,3.0098083542523107e+31
2.2162349370601926e+34,3.931045062592494e+28,3.314421915237921e+31
2.440259399815246e+34,4.470094597162978e+28,3.649877989538098e+31
2.6869290068523696e+34,5.083080345243833e+28,4.019301326220252e+31
2.9585328053285068e+34,5.780440715472077e+28,4.426134253763975e+31
3.2575912269668267e+34,6.433508197998558e+28,4.874153904148945e+31
3.5868794771849476e+34,7.3156169335979235e+28,5.3675424960041035e+31
3.949453288474731e+34,8.03530546214484e+28,5.910886468104566e+31
4.348677277020085e+34,9.136955938200607e+28,6.509243997412049e+31
4.788256165696848e+34,1.0043970324223384e+29,7.168189795637395e+31
5.272269163198239e+34,1.1420895898793728e+29,7.893855872152176e+31
5.805207818317654e+34,1.2986631275718336e+29,8.693023257961146e+31
6.392017700669369e+34,1.476703089525247e+29,9.573141886516017e+31
7.038144294636314e+34,1.6791444351436807e+29,1.0542417651530838e+32
7.749583532432078e+34,1.9094273797134963e+29,1.1609891632088828e+32
8.532937435214342e+34,2.048537778918361e+29,1.2785431307595637e+32
9.395475378588739e+34,2.329356677696865e+29,1.4080031635337903e+32
1.0345201551035372e+35,2.648686506774387e+29,1.5505797023745375e+32
1.139092923125942e+35,2.9572112892969413e+29,1.707601796853258e+32
1.254236257374554e+35,3.2857257150520704e+29,1.8805246466320775e+32
1.3810186661470462e+35,3.655592078259481e+29,2.0709663799366494e+32
1.5206166661445934e+35,4.156691933737753e+29,2.2807002413108123e+32
1.6743257003236583e+35,4.520142977840863e+29,2.5116819537893997e+32
1.8435721593608665e+35,5.1398097228698034e+29,2.7660580344459204e+32
2.029926618287878e+35,5.844362766509774e+29,3.046213865230573e+32
2.235118411129728e+35,6.503081469294721e+29,3.354761722312014e+32
2.461051678796498e+35,7.238411235929565e+29,3.694560083629909e+32
2.7098230391497228e+35,8.036777263858802e+29,4.068742316600202e+32
2.9837410432183942e+35,8.79792714779943e+29,4.480159243268573e+32
3.2853475981145413e+35,9.625135193904585e+29,4.933192203225538e+32
3.617441555449005e+35,1.0522767736924167e+30,5.4320539653185084e+32
3.9831046841434066e+35,1.1495141644918947e+30,5.981384430625599e+32
4.385730268661087e+35,1.2546415074194263e+30,6.586294082692595e+32
4.8290545980431825e+35,1.3680445041388942e+30,7.252411888118088e+32
5.317191637962097e+35,1.4900603756294861e+30,7.985938109714804e+32
5.8546712075424826e+35,1.6209543845939457e+30,8.793702543826339e+32
6.446481015223337e+35,1.7608900392048877e+30,9.683228748276287e+32
7.098112943746102e+35,1.9098915015211462e+30,1.0662804888550477e+33
7.81561401378461e+35,2.0677963966705113e+30,1.1741561897935436e+33
8.605642499149751e+35,2.2341968207837185e+30,1.2929559723339365e+33
9.475529714307264e+35,2.4083658614850062e+30,1.4237882513413275e+33
1.043334804758516e+36,2.5891663560643763e+30,1.567874370052434e+33
1.1487985871405943e+36,2.774937896912792e+30,1.7265602034436184e+33
1.2649230024696479e+36,2.963357224264434e+30,1.9013289744748138e+33
1.3927856632896526e+36,3.151266089849507e+30,2.093815414299577e+33
1.5335731108358473e+36,3.3344593917963856e+30,2.3058214125854677e+33
1.6885918259122924e+36,3.507424822611302e+30,2.5393333210474109e+33
1.859280352785877e+36,3.6630233795764096e+30,2.7965410924336957e+33
2.0472226486042066e+36,3.7920977892107336e+30,3.079859458838456e+33
2.2541627822174332e+36,3.8829931081423676e+30,3.3919513777178797e+33
2.4820211188063136e+36,3.9209703770715906e+30,3.7357540017949904e+33
3.3133404679772916e+36,4.132040990230556e+30,4.9901965595877917e+33
3.648264038511651e+36,4.5187248759937486e+30,5.495059775870357e+33
4.017042807201353e+36,4.937730038815946e+30,6.051043258100937e+33
4.423098971057818e+36,5.386495136100778e+30,6.663191160057521e+33
4.870200654247621e+36,5.869927819092538e+30,7.337320700879233e+33
5.362496875569892e+36,6.381474622634196e+30,8.079611701099656e+33
5.904556050563655e+36,6.923975954309242e+30,8.897018849866135e+33
6.501408385537336e+36,7.499533382931844e+30,9.797073438202022e+33
7.158592556929019e+36,8.10231450352867e+30,1.0788198972068026e+34
7.882207109173032e+36,8.715711074706789e+30,1.1879559013841116e+34
8.678967048035325e+36,9.373669828194372e+30,1.308129169526576e+34
9.556266154593054e+36,1.0081356725593849e+31,1.4404577105400815e+34
1.0522245598120283e+37,1.0846041739018413e+31,1.586170040228325e+34
1.1585869484594378e+37,1.1716200221004166e+31,1.7466196341454702e+34
1.2757008041898843e+37,1.2721345615660795e+31,1.9232976120173754e+34
1.4046529213665601e+37,1.3974053330712048e+31,2.117846301187375e+34
1.5466399511730097e+37,1.5607453071094012e+31,2.332073769267909e+34
1.7029795063090928e+37,1.7784325983285364e+31,2.567976167191284e+34
1.8751223881868727e+37,2.082237655963934e+31,2.827749677711385e+34
2.0646660500924826e+37,2.508980558256358e+31,3.1138186449722116e+34
2.273369421249566e+37,3.113931774092966e+31,3.428855800854884e+34
2.503169229348777e+37,3.9678592125737823e+31,3.7758105351903236e+34
2.756197973013336e+37,5.178741825964318e+31,4.157940562588247e+34
3.034803710981679e+37,6.877425217908357e+31,4.5788421180246195e+34
3.3415718516471057e+37,9.23753602000013e+31,5.04249267270462e+34
3.6793491451571764e+37,1.2491679946562593e+32,5.553291024854809e+34
4.0512701007150186e+37,1.69406044995939e+32,6.116108952833354e+34
4.46078607423008e+37,2.2945470003071935e+32,6.736341547915226e+34
4.911697296246196e+37,3.095133085077436e+32,7.419971422210947e+34
5.408188137360087e+37,4.09337908429664e+32,8.173554971594015e+34
5.954865938386668e+37,5.1615110568079644e+32,9.000927300580672e+34
6.55680376560774e+37,6.965411072978965e+32,9.91677197459203e+34
7.21958748786466e+37,9.334865277786193e+32,1.0927259921118323e+35
7.949367612361481e+37,1.24249311279176e+33,1.2042595139190622e+35
8.752916360204966e+37,1.6428968225758124e+33,1.3274185725680489e+35
9.637690511331698e+37,2.159053564574752e+33,1.4634822964339672e+35
1.0611900602011234e+38,2.821441645640934e+33,1.6138841344869767e+35
1.1684587117065043e+38,3.6565287454281944e+33,1.7801897311102926e+35
1.2865704383850564e+38,4.674314484868272e+33,1.9642297241145905e+35
1.4166212946530617e+38,5.949377373974678e+33,2.1680200893772504e+35
1.5598181277843869e+38,7.568225477736546e+33,2.3938514569144697e+35
1.7174897772242315e+38,9.646163875402706e+33,2.6443529022546213e+35
1.8910994059670822e+38,1.2339772916816593e+34,2.922553240305698e+35
2.08225807843172e+38,1.586200051888068e+34,3.2319762900551138e+35
2.2927397108333884e+38,2.0496069129877707e+34,3.576752940370521e+35
2.5244975327897334e+38,2.6606428770318527e+34,3.961759498086174e+35
2.779682212921106e+38,3.4645933301270476e+34,4.3927992394204985e+35
3.06066181664735e+38,4.51355923712104e+34,4.87672448387268e+35
3.370043781385643e+38,5.865204860318099e+34,5.42164285222208e+35
3.7106991130750665e+38,7.579998502617594e+34,6.0370798201287756e+35
4.085789028567054e+38,9.718954585649366e+34,6.734134803800205e+35
4.498794291118046e+38,1.2342499738304558e+35,7.52566216357284e+35
4.953547511212172e+38,1.5510805936680257e+35,8.426415763610783e+35
5.454268712459438e+38,1.9286951567572805e+35,9.453215211296235e+35
6.005604492614247e+38,2.3738491264333045e+35,1.0625275021686589e+36
6.6126711431210305e+38,2.8940068729497524e+35,1.19644737613769e+36
7.281102127328235e+38,3.497576311153614e+35,1.3495706520777795e+36
8.017100357959453e+38,4.193810970988274e+35,1.5247243326442532e+36
8.82749575896672e+38,4.993839444501678e+35,1.7251276627354927e+36
9.719808645929086e+38,5.9102164848292856e+35,1.95444557872476e+36
1.0702319513154465e+39,6.95726130787546e+35,2.2168491343762647e+36
1.178414587509591e+39,8.15133316334334e+35,2.517086279594048e+36
1.2975326875156033e+39,9.510873740964993e+35,2.86054747447555e+36
1.428691644703322e+39,1.1056974007947931e+36,3.2533648736498484e+36
1.5731085893129283e+39,1.2814191875615644e+36,3.702558934221326e+36
1.7321236831926697e+39,1.4810110851440825e+36,4.216102268876705e+36
1.9072125562465663e+39,1.7076107822690343e+36,4.803071706031753e+36
2.0999999999999748e+39,1.964786914158219e+36,5.473800769369744e+36
