number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
3.9745909376357097e+31,1.0070345053363172e+25,5.923499348767287e+28
4.386307159408636e+31,1.1509342983742023e+25,6.537201006412756e+28
4.8406718574476035e+31,1.318365786477468e+25,7.21449682214021e+28
5.342102862364148e+31,1.513646091642722e+25,7.961979253563337e+28
5.895475634889826e+31,1.7329036830358574e+25,8.786902978817836e+28
6.506170670438579e+31,1.9807800947523022e+25,9.697295705181765e+28
7.180125814168723e+31,2.2692314221658998e+25,1.0702033267052678e+29
7.923893995208831e+31,2.6057070690615646e+25,1.18108972685561e+29
8.744706941402787e+31,2.972723762674693e+25,1.3034618754828471e+29
9.650545494078478e+31,3.398628469992565e+25,1.4385159047238018e+29
1.0650217206517204e+32,3.894357356512421e+25,1.5875668090901695e+29
1.1753441980621033e+32,4.45769221996784e+25,1.752062153412997e+29
1.2970946574431418e+32,5.086465734483973e+25,1.9335995439514266e+29
1.4314568899404592e+32,5.81676519595896e+25,2.1339519732565054e+29
1.5797373121535908e+32,6.667037605976082e+25,2.355070639640688e+29
1.7433776685472198e+32,7.3031033062344786e+25,2.5990985886988345e+29
1.9239690496679465e+32,8.348819749448868e+25,2.868412799829715e+29
2.123267362467033e+32,9.537338806270564e+25,3.1656345859594818e+29
2.3432104031485233e+32,1.0902139150114264e+26,3.493659949965081e+29
2.585936698543642e+32,1.2454880553297679e+26,3.855678134297151e+29
2.8538062992079223e+32,1.4225959707596237e+26,4.255213468348472e+29
3.1494237264143035e+32,1.6259599462912604e+26,4.69615834543469e+29
3.47566329615796e+32,1.8563338338076642e+26,5.182797073186171e+29
3.8356970664005456e+32,2.1201260544466654e+26,5.719873065787305e+29
4.233025679287518e+32,2.4224262821405922e+26,6.312615773454929e+29
4.671512398220347e+32,2.7646485176169918e+26,6.966784646562846e+29
5.1554206707292064e+32,3.1574095199108164e+26,7.688760939280279e+29
5.6894555823735455e+32,3.60545668902239e+26,8.485567612392632e+29
6.278809604730656e+32,4.114814822410007e+26,9.364957259761378e+29
6.929213082284253e+32,4.699428278903052e+26,1.0335506199109497e+30
7.646989949101808e+32,5.36325423458745e+26,1.1406646891605853e+30
8.439119217039144e+32,5.877390687429164e+26,1.2588821152016783e+30
9.313302833327839e+32,6.532347249555482e+26,1.3893499139732026e+30
1.0278040567331165e+33,7.456532527312568e+26,1.5333410198181406e+30
1.1342712654599512e+33,8.509747870248064e+26,1.6922575795799408e+30
1.2517671001781177e+33,9.711825660641904e+26,1.8676476367672623e+30
1.3814339839182487e+33,1.1084445971575338e+27,2.0612194566380615e+30
1.524532679963148e+33,1.2647875370782666e+27,2.2748572657517124e+30
1.682454550367541e+33,1.443361115017577e+27,2.5106430971433262e+30
1.8567350843019447e+33,1.647135073861166e+27,2.770873215931945e+30
2.0490688277580114e+33,1.7997192838492743e+27,3.0580739829486025e+30
2.2613258597782799e+33,2.053690352918699e+27,3.375050363601784e+30
2.4955699754102518e+33,2.3438562787862043e+27,3.724890752685876e+30
2.7540787521793797e+33,2.6737806754626176e+27,4.1109990135255193e+30
3.03936569518914e+33,3.0500677283721734e+27,4.53713937248098e+30
3.354204676167115e+33,3.479787539436737e+27,5.007465399976627e+30
3.7016569040801804e+33,3.970595225811034e+27,5.526560504301219e+30
4.085100689556664e+33,4.530865735761679e+27,6.099482665099826e+30
4.5082642925177106e+33,5.167462564487763e+27,6.73180674979243e+30
4.975262172398478e+33,5.894340932424272e+27,7.429704044424704e+30
5.490634993423466e+33,6.724440783724303e+27,8.199977769788023e+30
6.05939377391101e+33,7.672568802749174e+27,9.050137445645535e+30
6.687068608874791e+33,8.752585426542037e+27,9.988463244292112e+30
7.379762439656786e+33,9.52842724020797e+27,1.1024078615365378e+31
8.144210393398819e+33,1.0869269029245952e+28,1.216708403689107e+31
8.987845269316029e+33,1.2399235952875264e+28,1.3428640129126689e+31
9.918869808501358e+33,1.4144960056588935e+28,1.4821048127468783e+31
1.0946336449947225e+34,1.613381062868909e+28,1.6357877670320124e+31
1.2080235348259616e+34,1.8401561528250412e+28,1.8054121240630851e+31
1.3331591508869135e+34,2.0988853604793828e+28,1.9926326309322337e+31
1.4712571985193744e+34,2.3940634941498096e+28,2.19927560168242e+31
1.6236604180041307e+34,2.730848288986223e+28,2.4273570731807615e+31
1.7918506401507553e+34,2.960022936161394e+28,2.6790952870602597e+31
1.9774631942776747e+34,3.376195569782315e+28,2.956942016016141e+31
2.182302808672641e+34,3.85090049425197e+28,3.263616155649426e+31
2.4083611581352942e+34,4.392334538713491e+28,3.602110284560837e+31
2.657836229218198e+34,5.0098817376509185e+28,3.9757280071691034e+31
2.9331536914564255e+34,5.714371735503661e+28,4.388116387444732e+31
3.236990482380151e+34,6.379261126076062e+28,4.843289629303699e+31
3.5723008356295472e+34,7.275981046139264e+28,5.345696884474924e+31
3.9423450052457942e+34,8.016030267079497e+28,5.900233580695252e+31
4.350720965427168e+34,9.142683873244528e+28,6.512307343513654e+31
4.801399393969923e+34,1.0080773881144996e+29,7.187893284814362e+31
5.298762279541245e+34,1.1497531474280223e+29,7.933580003647389e+31
5.847645528166408e+34,1.3113422243359281e+29,8.756666969311442e+31
6.453385983197027e+34,1.4956393979568044e+29,9.665193757360405e+31
7.121873315939939e+34,1.7058305337544045e+29,1.0668035833581628e+32
7.859607291484209e+34,1.925426397829716e+29,1.1774988891173956e+32
8.673760966527236e+34,2.0938193991039656e+29,1.2996779187174737e+32
9.572250433678384e+34,2.3880420084756026e+29,1.4345390593359267e+32
1.0563811790370518e+35,2.7236299768214692e+29,1.5834026154637223e+32
1.1658086080755438e+35,2.9803695497815e+29,1.747721191424433e+32
1.2865713036481192e+35,3.39923894760302e+29,1.9290919201076482e+32
1.419843452780167e+35,3.793328468913372e+29,2.1292923506317795e+32
1.5669208730883339e+35,4.32642084960585e+29,2.350278770772918e+32
1.7292336121368506e+35,4.719004236588875e+29,2.5942015752891634e+32
1.9083598519242443e+35,5.382139829736955e+29,2.8634487284087352e+32
2.106041253695057e+35,6.138616855470027e+29,3.1606600595532523e+32
2.3241998922756184e+35,6.706453508702187e+29,3.4887293809407725e+32
2.564956944588021e+35,7.648983681975523e+29,3.85085783868446e+32
2.8306533140524456e+35,8.369845242687418e+29,4.250261332197066e+32
3.1238723914108677e+35,9.170564545544901e+29,4.690773193715659e+32
3.44746517327775e+35,1.0039783472585523e+30,5.176968630376934e+32
3.80457798264776e+35,1.098145016982287e+30,5.713591253763113e+32
4.198683060889592e+35,1.199923589962249e+30,6.305878532890856e+32
4.633612328674757e+35,1.3096356907100582e+30,6.959613491992711e+32
5.113594644101974e+35,1.427534526792649e+30,7.681181881305754e+32
5.643296920281447e+35,1.553775633633055e+30,8.477635413466152e+32
6.227869502169126e+35,1.6883797583264934e+30,9.35676172508675e+32
6.872996243854191e+35,1.831186015582778e+30,1.0327161798229794e+33
7.584949773205926e+35,1.981793026155985e+30,1.139833566088927e+33
8.370652481223319e+35,2.1394852316011448e+30,1.2580777280550299e+33
9.237743829092565e+35,2.30314094830138e+30,1.3886079671883448e+33
1.0194654627385328e+36,2.4711179533256228e+30,1.5327051360386426e+33
1.125068900962134e+36,2.641111454203569e+30,1.6917845480314252e+33
1.241611489723203e+36,2.8099781468475754e+30,1.8674102939887488e+33
1.3702263835524467e+36,2.9735186651670373e+30,2.0613111262279858e+33
1.5121641171360134e+36,3.1262090170373006e+30,2.2753980910478467e+33
1.6688047643816332e+36,3.2608695167351065e+30,2.5117841131561124e+33
1.8416713570067787e+36,3.368257181535503e+30,2.772805761569871e+33
2.0324446931190212e+36,3.500133475908751e+30,3.060923741085595e+33
2.2429796797738152e+36,3.976190636744742e+30,3.3783459237518214e+33
2.4753233684099223e+36,4.5262908294801104e+30,3.7287252207705e+33
2.731734858522714e+36,5.16349265822817e+30,4.1154921849822906e+33
3.0147072631006305e+36,5.903381648717806e+30,4.542429901915554e+33
3.326991949396807e+36,6.764587810799142e+30,5.013585950426106e+33
3.671625290731152e+36,7.769412819889072e+30,5.533682567031312e+33
4.051958189433168e+36,8.941891280331659e+30,6.107801583493993e+33
4.471688657979866e+36,1.0295169607005714e+31,6.741456073433258e+33
4.9348977751182155e+36,1.1881678310095676e+31,7.440959302414099e+33
5.446089366576908e+36,1.3717307439643335e+31,8.21304809366871e+33
6.010233796186703e+36,1.5869394929875688e+31,9.06537345011954e+33
6.632816293194536e+36,1.8376510714114306e+31,1.0006173058442135e+34
7.319890285662402e+36,2.1302854135830664e+31,1.1044738594204643e+34
8.078136258516654e+36,2.4713471707661903e+31,1.2191223122127604e+34
8.914926708530053e+36,2.872100738082391e+31,1.3456834500965619e+34
9.838397827799978e+36,3.335043320156484e+31,1.485398983634496e+34
1.0857528612707948e+37,3.881218203668663e+31,1.6396400675531378e+34
1.198222816754432e+37,4.512665583409264e+31,1.809919996761589e+34
1.3223432051659514e+37,5.252418184376494e+31,1.99790754566831e+34
1.4593208606934113e+37,6.107878123471421e+31,2.205451214299514e+34
1.6104876299399868e+37,7.09948924630099e+31,2.4345905056672203e+34
1.777313321593516e+37,8.233244183919316e+31,2.6875738470946833e+34
1.961419997514349e+37,9.531672071960876e+31,2.9668892942738945e+34
2.164597744195078e+37,1.1009143223292654e+32,3.275282366720898e+34
2.388822077939554e+37,1.2662929003025024e+32,3.6157849327226974e+34
2.6362731529933487e+37,1.4506655233944762e+32,3.9917408491641166e+34
2.9093569593881457e+37,1.6547777627004778e+32,4.406848061388537e+34
3.2107287166086726e+37,1.878517940013338e+32,4.8651781939808265e+34
3.543318690541009e+37,2.1205504032918608e+32,5.37122970744222e+34
3.9103606847228647e+37,2.37981997655145e+32,5.929967966809007e+34
4.315423482918943e+37,2.6203640909662863e+32,6.546852622126005e+34
4.762445548740498e+37,2.9060137843517063e+32,7.227917477302999e+34
5.255773319696749e+37,3.2023635251356793e+32,7.9798399118789815e+34
5.800203468014776e+37,3.507601787335353e+32,8.809971532100183e+34
6.401029539133884e+37,3.8185011757231176e+32,9.72642071048026e+34
7.06409342134481e+37,3.9945519089270285e+32,1.0738083344314555e+35
7.795842147017985e+37,4.321656451265501e+32,1.185485546623699e+35
8.603390577704456e+37,4.623174549284185e+32,1.308765523098687e+35
9.494590582602657e+37,5.2665058685074496e+32,1.4443987585402035e+35
1.047810738301968e+38,6.0769137819516926e+32,1.5940245372859238e+35
1.1563503805131506e+38,9.076624980232814e+32,1.759830150687907e+35
1.2761333260239563e+38,1.458208052673046e+33,1.943438521779476e+35
