number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
3.9571474190501497e+31,1.0011018726296553e+25,5.897498577667757e+28
4.365684923604741e+31,1.1435497950488217e+25,6.506461165825552e+28
4.816400005831624e+31,1.3091928938462068e+25,7.17831554298633e+28
5.313647095956833e+31,1.5022691002485232e+25,7.919559513092676e+28
5.862230177349093e+31,1.719777985944783e+25,8.737343349004754e+28
6.4674491985685975e+31,1.964682243490153e+25,9.639570706684399e+28
7.1351512770145465e+31,2.2494956532382252e+25,1.0634983573436807e+29
7.871787188858013e+31,2.5815141456832463e+25,1.1733210968864558e+29
8.684473691018399e+31,2.9451887120196586e+25,1.2944817445684204e+29
9.581062277285997e+31,3.3651748237705554e+25,1.4281562413203126e+29
1.0570215032854578e+32,3.8536920596338614e+25,1.575638225529952e+29
1.1661488320106635e+32,4.411476681259115e+25,1.7383516533879156e+29
1.2865425104153067e+32,5.030728816169461e+25,1.9178653017279692e+29
1.419365681009904e+32,5.749482286469432e+25,2.115921895808133e+29
1.5659015696095261e+32,6.585733188662088e+25,2.3344379630462315e+29
1.727565882782865e+32,7.2141298987103255e+25,2.5755193486277458e+29
1.9059204852189736e+32,8.241867432880453e+25,2.8414964614442962e+29
2.1026884891508906e+32,9.412467725714887e+25,3.1349438473455553e+29
2.3197709016174866e+32,1.0756403206735705e+26,3.458701908871814e+29
2.5592649903953683e+32,1.2280371963487908e+26,3.815897066562619e+29
2.823484546037049e+32,1.4022839907866172e+26,4.209986910900367e+29
3.1149822357701525e+32,1.6021742497988186e+26,4.644784879978433e+29
3.436574265222238e+32,1.828117940168473e+26,5.12448774739056e+29
3.791367586232103e+32,2.0873612589869547e+26,5.65374423625008e+29
4.18278991360656e+32,2.3833481362060412e+26,6.2376705959550975e+29
4.614622840819343e+32,2.719366048332711e+26,6.88190978744764e+29
5.091038374588231e+32,3.104927822316197e+26,7.5927037924863e+29
5.6166392412967004e+32,3.5430276436757204e+26,8.376918132727427e+29
6.196503354666914e+32,4.042600014522215e+26,9.242142899805886e+29
6.836232874293309e+32,4.615868124550712e+26,1.0196758625696159e+30
7.54200832899907e+32,5.264088597945537e+26,1.1249976440565598e+30
