number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
3.982947179011972e+31,1.0098812326392922e+25,5.929633346229314e+28
4.396188443590854e+31,1.1544792399659098e+25,6.544952665398122e+28
4.852304578228424e+31,1.3227712149173405e+25,7.224135736691843e+28
5.355743963665221e+31,1.5191125711848186e+25,7.973813558624082e+28
5.911416511864756e+31,1.7392108203625803e+25,8.801283349273366e+28
6.524741551093987e+31,1.988518958471738e+25,9.714624015041886e+28
7.201700679207082e+31,2.2787236311616166e+25,1.0722766414624955e+29
7.948896100596623e+31,2.616826066818688e+25,1.1835553960928431e+29
8.773615015757215e+31,2.9859735853172946e+25,1.3063790403005425e+29
9.68390069143599e+31,3.41473407618515e+25,1.4419517788351832e+29
1.0688630904498474e+32,3.913944516233089e+25,1.5915976336350087e+29
1.1797604524552246e+32,4.479951709694453e+25,1.75677401346679e+29
1.3021637079745933e+32,5.113324432583655e+25,1.9390907367106836e+29
1.4372666237771658e+32,5.849204109234355e+25,2.1403335133129204e+29
1.5863868230799423e+32,6.706256880364837e+25,2.3624682003534052e+29
1.7509786359805223e+32,7.346022313569752e+25,2.607653517489552e+29
1.9326472831561776e+32,8.400438351014867e+25,2.8782864152696892e+29
2.133164531159079e+32,9.597620182592956e+25,3.177007999850084e+29
2.3544859719896518e+32,1.0972509459453267e+26,3.506738058846543e+29
2.5987700954711992e+32,1.253918935878993e+26,3.8706928081868935e+29
2.8683993404336448e+32,1.43241136499946e+26,4.272425078803745e+29
3.166003330013058e+32,1.6373871488428655e+26,4.7158611137146094e+29
3.494484517674728e+32,1.8699792246321248e+26,5.205323579552172e+29
3.857046494078705e+32,2.1359747713814856e+26,5.745596061592666e+29
4.257225230857238e+32,2.4413395421594642e+26,6.34195743837947e+29
4.698923566016425e+32,2.786569261593988e+26,7.000217384741246e+29
5.186449267289176e+32,3.182820584892402e+26,7.726817804048693e+29
5.7245570446613225e+32,3.635701737963417e+26,8.52885045479254e+29
6.31849492180802e+32,4.149807863567244e+26,9.414138340009785e+29
6.974055418688852e+32,4.7399268545761425e+26,1.039134353208931e+30
7.697632044472048e+32,5.4113449388357905e+26,1.1469995768154804e+30
8.496281651748446e+32,5.930888821824842e+26,1.2660634115912135e+30
9.377793260159444e+32,6.5931662378706e+26,1.3974852350270656e+30
1.0350764020657686e+33,7.527677253398021e+26,1.5425512215452695e+30
1.1424683061259988e+33,8.592146583734217e+26,1.7026779290132335e+30
1.2610024032018017e+33,9.808252047957045e+26,1.8794304060279057e+30
1.3918347251773569e+33,1.1195878830462369e+27,2.0745348349053557e+30
1.5362412452908794e+33,1.2778127222657202e+27,2.289896891806375e+30
1.6956303223661424e+33,1.458586111976132e+27,2.5276215038180498e+30
1.8715564361657992e+33,1.663124466773824e+27,2.790030434726451e+30
2.065735347823813e+33,1.819338330917844e+27,3.079678916880061e+30
2.2800608332126928e+33,2.0763914933063e+27,3.3994051935320955e+30
2.5166231524416718e+33,2.3701137875264082e+27,3.752333575915736e+30
2.7777294356139916e+33,2.704781791192496e+27,4.141910366536982e+30
3.06592618366021e+33,3.085884486346144e+27,4.5719416381031256e+30
3.3840241036922656e+33,3.521161127533758e+27,5.0466333178679724e+30
3.7351255210909536e+33,4.0183840913596065e+27,5.570625468002197e+30
4.122654635669714e+33,4.58645582236903e+27,6.149040525720154e+30
4.5503909169951325e+33,5.23251136276022e+27,6.787524445977744e+30
5.022505964559934e+33,5.969385883459605e+27,7.492323702379123e+30
5.543604192296055e+33,6.81101670198632e+27,8.270332058951962e+30
6.118767734213147e+33,7.772438321024012e+27,9.129157569023315e+30
6.753606009115388e+33,8.870212867092458e+27,1.0077197618613438e+31
7.454310427788269e+33,9.65728800286103e+27,1.1123678450539986e+31
8.227714776200171e+33,1.1018825228439624e+28,1.227885884489556e+31
9.081361863620178e+33,1.2572742910730698e+28,1.3554044851991419e+31
1.0023577085653774e+34,1.4344174452263693e+28,1.4961702670258306e+31
1.1063549619637264e+34,1.636382558351114e+28,1.6515601028570381e+31
1.2211422044268373e+34,1.86682368049893e+28,1.823094540264303e+31
