number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
4.120519242864103e+31,1.0571880562779784e+25,6.141016951587171e+28
4.528441305397389e+31,1.202337395483842e+25,6.749069808247513e+28
4.976746727234137e+31,1.3702698755250019e+25,7.417340566657202e+28
5.469433369383641e+31,1.5649893059876368e+25,8.151795243957216e+28
6.01089487203071e+31,1.7787678114833394e+25,8.958961401016952e+28
6.605959835776685e+31,2.022503730814037e+25,9.846059525858916e+28
7.25993488173449e+31,2.3044246790056487e+25,1.0821016018611567e+29
7.978651974475453e+31,2.629825700102553e+25,1.1892532987739838e+29
8.76852042984057e+31,2.983636878735202e+25,1.307012218306355e+29
9.636584071407161e+31,3.3918960912201894e+25,1.436434310854147e+29
1.0590584045316145e+32,3.8640292858942816e+25,1.5786753068707301e+29
1.1639027853624786e+32,4.400215318951362e+25,1.7350027542781858e+29
1.2791265221804837e+32,4.991698154033804e+25,1.9068074059563787e+29
1.4057571476950994e+32,5.674125924487626e+25,2.0956293288430322e+29
1.544923918024294e+32,6.4632323767549035e+25,2.3031550644156877e+29
1.6978678830813355e+32,7.048143327454767e+25,2.531232682959882e+29
1.865952953907058e+32,8.006957610712348e+25,2.7818922852377594e+29
2.050678065642921e+32,9.099702236466037e+25,3.0573777998508535e+29
2.2536905446108344e+32,1.0343499107069422e+26,3.360148130567185e+29
2.4768007987035695e+32,1.1746893494074757e+26,3.692902783188306e+29
2.721998462090522e+32,1.3351123337764426e+26,4.0586171680725655e+29
2.9914701382127295e+32,1.5162181858761532e+26,4.460550636523872e+29
3.2876188992941774e+32,1.7221267159908695e+26,4.902294579547149e+29
3.6130857162605086e+32,1.9568555197569375e+26,5.38779466101982e+29
3.9707730101710905e+32,2.2211546715289362e+26,5.921377029505939e+29
4.363870535189473e+32,2.5231872795348815e+26,6.507816421678729e+29
4.795883823909221e+32,2.8646420181928602e+26,7.152340160539312e+29
5.2706654487025196e+32,3.252176406436753e+26,7.860706317946921e+29
5.7924493778714115e+32,3.694479346894834e+26,8.639247050444761e+29
6.365888732980108e+32,4.191745854031845e+26,9.494895069037609e+29
6.996097284077582e+32,4.7598811293079764e+26,1.0435313613446838e+30
7.688695052853147e+32,5.402846179414311e+26,1.1468886527212228e+30
8.449858430400991e+32,5.8874310899392366e+26,1.2604848552210904e+30
9.286375256529823e+32,6.507016097421414e+26,1.385330999536519e+30
1.0205705351799238e+33,7.385915572255746e+26,1.5225442991446467e+30
1.121604704209049e+33,8.383010232983148e+26,1.6733506106724054e+30
1.2326410268958887e+33,9.513283064759614e+26,1.8390966435984756e+30
1.354669693774536e+33,1.0796820162765795e+27,2.0212634010730326e+30
1.4887789219968855e+33,1.2253257086927968e+27,2.2214778469136935e+30
1.6361646597455397e+33,1.3903549512180538e+27,2.441527841179624e+30
1.7981412513615897e+33,1.5777456834028036e+27,2.6833801848107236e+30
1.9761531582958622e+33,1.714831324424272e+27,2.94919154401053e+30
2.1717878404077692e+33,1.946061142493923e+27,3.241336279572067e+30
2.3867899124835358e+33,2.2074975133789563e+27,3.5624244506022835e+30
2.6230767022176316e+33,2.5045437603539643e+27,3.915328531570576e+30
2.8827553483990964e+33,2.842106819457684e+27,4.303202353119563e+30
3.168141591779542e+33,3.225202811648479e+27,4.729510870674768e+30
3.4817804261944747e+33,3.658085167978e+27,5.198058406658479e+30
3.8264687940988204e+33,4.149894726693851e+27,5.713038961018252e+30
4.2052805289089923e+33,4.708761007512831e+27,6.279056143470762e+30
4.621593766580287e+33,5.343163125027766e+27,6.901167967810166e+30
5.0791210708682786e+33,6.059789467217688e+27,7.584925567939376e+30
5.581942540922796e+33,6.873937853421981e+27,8.336452849487698e+30
6.134542196458642e+33,7.799052193659782e+27,9.16247018635606e+30
6.741847964975693e+33,8.849382761693743e+27,1.0070361743827795e+31
7.409275627623167e+33,9.579364602650769e+27,1.1068204370176368e+31
8.14277711560477e+33,1.086670878426616e+28,1.2164940856593252e+31
8.948893587818487e+33,1.2327236900254233e+28,1.3370388446035453e+31
9.834813763062336e+33,1.3984174402556077e+28,1.469532735593952e+31
1.0808438026996263e+34,1.5864038052822888e+28,1.6151608019596628e+31
1.1878448885547889e+34,1.7994175042270402e+28,1.7752249607516762e+31
1.305438839304571e+34,2.0409832962198934e+28,1.9511573797546203e+31
1.434674324556191e+34,2.314993027586059e+28,2.144532209485125e+31
1.5767038298303188e+34,2.625830824365603e+28,2.3570797023181364e+31
1.7327939341011236e+34,2.8533517551234905e+28,2.5907008868524433e+31
1.9043366047894858e+34,3.2106591745232482e+28,2.8474728017570407e+31
2.0928616109349266e+34,3.641705703875737e+28,3.129704180577436e+31
2.300050165243413e+34,4.130667442806008e+28,3.439921383691117e+31
2.527749916666965e+34,4.685337375465289e+28,3.780901157890184e+31
2.7779914272146536e+34,5.314553863520087e+28,4.155695897828455e+31
3.0530062799305266e+34,5.900104676485555e+28,4.56765811976405e+31
3.355246979520291e+34,6.692158484047842e+28,5.020467446685191e+31
3.6874088230949257e+34,7.590520437303549e+28,5.518187243857745e+31
4.052453936068308e+34,8.316139535362174e+28,6.065253855598842e+31
4.453637687554221e+34,9.43239953767834e+28,6.666576223636556e+31
4.894537720827774e+34,1.0343027494509295e+29,7.327524652203206e+31
5.379085857736664e+34,1.1731056539433878e+29,8.054021764582594e+31
5.911603161576844e+34,1.3305381690364999e+29,8.85258666007116e+31
6.496838471113355e+34,1.509102190146582e+29,9.730373734876919e+31
7.140010749381871e+34,1.7116320841882834e+29,1.0695247945321982e+32
7.846855624925569e+34,1.9251364452677986e+29,1.1755854483792628e+32
8.62367654050893e+34,2.077677884171188e+29,1.29216114007329e+32
9.477400965438245e+34,2.3565225976461307e+29,1.4203010092854505e+32
1.0415642172774363e+35,2.672805277495394e+29,1.5611558179511754e+32
1.1446767132349495e+35,2.9584983308801446e+29,1.715986909750148e+32
1.2579971125038682e+35,3.298871872463351e+29,1.8861732894089262e+32
1.3825359743675017e+35,3.6609455599577956e+29,2.0732457249115515e+32
1.5194039011869516e+35,4.152274836152703e+29,2.2788779751292145e+32
1.6698214424389833e+35,4.503930109592979e+29,2.504912915951275e+32
1.835129979231196e+35,5.108494549635052e+29,2.7533682872269896e+32
2.016803686359505e+35,5.793987621669884e+29,3.0264832326177752e+32
2.2164626785822085e+35,6.430769866885488e+29,3.326706793596456e+32
2.4358874583453653e+35,7.139821063224743e+29,3.656709808285425e+32
2.6770347938002383e+35,7.929790863759366e+29,4.019463843763607e+32
2.9420551687084537e+35,8.697044054913424e+29,4.417565445720751e+32
3.233311959848224e+35,9.517229204770989e+29,4.855073600431743e+32
3.5534025129402786e+35,1.0410132229413317e+30,5.3359313057898014e+32
3.9051813050427104e+35,1.1381190215213592e+30,5.86443780636875e+32
4.2917853999703634e+35,1.243601240893221e+30,6.4453195699973226e+32
4.716662423743044e+35,1.3580321187325012e+30,7.083772915985084e+32
5.183601309539666e+35,1.4819871375027377e+30,7.785510932869096e+32
5.696766086333163e+35,1.6160342482434513e+30,8.556815124760046e+32
6.260733012523622e+35,1.7607197215340854e+30,9.404592271831866e+32
6.880531385716924e+35,1.9165498125535663e+30,1.0336437042187266e+33
7.561688392578943e+35,2.083967247090748e+30,1.1360700949889194e+33
8.310278398723599e+35,2.263321316780023e+30,1.2486568318112595e+33
9.132977118188103e+35,2.454830106626493e+30,1.3724139977984922e+33
1.003712114556341e+36,2.658533056237209e+30,1.5084525513712918e+33
1.1030773381670617e+36,2.874231666230152e+30,1.6579944954145993e+33
1.212279493623098e+36,3.1014156887143586e+30,1.8223840911278605e+33
1.332292414873725e+36,3.3391715681932644e+30,2.003100227881605e+33
1.4641863432212082e+36,3.58606920579236e+30,2.2017700730520113e+33
1.6091374714301642e+36,3.840022280035371e+30,2.4201841400582657e+33
1.7684384326821094e+36,4.098116340894306e+30,2.6603129289031316e+33
1.9435098279127247e+36,4.356397663543241e+30,2.9243253116812714e+33
2.1359128943293762e+36,4.609614359473067e+30,3.2146088560823697e+33
2.347363428083143e+36,4.850899441384e+30,3.5337923032393227e+33
2.579747085253813e+36,5.071383359327598e+30,3.884770442779523e+33
2.8351361975977003e+36,5.259720890096573e+30,4.270731658126794e+33
3.115808253016366e+36,5.620967164567409e+30,4.694695699869031e+33
3.424266205549847e+36,6.362171851107389e+30,5.160027371383882e+33
3.763260796013162e+36,7.215142706609829e+30,5.671543735424893e+33
4.135815082325222e+36,8.186621982687756e+30,6.233794514057975e+33
4.5452513982846915e+36,9.281825945379257e+30,6.851770229416242e+33
4.995220981203526e+36,1.054462189870632e+31,7.531099559275203e+33
5.489736532609068e+36,1.1967282683635815e+31,8.27774141562964e+33
6.03320800238181e+36,1.360612353400281e+31,9.098513520915146e+33
6.630481915441677e+36,1.5447099620505111e+31,1.0000656028065021e+34
7.286884591687067e+36,1.7537094288866073e+31,1.0992335000046327e+34
8.008269644609885e+36,1.9894406235748158e+31,1.2082422658140926e+34
8.801070182165756e+36,2.2584345877587554e+31,1.3280639024024528e+34
9.672356175412035e+36,2.563934653161516e+31,1.4597772102605707e+34
1.0629897506510916e+37,2.9110664629157864e+31,1.6045625299218613e+34
1.1682233258341886e+37,3.3040230275789627e+31,1.763717994179163e+34
1.283874786362872e+37,3.750929331690123e+31,1.9386713657779773e+34
1.410975479265739e+37,4.254833288468603e+31,2.1309913517225565e+34
1.5506588525888315e+37,4.832379569155823e+31,2.3424026462529685e+34
1.7041705631648664e+37,5.491095108685861e+31,2.574806576254366e+34
1.8728795850287036e+37,6.241193042369429e+31,2.8302850261938e+34
2.0582904175407633e+37,7.105911708607658e+31,3.111135761860767e+34
2.2620565020869714e+37,8.098514416998083e+31,3.419881958413934e+34
2.485994967001595e+37,9.25078884797798e+31,3.7592996981233665e+34
2.7321028322039857e+37,1.0597037332016691e+32,4.1324411976441253e+34
3.0025748180576482e+37,1.2179462816597166e+32,4.542668275368181e+34
3.29982291726595e+37,1.4056362075553965e+32,4.993676540892821e+34
3.626497904341147e+37,1.6300358932606723e+32,5.489535969855024e+34
3.9855129744620736e+37,1.9008675380437437e+32,6.034728998661535e+34
4.380069722525137e+37,2.230098161163428e+32,6.634190253654912e+34
4.813686694062475e+37,2.6345586768456695e+32,7.293358284613053e+34
5.290230762636252e+37,3.133839465795563e+32,8.018227251669797e+34
5.813951613523877e+37,3.753451697695264e+32,8.815407322924724e+34
6.38951964120985e+37,4.5124154451626076e+32,9.692185316277006e+34
7.022067598643386e+37,5.431183948259829e+32,1.0656608156040194e+35
7.7172363696781105e+37,6.584058063925017e+32,1.1717516314045866e+35
8.481225272879504e+37,8.332779576679582e+32,1.2884853719066785e+35
9.32084734529523e+37,1.0632754902090124e+33,1.4169742305088444e+35
1.024359009919338e+38,1.3657214387521908e+33,1.5584448217667475e+35
1.125768229358004e+38,1.762892900598291e+33,1.714264178802679e+35
1.2372167315945723e+38,2.271499426156043e+33,1.8859558584742574e+35
1.3596983828638308e+38,2.927201439099826e+33,2.0752151997057982e+35
1.4943054399044038e+38,3.7854936905029114e+33,2.2839536063892158e+35
1.642238290395552e+38,4.9148629108233276e+33,2.514331772582041e+35
1.804816157675126e+38,6.406476916146754e+33,2.768802412275379e+35
1.9834888652003316e+38,8.383382379909814e+33,3.0501659224384023e+35
2.1798497656634317e+38,1.101225072715591e+34,3.36164179077518e+35
2.3956499500605935e+38,1.4518587718269295e+34,3.706961835935997e+35
2.6328138634263323e+38,1.9205634345896025e+34,4.090491012037584e+35
2.8934564664902588e+38,2.5471904689607634e+34,4.517360762189347e+35
