number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
9.999999999999999e+31,3.4901520618600004e+25,1.49066747091e+29
1.0865776309428709e+32,3.905167505893102e+25,1.6197581383829096e+29
1.1806509480654218e+32,4.368582843972092e+25,1.760028585235801e+29
1.2828689101193804e+32,4.886445229617997e+25,1.9124468676391488e+29
1.3939366611677795e+32,5.4648823784673145e+25,2.0780677047855772e+29
1.5146203949761013e+32,6.1111746899786815e+25,2.2580324000112863e+29
1.645752640550888e+32,6.832741428927235e+25,2.4535826204019194e+29
1.788238005287758e+32,7.63817336509357e+25,2.666070606083523e+29
1.9430594153475773e+32,8.538553338466206e+25,2.896962111583417e+29
2.1112848963096107e+32,9.543261822466902e+25,3.147853361047189e+29
2.2940749408775616e+32,1.0664899326693433e+26,3.42047379151301e+29
2.4926905144641474e+32,1.1916469022683349e+26,3.716708622691593e+29
2.7085017538802204e+32,1.3313826096043704e+26,4.038601329058856e+29
2.9429974191357807e+32,1.4874824862173216e+26,4.3883757286113224e+29
3.19779516355554e+32,1.6614882966635528e+26,4.768445822136332e+29
3.474652693056748e+32,1.855850682266382e+26,5.181438388664971e+29
3.7754798915708695e+32,2.0724953223926324e+26,5.630205936421189e+29
4.1023519962555226e+32,2.31433239458854e+26,6.117845842901866e+29
4.457523913385084e+32,2.5842487730565144e+26,6.647726403238209e+29
4.843445773677158e+32,2.8851941574307992e+26,7.223508106713556e+29
5.262779834362389e+32,3.221061720749873e+26,7.849164972261083e+29
5.718418844595399e+32,3.595438587635058e+26,8.529022974212614e+29
6.2135060008995386e+32,4.0129852993057004e+26,9.26777424380313e+29
6.751456630306733e+32,4.478828008865163e+26,1.0070522684301197e+30
7.33598175077223e+32,4.997970765640633e+26,1.0942815391650084e+30
7.971113671394223e+32,5.5768744227942024e+26,1.1890676324612927e+30
8.661233809039866e+32,6.22282766803679e+26,1.2920652664359547e+30
9.411102913268835e+32,6.942112509739741e+26,1.4039860911945223e+30
1.0225893908059205e+33,7.744568527752074e+26,1.5256034572659097e+30
1.1111227576892106e+33,8.638123817587161e+26,1.6577574885382324e+30
1.2073211337366521e+33,9.634008719367698e+26,1.801361127589258e+30
1.3118481372828323e+33,1.0744752255762008e+27,1.9574061788526896e+30
1.4254248411655984e+33,1.1981833416886336e+27,2.1269718400808564e+30
1.548834747000834e+33,1.3360112726972707e+27,2.3112304292330647e+30
1.6829291901181673e+33,1.4895128378685804e+27,2.5114533667181494e+30
1.8286332124432026e+33,1.6606019772254235e+27,2.72902556124108e+30
1.9869519438399874e+33,1.8511803540621112e+27,2.96545085473215e+30
2.1589775359349858e+33,2.0632159512126178e+27,3.222361197780982e+30
2.345896696255114e+33,2.2994836241479747e+27,3.501533466564727e+30
2.548998874653589e+33,2.562706661421532e+27,3.804899660496063e+30
2.7696851584971414e+33,2.855688746231325e+27,4.1345518358539586e+30
3.009477937977454e+33,3.1819105122837984e+27,4.4927731404418707e+30
3.270031408222378e+33,3.54484900028023e+27,4.882038057059636e+30
3.5531429806550515e+33,3.948796591608309e+27,5.305037901714501e+30
3.860765682321458e+33,4.3985926935045546e+27,5.76469686618513e+30
4.195021628722387e+33,4.898961259330946e+27,6.264192972590442e+30
4.558216663091276e+33,5.455949977182121e+27,6.806979448932763e+30
4.9528562631060353e+33,6.075194878084004e+27,7.396811156951526e+30
5.381662824766318e+33,6.764649065938741e+27,8.037764476647661e+30
5.847594442667905e+33,7.530822224465005e+27,8.734274774561513e+30
6.353865316228792e+33,8.383049594187429e+27,9.491156265521152e+30
6.903967922637952e+33,9.331013117786671e+27,1.0313644747365242e+31
7.501697109485524e+33,1.0384171369839535e+28,1.1207428077442031e+31
8.151176273275763e+33,1.1556164367324704e+28,1.2178691580549627e+31
8.856885804413717e+33,1.2857552402363128e+28,1.3234150216697613e+31
9.623693994891402e+33,1.430476114443683e+28,1.4381106588961575e+31
1.0456890621888236e+34,1.59117526564262e+28,1.5627490869527139e+31
1.1362223438960043e+34,1.7698424539182539e+28,1.6981945557130957e+31
1.2345937826548765e+34,1.9683333959076025e+28,1.8453815566602262e+31
1.3414819875339332e+34,2.188739618588152e+28,2.0053304810522465e+31
1.4576243199671555e+34,2.4334035340438164e+28,2.179147714173809e+31
1.5838219803946248e+34,2.705336839311124e+28,2.368035457308063e+31
1.720945535292438e+34,3.006722297669105e+28,2.573302092835796e+31
1.8699409227197678e+34,3.341591426056926e+28,2.796366985060788e+31
2.0318359778119718e+34,3.713034431325933e+28,3.0387754455139044e+31
2.207747523235424e+34,4.125249360872306e+28,3.3022047779782827e+31
2.398889073517138e+34,4.582735504190027e+28,3.5884785215459806e+31
2.6065792063969904e+34,5.08976584774074e+28,3.8995797048393663e+31
2.8322506589517907e+34,5.652270168225877e+28,4.237661436801281e+31
3.077460211240222e+34,6.276123262805488e+28,4.605065874472959e+31
3.3438994256503477e+34,6.966851627880465e+28,5.004334994382396e+31
3.6334063160343818e+34,7.733022357797697e+28,5.4382347500996025e+31
3.9479780271295035e+34,8.581442458241836e+28,5.909770974173807e+31
4.289784611732886e+34,9.47186952588127e+28,6.422134925241188e+31
4.661184000671902e+34,1.0505738798578754e+29,6.979015341777753e+31
5.064738268838889e+34,1.1650204612872743e+29,7.584200555646877e+31
5.503231309500658e+34,1.291648833077987e+29,8.24188844135307e+31
5.979688038807859e+34,1.4318314587014028e+29,8.9566315481674e+31
6.497395262985264e+34,1.5867821890442685e+29,9.73338593697613e+31
7.059924352153962e+34,1.7581224229358602e+29,1.0577529462614975e+32
7.6711558771993355e+34,1.9476557376894153e+29,1.1494913572005975e+32
8.335306379640735e+34,2.1570038700450825e+29,1.2491896852577448e+32
9.056957459173029e+34,2.3883471604046805e+29,1.3575388253287387e+32
9.841087379538593e+34,2.6439027945915734e+29,1.4752895993718374e+32
1.069310541076083e+35,2.926063626633909e+29,1.6032589092875474e+32
1.1618889144646899e+35,3.237492223963746e+29,1.742331544194811e+32
1.2624825040978266e+35,3.581228931470398e+29,1.893476104071615e+32
1.37178524840944e+35,3.9602143542310356e+29,2.0577351023857277e+32
1.4905511653791074e+35,4.378490659631511e+29,2.2362513557365224e+32
1.619599554076766e+35,4.839483629521641e+29,2.4302612245711736e+32
1.7598206465448627e+35,5.347381407535208e+29,2.6411087019687367e+32
1.9121817490070685e+35,5.906614405118342e+29,2.8702580153879012e+32
2.0777339147682963e+35,6.522459083095555e+29,3.1192983319202044e+32
2.257619194838592e+35,7.20053678304938e+29,3.38995624815011e+32
2.4530785162988693e+35,7.947199261447588e+29,3.6841092104953585e+32
2.6654602427568777e+35,8.594698883887487e+29,4.0037950772856166e+32
2.8962294759471787e+35,8.86849738115512e+29,4.3512108138225526e+32
