number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
9.999999999999999e+31,3.4919753427e+25,1.4906227700880002e+29
1.0872612603371893e+32,3.910113468967388e+25,1.6207294451587856e+29
1.1821370482300134e+32,4.378164429783533e+25,1.7621916508870192e+29
1.285291816949849e+32,4.901478697256629e+25,1.916002177407379e+29
1.397448000797969e+32,5.486239273971098e+25,2.08324101325067e+29
1.5193910746032856e+32,6.140788215168267e+25,2.2650788730827402e+29
1.6519750547182446e+32,6.871193317122293e+25,2.462787996851771e+29
1.796128480038556e+32,7.6886103628144994e+25,2.6777579604307585e+29
1.9528609149342407e+32,8.601823447356383e+25,2.9114931155376366e+29
2.1232700196346397e+32,9.621953063130797e+25,3.1656339155744412e+29
2.308549237584127e+32,1.0762118383367461e+26,3.441958698727547e+29
2.509996153606176e+32,1.2035942621705612e+26,3.742408464625405e+29
2.7290215814113478e+32,1.3459364707392328e+26,4.0690860945273424e+29
2.967159444092692e+32,1.5048816317301102e+26,4.424284482289535e+29
3.2260775168056145e+32,1.6824619468738624e+26,4.8104920888513455e+29
3.507589106867543e+32,1.8807628037678683e+26,5.230416172443781e+29
3.8136657530778006e+32,2.102342369023314e+26,5.6870028637965084e+29
4.1464510331961466e+32,2.3495630766007785e+26,6.183451840709322e+29
4.508275576279284e+32,2.6257473666279954e+26,6.723245361730666e+29
4.901673385012782e+32,2.934008726722967e+26,7.310165916937913e+29
5.3293995823502545e+32,3.278207662080355e+26,7.948330722549097e+29
5.794449706746629e+32,3.662645085592918e+26,8.642215791757697e+29
6.300080691117798e+32,4.091524257998004e+26,9.396683810385126e+29
6.849833672450728e+32,4.570431661256547e+26,1.0217026597754677e+30
7.447558791808896e+32,5.104184177533725e+26,1.1109000007573176e+30
8.097442158417457e+32,5.7007624188718855e+26,1.207885716821812e+30
8.804035166668453e+32,6.365981498688785e+26,1.3133397898054354e+30
9.57228637136488e+32,7.108347770479805e+26,1.428002259229526e+30
1.0407576144438681e+33,7.935944341924618e+26,1.5526766740730576e+30
1.1315754355857667e+33,8.859628511322473e+26,1.6882393416167273e+30
1.2303181342615847e+33,9.890637166846912e+26,1.8356381043670655e+30
1.33767724527295e+33,1.1039953152742345e+27,1.9959095899507288e+30
1.4544046476198471e+33,1.2320881875534311e+27,2.1701768633115304e+30
1.581317830211421e+33,1.3749944656950238e+27,2.3596637564777673e+30
1.7193056170693393e+33,1.534369780859114e+27,2.565696927576163e+30
1.8693343921196186e+33,1.7118804228123618e+27,2.789724995468619e+30
2.0324548671676307e+33,1.9100428486703175e+27,3.033317906606626e+30
2.2098094404551327e+33,2.1306818899413695e+27,3.298184611420873e+30
2.402640197334267e+33,2.3767866341155258e+27,3.5861853119536337e+30
2.6122976090904484e+33,2.6510278813391e+27,3.8993395751237297e+30
2.8402499908355075e+33,2.956542250795338e+27,4.2398449711439606e+30
3.0880937847085047e+33,3.297311158536466e+27,4.6100926815658924e+30
3.3575647404016095e+33,3.6764090827310654e+27,5.012678926638244e+30
3.650550071312762e+33,4.099066157244027e+27,5.45042955665443e+30
3.96910167145953e+33,4.56985494096321e+27,5.926420014120452e+30
4.3154504857175334e+33,5.093883692074874e+27,6.443989289893199e+30
4.692022134023982e+33,5.677972266303391e+27,7.006769482515509e+30
5.1014538989689043e+33,6.327675957977228e+27,7.618712154532616e+30
5.546613195745e+33,7.051322865912623e+27,8.284113430583582e+30
