number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
7.134460779720445e+37,6.237192969736254e+32,1.0783426549499818e+35
7.749458305782073e+37,8.067364850870272e+32,1.171908856467465e+35
8.417469222587544e+37,1.0397770213865377e+33,1.2737194060328494e+35
9.143063336484136e+37,1.335381902479398e+33,1.384531805206666e+35
9.931204375614336e+37,1.709643873024604e+33,1.505184080393569e+35
1.0787283946361454e+38,2.1817683587155308e+33,1.6365974213918484e+35
1.1717158416874218e+38,2.776539367911897e+33,1.7797989189954363e+35
1.2727188979987382e+38,3.5240171113368176e+33,1.9359180968618856e+35
1.3824285169605482e+38,4.4548115011635146e+33,2.106216876600008e+35
1.5015952128241557e+38,5.58229386086551e+33,2.292077079290679e+35
1.6310341949064184e+38,6.971626091895974e+33,2.4950368005750826e+35
1.7716309443679344e+38,8.693069513723229e+33,2.7168262323174033e+35
1.924347271714989e+38,1.0831824528572482e+34,2.95938966788229e+35
2.090227896464115e+38,1.3492573076159917e+34,3.224916839893035e+35
2.2704075939802044e+38,1.6806439636055986e+34,3.515893413605571e+35
2.4661189583790807e+38,2.0937435923153677e+34,3.8351472824279446e+35
2.6787008345998983e+38,2.608920473661819e+34,4.18589859320549e+35
2.9096074773304667e+38,3.2516767689238484e+34,4.571845229031912e+35
3.1604184994409255e+38,4.0538551667384746e+34,4.9972536050617386e+35
3.432849677982176e+38,5.055200829988732e+34,5.467062776724547e+35
3.7287646916720014e+38,6.305282386765263e+34,5.987016803753878e+35
4.050187870163998e+38,7.865915242263404e+34,6.563838195985066e+35
4.399318042316024e+38,9.814220793038223e+34,7.205426600238237e+35
4.778543578192985e+38,1.224604828203256e+35,7.921095509061787e+35
5.19045872770503e+38,1.528076246436833e+35,8.721883392276482e+35
5.6378813676524114e+38,1.9066864325103087e+35,9.620938840259816e+35
6.123872278583041e+38,2.3788927858254342e+35,1.0633957407164762e+36
6.6517560833340876e+38,2.9676312731487236e+35,1.1779778992870976e+36
7.225143990496453e+38,3.701378536820616e+35,1.3081053999225692e+36
7.847958498388168e+38,4.615478169726115e+35,1.4565133283348994e+36
8.52446022853465e+38,5.7537719708046936e+35,1.626511090732372e+36
9.259277072221186e+38,7.170609196299233e+35,1.8221124524439236e+36
1.0057435849506987e+39,8.933350575033778e+35,2.048203891871023e+36
