number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
9.999999999999999e+31,3.4288895052e+25,1.491128738532e+29
1.0878691252926944e+32,3.842556034108431e+25,1.6221846829206225e+29
1.1834592337650925e+32,4.305787285191332e+25,1.7647600006402582e+29
1.2874487614555938e+32,4.824054342011623e+25,1.919868399530725e+29
1.40057575798386e+32,5.403822786293232e+25,2.0886102640425395e+29
1.5236431247440546e+32,6.0523529790433985e+25,2.2721854152929464e+29
1.657524313373543e+32,6.777953278857202e+25,2.471896951612051e+29
1.8031695249410504e+32,7.589632720523513e+25,2.689162831835912e+29
1.9616124538520645e+32,8.49699117245774e+25,2.9255277119090808e+29
2.1339776243353018e+32,9.51199256131543e+25,3.1826710816570345e+29
2.3214883715798277e+32,1.0647120124547564e+26,3.462416988438857e+29
2.5254755241677093e+32,1.1915589708149715e+26,3.7667565983930285e+29
2.7473868494244356e+32,1.3334714611634134e+26,4.097848009991618e+29
2.9887973287240127e+32,1.4920138472708369e+26,4.458046861433603e+29
3.251420335676134e+32,1.669278357324789e+26,4.8499093916424344e+29
3.537119796530876e+32,1.8673698528269074e+26,5.276221915941226e+29
3.8479234191075186e+32,2.088769863189048e+26,5.740012734542086e+29
4.1860370841377704e+32,2.3362675293912124e+26,6.244576609445171e+29
4.5538605011637384e+32,2.612756864382553e+26,6.79349952954002e+29
4.954004240105949e+32,2.921274595584205e+26,7.390681779508791e+29
5.38930825938036e+32,3.266413015574648e+26,8.040366188426218e+29
5.862862062064806e+32,3.651680019528564e+26,8.747169570676528e+29
6.378026623170165e+32,4.082651001792995e+26,9.516115595586732e+29
6.938458243641647e+32,4.563315473452336e+26,1.0352666719877088e+30
7.548134500390325e+32,5.100025261191263e+26,1.1262771238497788e+30
8.211382476531234e+32,5.6996123626437694e+26,1.2252894511901101e+30
8.932909472187797e+32,6.368980999152495e+26,1.3330076209303778e+30
9.717836413827765e+32,7.116445923611393e+26,1.4501970345947788e+30
1.0571734199248305e+33,7.95142787454755e+26,1.5776904030307402e+30
1.150066323616312e+33,8.882299514059777e+26,1.7163949851019312e+30
