number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
9.999999999999999e+31,3.3935117686200004e+25,1.4910193096380003e+29
1.0872612603371893e+32,3.7999220041724663e+25,1.6211589053918975e+29
1.1821370482300134e+32,4.253643372882712e+25,1.762657645741711e+29
1.285291816949849e+32,4.76151552912086e+25,1.9165089378501625e+29
1.397448000797969e+32,5.3287137154639355e+25,2.0837901123081056e+29
1.5193910746032856e+32,5.962921049847481e+25,2.2656738023400266e+29
1.6519750547182446e+32,6.671609727419992e+25,2.463433975559063e+29
1.796128480038556e+32,7.463290699554752e+25,2.678458609219867e+29
1.9528609149342407e+32,8.348404910366229e+25,2.9122521170370215e+29
2.1232700196346397e+32,9.336215474664707e+25,3.1664569281015093e+29
2.308549237584127e+32,1.044141035633749e+26,3.442851081999488e+29
2.509996153606176e+32,1.1674132897623503e+26,3.743377041866525e+29
2.7290215814113478e+32,1.3051036694303407e+26,4.0701354730782305e+29
2.967159444092692e+32,1.4589904743902898e+26,4.4254215723246755e+29
3.2260775168056145e+32,1.6306600010663843e+26,4.811723726247493e+29
3.507589106867543e+32,1.8224328970422152e+26,5.231750741277082e+29
3.8136657530778006e+32,2.036660020020215e+26,5.688449089355967e+29
4.1464510331961466e+32,2.275684095253141e+26,6.185017303777132e+29
4.508275576279284e+32,2.5425126951899214e+26,6.724939764803464e+29
4.901673385012782e+32,2.8404483028176978e+26,7.312001779187369e+29
5.3293995823502545e+32,3.1724665823374885e+26,7.950317377213672e+29
5.794449706746629e+32,3.543352180468162e+26,8.644365396623235e+29
6.300080691117798e+32,3.957084132804242e+26,9.399011704546018e+29
6.849833672450728e+32,4.418401771813424e+26,1.021954469361185e+30
7.447558791808896e+32,4.9339467943612544e+26,1.1111724027963165e+30
8.097442158417457e+32,5.508200369670719e+26,1.2081801453164863e+30
8.804035166668453e+32,6.148710809204008e+26,1.313658307112652e+30
9.57228637136488e+32,6.863425042831958e+26,1.4283465087592725e+30
1.0407576144438681e+33,7.659931684626064e+26,1.5530486876430924e+30
1.1315754355857667e+33,8.547874821532828e+26,1.688641798065563e+30
1.2303181342615847e+33,9.5386122459742e+26,1.836072308964662e+30
1.33767724527295e+33,1.0642257307040506e+27,1.9963781084954554e+30
1.4544046476198471e+33,1.1873293632120847e+27,2.1706825168302594e+30
1.581317830211421e+33,1.3245626070946082e+27,2.3602089909524405e+30
1.7193056170693393e+33,1.4773601975142484e+27,2.5662861059418894e+30
1.8693343921196186e+33,1.647673781779829e+27,2.790360004338606e+30
2.0324548671676307e+33,1.8375732006799856e+27,3.0340026921972973e+30
2.2098094404551327e+33,2.0490054678742183e+27,3.2989221429054227e+30
