number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
9.999999999999999e+31,3.3633731606400006e+25,1.4913612148500003e+29
1.0875735972969169e+32,3.767470832742834e+25,1.6219964811557945e+29
1.1828163295373563e+32,4.2195537467594244e+25,1.764075280745798e+29
1.2863998104564781e+32,4.725208168776188e+25,1.918599835676691e+29
1.399054469420224e+32,5.2902521961246225e+25,2.0866629705215318e+29
1.5215747021216824e+32,5.922718770577389e+25,2.2694495354572684e+29
1.6548244723424627e+32,6.629152838102104e+25,2.468248176319552e+29
1.799743404280465e+32,7.4191148801036705e+25,2.6844622439331383e+29
1.9573534084047042e+32,8.302546107290038e+25,2.9196180042138803e+29
2.128765887560086e+32,9.289277196396152e+25,3.175377741939774e+29
2.3151895741366863e+32,1.0392318456787945e+26,3.453542260554166e+29
2.5179390535681536e+32,1.1625452890108802e+26,3.7560794091921126e+29
2.7384440342635105e+32,1.3002697150372648e+26,4.085118564035395e+29
2.978259429340248e+32,1.4541361500307357e+26,4.442988649816586e+29
3.2390763212510367e+32,1.6260793097400605e+26,4.832210410256253e+29
3.522733886622254e+32,1.8179692382100527e+26,5.255536284656488e+29
3.831232365393514e+32,2.0324422097721644e+26,5.715951110378508e+29
4.166747165711401e+32,2.2718300846201882e+26,6.2167057858251985e+29
4.53164420403948e+32,2.5395002474451822e+26,6.761335733543508e+29
4.928496588656941e+32,2.837981120314067e+26,7.353685933505341e+29
5.3601027641912134e+32,3.171386051895543e+26,7.997936150865775e+29
5.829506245132586e+32,3.543612920300834e+26,8.698638308099265e+29
6.340017077483689e+32,3.9588790252103644e+26,9.46073894667694e+29
6.895235179882821e+32,4.4224777214399284e+26,1.0289614414894219e+30
7.499075728793413e+32,4.940213833926899e+26,1.1191123286151379e+30
8.155796766765853e+32,5.517874370291111e+26,1.2171628941998411e+30
8.870029228454101e+32,6.162181346558147e+26,1.3238052229093674e+30
9.646809596118624e+32,6.881249064369005e+26,1.4397926841271706e+30
1.049161541488915e+33,7.683313377778519e+26,1.5659436033903236e+30
1.1410403918226779e+33,8.578387904886395e+26,1.7031505479537274e+30
1.2409654035956732e+33,9.576368762518067e+26,1.8523807413959723e+30
1.3496412081095668e+33,1.0689862713146842e+27,2.0146888729588227e+30
1.4678341437638784e+33,1.1931101344063365e+27,2.1912223069608317e+30
1.5963776599685212e+33,1.3315459703974031e+27,2.3832258442005904e+30
1.736178194296399e+33,1.4859292986046774e+27,2.5920564029041145e+30
1.8882215643194004e+33,1.657929644198671e+27,2.8191901431289363e+30
2.053579919200462e+33,1.84963490947433e+27,3.0662304759919895e+30
2.2334193000615583e+33,2.063480714502317e+27,3.334922956619564e+30
2.4290078624403108e+33,2.3015541220674922e+27,3.627164806772805e+30
2.641724818816704e+33,2.567009133530251e+27,3.9450213900774614e+30
2.8730701642690283e+33,2.86284430340067e+27,4.290738021591896e+30
3.1246752538405114e+33,3.192394251208501e+27,4.6667590324556994e+30
3.398314306203982e+33,3.559373895429831e+27,5.075739277849852e+30
3.6959169147438413e+33,3.9682423100861024e+27,5.520570253378812e+30
4.0195816542784815e+33,4.4234327536287355e+27,6.004392875511483e+30
4.3715908793723415e+33,4.9304259427111193e+27,6.53063068064254e+30
4.7544268185893686e+33,5.494638891063421e+27,7.102996290443919e+30
5.170789078178177e+33,6.123103313197547e+27,7.725539150772516e+30
5.623613678617848e+33,6.821683223529847e+27,8.402660730496218e+30
6.116093758262561e+33,7.600544319711018e+27,9.139142882951533e+30
6.651702090078833e+33,8.466128654415332e+27,9.940194409280936e+30
7.234215570254459e+33,9.42974777791445e+27,1.0811475612880044e+31
7.867741851363008e+33,1.050052052229452e+28,1.1759149242618228e+31
8.55674830789037e+33,1.1692725170485316e+28,1.2789912425298325e+31
9.306093538376637e+33,1.301742558590979e+28,1.3911053437780389e+31
1.0121061626313874e+34,1.4491271994555415e+28,1.5130498296267068e+31
1.1007399401393965e+34,1.612978738081856e+28,1.6456872223377036e+31
1.1971356963857962e+34,1.7950800259725359e+28,1.7899556647940957e+31
1.3019731757708501e+34,1.9973412599029783e+28,1.9468732439740587e+31
1.4159916503571944e+34,2.2220560932333587e+28,2.117553168306167e+31
1.539995132921372e+34,2.471759489844434e+28,2.3032014399404755e+31
1.674858046531041e+34,2.749202282738685e+28,2.50512983457997e+31
1.8215313906274509e+34,3.0572665994098377e+28,2.724767950215132e+31
1.9810494470939523e+34,3.3992751976169913e+28,2.9636684831427156e+31
2.1545370735990383e+34,3.7786987260931534e+28,3.2235222086136835e+31
2.343217635643678e+34,4.199785679250725e+28,3.5061663651363117e+31
2.5484216332465713e+34,4.667259293574914e+28,3.8136026425362355e+31
2.771596083099258e+34,5.185604369490078e+28,4.148005607385948e+31
3.0143147223503043e+34,5.760357733222765e+28,4.51174184076678e+31
3.2782891059715785e+34,6.39827707593483e+28,4.9073842560128195e+31
3.565380675960802e+34,7.104962599338976e+28,5.337733077946642e+31
3.8776138874876034e+34,7.887789642992382e+28,5.80583696772052e+31
4.217190484543376e+34,8.756172393728011e+28,6.315003230667364e+31
4.586505025761166e+34,9.717539748660225e+28,6.868842168076666e+31
4.98816176988746e+34,1.0781921715192399e+29,7.471270075207681e+31
5.424993039975462e+34,1.1960455664398671e+29,8.126553383551763e+31
5.900079195796849e+34,1.3265327490399588e+29,8.839332197787966e+31
6.416770355309481e+34,1.470865811533444e+29,9.614651552911414e+31
6.978710018352147e+34,1.6306221161137522e+29,1.0458001307614085e+32
7.589860759151277e+34,1.8072782981927128e+29,1.1375356418966775e+32
8.254532168812863e+34,2.002474753649486e+29,1.2373208425833141e+32
8.977411244838928e+34,2.2183044272000566e+29,1.3458628611415753e+32
9.763595441963264e+34,2.456543080455391e+29,1.4639302242563426e+32
1.061862861736777e+35,2.7199353941768553e+29,1.5923589743615283e+32
1.1548540123750653e+35,3.010601193252501e+29,1.7320586414425473e+32
1.2559887325915279e+35,3.3317072752399835e+29,1.8840209531638666e+32
1.3659801840689634e+35,3.6857530472842016e+29,2.049319525872806e+32
1.4856039826241873e+35,4.0765424881827035e+29,2.2291270299867903e+32
1.6157036675412138e+35,4.506917841047572e+29,2.424716138470277e+32
1.7571966498736197e+35,4.9813484993939444e+29,2.637474283035898e+32
1.9110806816611434e+35,5.50431245969311e+29,2.868907711443681e+32
2.0784408916788535e+35,6.04284194439583e+29,3.1205990009413146e+32
2.2604574373321826e+35,6.671308840049958e+29,3.3944395119851256e+32
2.4584138266559326e+35,7.363321165543988e+29,3.692319779348889e+32
2.673705969100671e+35,8.123897721605558e+29,4.016350843324024e+32
2.9078520189290565e+35,8.517249262329216e+29,4.368826831729289e+32
3.1625030806337764e+35,8.84812940419174e+29,4.7522092766248714e+32
3.439454851867458e+35,9.173300874462017e+29,5.169194215003429e+32
3.740660285985826e+35,9.50853924229122e+29,5.622729889185779e+32
4.0682433634953185e+35,9.858810105780673e+29,6.1160119995479545e+32
4.424514069515913e+35,1.0237753086635937e+30,6.652526525393288e+32
4.8119846828742425e+35,1.064733319723384e+30,7.236061823332487e+32
5.233387491691203e+35,1.1093576335006545e+30,7.870735909475272e+32
5.691694060387291e+35,1.1582053373739581e+30,8.561034312854015e+32
6.1901361839689004e+35,1.2117545729455609e+30,9.311829896456558e+32
6.732228677356867e+35,1.2712807755498285e+30,1.0128425429632385e+33
7.321794160458473e+35,1.3372098743841116e+30,1.10165891966851e+33
7.962990013757383e+35,1.4100481468312443e+30,1.1982595500147319e+33
8.660337694501542e+35,1.4908702590652004e+30,1.3033263923112524e+33
9.41875462021513e+35,1.5799345025834105e+30,1.4176019536480256e+33
1.0243588844364325e+36,1.680348023510437e+30,1.5418936087986438e+33
1.1140656768695877e+36,1.791128880767444e+30,1.6770796314592104e+33
1.2116284158180821e+36,1.9148740118795043e+30,1.8241132176004938e+33
1.3177350747784365e+36,2.0524921225375993e+30,1.984035551657617e+33
1.4331338755611056e+36,2.2051591821938846e+30,2.1579761176076202e+33
1.5586385644520637e+36,2.3757757549908077e+30,2.3471632145908268e+33
1.6951341504268335e+36,2.5655458480135686e+30,2.552934037150937e+33
1.8435831458805645e+36,2.776594141403788e+30,2.7767427497261147e+33
2.0050323538812922e+36,3.0117804145472854e+30,3.0201714695928215e+33
2.180620249807382e+36,3.273098759609163e+30,3.2849373250293646e+33
2.371585009421516e+36,3.563864742181976e+30,3.5729159340391675e+33
2.579273239992e+36,3.886353123350362e+30,3.886141257337824e+33
2.805149476029774e+36,4.2459467504376984e+30,4.226826776955994e+33
3.050806506601262e+36,4.6438461540062224e+30,4.597380265453104e+33
3.3179766070411756e+36,5.086931646047006e+30,5.000421788403442e+33
3.608543754266791e+36,5.577492865616019e+30,5.438798684245964e+33
3.9245569118312553e+36,6.121956428968058e+30,5.915613489825698e+33
4.2682444783967966e+36,6.72614187802568e+30,6.434234762041656e+33
4.642030001512707e+36,7.394935200139054e+30,6.998328640367976e+33
