number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
9.999999999999999e+31,3.3168410469e+25,1.4913206796960004e+29
1.0871311756780072e+32,3.713251273843014e+25,1.6212920687930415e+29
1.1818541931310464e+32,4.156599499705892e+25,1.7625902777851093e+29
1.2848305384585371e+32,4.651350526183349e+25,1.9162059710329995e+29
1.3967793338214368e+32,5.2046466886678065e+25,2.0832102907687677e+29
1.5184823593400425e+32,5.823219911019481e+25,2.2647715964426966e+29
1.6507895125556547e+32,6.514177186786579e+25,2.4621564586282293e+29
1.7946247435815536e+32,7.286053428446219e+25,2.6767477591965817e+29
1.950992507390657e+32,8.14895845878307e+25,2.910042088809421e+29
2.1209847782985885e+32,9.111777196007529e+25,3.1636736255583527e+29
2.305788675626902e+32,1.0187637081401e+26,3.4394114233297674e+29
2.5066947537993096e+32,1.1389066824636542e+26,3.739185732028287e+29
2.7251060147637365e+32,1.2730485635386552e+26,4.065089914470893e+29
2.9625477056773097e+32,1.4228168622139524e+26,4.419404350081516e+29
3.2206779702751577e+32,1.5899807590222634e+26,4.804602074450527e+29
3.50129942830549e+32,1.776691194146771e+26,5.223378427240986e+29
3.806371763894483e+32,1.9849933876645417e+26,5.678662589647405e+29
4.13802541075018e+32,2.2175766744831953e+26,6.1736343571282196e+29
4.498576429774312e+32,2.4769939089665944e+26,6.711754582749685e+29
4.8905426829779214e+32,2.7667061365298423e+26,7.296786305092658e+29
5.316661416649264e+32,3.0897923407462602e+26,7.932817581227077e+29
5.779908376563813e+32,3.450149796285836e+26,8.624298298976966e+29
6.2835185887249815e+32,3.852320808619188e+26,9.37606225754947e+29
6.831008950755203e+32,4.30072085466918e+26,1.0193363608647036e+30
7.426202791701496e+32,4.800811436797529e+26,1.1081920667084173e+30
8.073256571765748e+32,5.3588775680857035e+26,1.2047943319911545e+30
8.776688908413895e+32,5.981103587323037e+26,1.3098187398320887e+30
9.541412131564123e+32,6.674388786118912e+26,1.42399988624342e+30
1.0372766588215709e+33,7.447644856861218e+26,1.5481357934260023e+30
1.1276557936080496e+33,8.310349785586481e+26,1.683095591665329e+30
1.2259097686652355e+33,9.270696727867235e+26,1.829822208655993e+30
1.3327247280841914e+33,1.034157205340431e+27,1.9893423008647937e+30
1.4488466004973198e+33,1.1535805924454915e+27,2.1627710325555173e+30
1.5750863081757353e+33,1.2864851135739985e+27,2.351321855616833e+30
1.7123254300014193e+33,1.4346772958864814e+27,2.5563140215379356e+30
1.8615223578607926e+33,1.5997275164606893e+27,2.77918075117517e+30
2.0237189894520998e+33,1.783633221260726e+27,3.021481784347553e+30
2.2000480042449705e+33,1.988460724537261e+27,3.284910800170289e+30
2.391740773402888e+33,2.216482814269231e+27,3.571312181403034e+30
2.600135958906508e+33,2.4704914337861872e+27,3.8826893018891667e+30
2.826688861928696e+33,2.753246149525458e+27,4.221219860283233e+30
3.0729815857444713e+33,3.068097727793231e+27,4.589274107723323e+30
3.340734084147254e+33,3.4184011955679137e+27,4.989425110686401e+30
3.6318161725265955e+33,3.808573702276686e+27,5.424473116876783e+30
3.9482605854852394e+33,4.242286507342237e+27,5.897465300188051e+30
4.2922771721817053e+33,4.7255159363652293e+27,6.411709196435286e+30
4.6662683285297704e+33,5.262846338014191e+27,6.970804191826375e+30
5.0728457740236185e+33,5.860382137158822e+27,7.57866366779802e+30
5.514848790347509e+33,6.524927777624957e+27,8.239539731155069e+30
5.995364049136924e+33,7.264140071109677e+27,8.958062181253833e+30
6.517747167355882e+33,8.086303952961608e+27,9.739257961245678e+30
7.085646140819604e+33,9.000095259590754e+27,1.0588595483873608e+31
7.703026819507551e+33,1.001541186850005e+28,1.1512020042539122e+31
8.374200602570465e+33,1.11444292235009e+28,1.2515998120663276e+31
9.103854546435907e+33,1.2399747801690707e+28,1.3607558164592496e+31
9.89708409626844e+33,1.3791965923669741e+28,1.47943421507295e+31
1.075942866936042e+34,1.5340164632940052e+28,1.608466591744629e+31
1.169691033894545e+34,1.706027847942222e+28,1.748754461553901e+31
1.2716075888578003e+34,1.896868126663267e+28,1.9012827824960365e+31
1.382404253076057e+34,2.1088091059745043e+28,2.0671188379428507e+31
1.5028547609088511e+34,2.3441654763791763e+28,2.2474235641048374e+31
1.63380026310013e+34,2.605430766556605e+28,2.443459409067698e+31
1.7761552008470824e+34,2.895146866375442e+28,2.656602035155282e+31
1.9309136916834957e+34,3.2165772363611036e+28,2.888340222165652e+31
2.0991564717726407e+34,3.5731640703985496e+28,3.140300644030069e+31
2.2820584430902883e+34,3.968537429935428e+28,3.414247136265592e+31
2.4808968782026684e+34,4.407091362355796e+28,3.7121004346213046e+31
2.697060339936365e+34,4.892863614190361e+28,4.0359456749926343e+31
2.932058378229547e+34,5.431398542465431e+28,4.388053479188476e+31
3.187532071881239e+34,6.027984324643847e+28,4.7708893268853775e+31
3.465265488815606e+34,6.688905593182982e+28,5.187136525378606e+31
3.767198144892534e+34,7.420543416860981e+28,5.639714369596944e+31
4.095438548269029e+34,8.230991945573592e+28,6.131791798425675e+31
4.4522789238967415e+34,9.127464152838093e+28,6.666820235763133e+31
4.840211220982278e+34,1.0120152964468344e+29,7.248548623603621e+31
5.261944515196347e+34,1.1217854345832421e+29,7.881054236215148e+31
5.720423927157847e+34,1.2432756028762283e+29,8.568773717745622e+31
6.2188511893077135e+34,1.3775274495856096e+29,9.316524437832157e+31
6.76070700479867e+34,1.526033561869903e+29,1.0129552022528982e+32
7.349775354541317e+34,1.689861672787527e+29,1.1013555716084243e+32
7.990169922151747e+34,1.8709648308341553e+29,1.197473671638503e+32
8.686362821335881e+34,2.0711332806624635e+29,1.301983089172784e+32
9.443215826324606e+34,2.2920274435751085e+29,1.4156169443289004e+32
1.0266014323453437e+35,2.5356754241354243e+29,1.5391721546381327e+32
1.1160504220983198e+35,2.8044703406342826e+29,1.6735161124415313e+32
1.2132932074916826e+35,3.1010805052465467e+29,1.8195893289185696e+32
1.3190088711025734e+35,3.42794267918376e+29,1.9784168844593226e+32
1.433935664771462e+35,3.788116796627019e+29,2.1511141440701645e+32
1.5588761650896247e+35,4.1851582289885505e+29,2.338892495616725e+32
1.6947028780903075e+35,4.605507594124653e+29,2.5430400360147825e+32
1.8423643322832177e+35,5.0842177991460895e+29,2.7650429498444472e+32
2.0028917025822822e+35,5.6105724726449984e+29,3.0064321474093145e+32
2.1774060113840017e+35,6.1897684428612205e+29,3.2689017752681885e+32
2.3671259570842504e+35,6.82653942068207e+29,3.554294730221598e+32
2.57337642470293e+35,7.525792204416793e+29,3.8646136610899256e+32
2.7975977380493633e+35,8.293682016764714e+29,4.202033924560228e+32
3.0413557180397387e+35,9.135879792520002e+29,4.568924501813946e+32
3.306352617407571e+35,9.502837592756884e+29,4.967851757093514e+32
3.5944390081683495e+35,9.878061976851814e+29,5.401576655399075e+32
3.907626704852949e+35,1.0248908698129347e+30,5.873131867290643e+32
4.248102813757565e+35,1.0628363580303463e+30,6.3858048601210385e+32
4.618245006321312e+35,1.1028294067276972e+30,6.943184665818954e+32
5.020638123291174e+35,1.145234378709298e+30,7.549167137930547e+32
5.4580922256273584e+35,1.19163976094268e+30,8.207987280691505e+32
5.933662218205262e+35,1.2409262884990298e+30,8.924255136817244e+32
6.45066918335366e+35,1.2953934204382246e+30,9.702979440076578e+32
7.012723573209155e+35,1.353897823030748e+30,1.0549603432748712e+33
7.623750422847745e+35,1.4186220686870313e+30,1.1470050724474704e+33
8.288016760266175e+35,1.4893422663904268e+30,1.2470756713228125e+33
9.010161404627196e+35,1.5668075330689866e+30,1.355872175548827e+33
9.795227360860972e+35,1.652519969142319e+30,1.4741555697509607e+33
1.064869703684617e+36,1.7454922926287565e+30,1.602752499202176e+33
1.1576530529105492e+36,1.8483935757616401e+30,1.7425627120893005e+33
1.2585207244378798e+36,1.9620749130542096e+30,1.8945661967452149e+33
1.3681771147732897e+36,2.0856732428370504e+30,2.0598226726646142e+33
1.4873879953192308e+36,2.2220284031253734e+30,2.2394901456859017e+33
1.61698586004075e+36,2.371206424876036e+30,2.4348242247048697e+33
1.7578757390808136e+36,2.5343875199439591e+30,2.6471918803120066e+33
1.9110415189227716e+36,2.712563342305821e+30,2.8780784411764945e+33
2.077552813235997e+36,2.907555374048902e+30,3.1290991821862074e+33
2.2585724323864016e+36,3.119656729597188e+30,3.402008459435615e+33
2.4553645037741657e+36,3.350062545925771e+30,3.698717250651291e+33
2.669303299706055e+36,3.599502959543902e+30,4.021299584162458e+33
2.901882834450628e+36,3.869562447297241e+30,4.37201150267132e+33
3.15472729749614e+36,4.159765493626621e+30,4.753305600485023e+33
3.4296023958704813e+36,4.471516063058971e+30,5.1678483120397815e+33
3.728427684730788e+36,4.805088840851568e+30,5.618540835911479e+33
4.053289972331812e+36,5.159097143356873e+30,6.108530854429831e+33
4.4064578929849606e+36,5.533925670771993e+30,6.641247180999892e+33
4.7903977497763764e+36,5.927182441824588e+30,7.220414058188689e+33
5.2077907376796726e+36,6.33922824796832e+30,7.850080079715044e+33
5.66155166733874e+36,6.764595277684858e+30,8.534644780831451e+33
6.154849320275747e+36,7.203258269288949e+30,9.278895066150359e+33
6.691128577672356e+36,7.648239180403506e+30,1.0088032071375257e+34
7.274134477257662e+36,8.09671348627202e+30,1.0967708423144827e+34
7.90793836630105e+36,8.538459615442318e+30,1.192407291916972e+34
8.59696633334608e+36,8.971101968118191e+30,1.2963802644092645e+34
9.346030117234775e+36,9.381826115382863e+30,1.4094163435991554e+34
1.0160360709271503e+37,9.764874679370376e+30,1.532305573134421e+34
1.1045644883182962e+37,1.0110257827187821e+31,1.66590409929113e+34
1.200806490797646e+37,1.0409537003191989e+31,1.8111474265140454e+34
1.3054341721026271e+37,1.0656111385950599e+31,1.9690470150321085e+34
1.4191781862881753e+37,1.0843685800409553e+31,2.1407066856409723e+34
1.5428328501560463e+37,1.0973403288126474e+31,2.327326588259693e+34
1.6772616902647934e+37,1.1052465113174285e+31,2.53020595155537e+34
1.8234034732572466e+37,1.109829154891936e+31,2.7507632766270747e+34
1.9822787616175122e+37,1.1149321469203807e+31,2.9905378551988476e+34
2.154997040638791e+37,1.1258355624319223e+31,3.251206714093869e+34
2.3427644663722756e+37,1.1514371196849853e+31,3.53458763638219e+34
2.546892288663951e+37,1.2048281115028489e+31,3.8426647869846033e+34
2.7688060081004926e+37,1.3048613980939855e+31,4.177589818126283e+34
3.0100553308106183e+37,1.477968522848209e+31,4.541710014382046e+34
3.272324990640001e+37,1.552358538250451e+31,4.937557802100349e+34
3.5574465142749893e+37,1.5893971536761421e+31,5.36791429860127e+34
3.867411011475397e+37,1.8382429475440095e+31,5.83578528856152e+34
4.204383079735321e+37,2.624189422184067e+31,6.344454242748896e+34
4.57071592047338e+37,3.7976567834393313e+31,6.89752968021065e+34
4.968967772314412e+37,5.499824221536413e+31,7.498920403069048e+34
5.401919776222296e+37,7.92663222737073e+31,8.152886632843281e+34
5.872595397242821e+37,1.1334145212983442e+32,8.864086388662292e+34
6.384281538485845e+37,1.6049227705793908e+32,9.637601656196047e+34
6.940551494793513e+37,2.252340542680816e+32,1.0479001667605435e+35
7.545289906388623e+37,3.1304363349870893e+32,1.1394368705308815e+35
8.202719886763665e+37,4.3147825647238855e+32,1.2390385647930723e+35
8.917432514254756e+37,5.898908017374968e+32,1.347438105627884e+35
9.694418893251062e+37,8.006234773852027e+32,1.4654419982643903e+35
1.0539105008935112e+38,1.0793663596513005e+33,1.593939406085209e+35
1.1457389618957604e+38,1.4465451896619765e+33,1.7339131985897433e+35
1.245568544665838e+38,1.928054559339601e+33,1.8864471333394683e+35
1.354096396350117e+38,2.5571238438031853e+33,2.0527530379586575e+35
1.4720804073454557e+38,3.3761914314699945e+33,2.2341766709624257e+35
1.6003445039300251e+38,4.439368317726254e+33,2.432222095193754e+35
1.739784402047286e+38,5.798924659441399e+33,2.6485729524047285e+35
1.8913738624239246e+38,7.540545275099004e+33,2.8851152004334393e+35
2.056171490703575e+38,9.779799026723437e+33,3.1439894575038324e+35
2.235328130084178e+38,1.2658334023015848e+34,3.427635571382782e+35
2.430094898084535e+38,1.6354894305301275e+34,3.7388390276121095e+35
2.6418319235637683e+38,2.1095665739667302e+34,4.080812176780538e+35
2.87201784500757e+38,2.716656102823124e+34,4.4572574923125184e+35
3.1222601364112972e+38,3.492887291038727e+34,4.8724879028754714e+35
3.39430633286939e+38,4.483860651348391e+34,5.33154771579413e+35
3.690056234263605e+38,5.747165858510355e+34,5.8403674563687656e+35
4.011575172272954e+38,7.355099537701016e+34,6.405950875395096e+35
4.3611084333538e+38,9.398621033294464e+34,7.036622302204609e+35
4.74109693841119e+38,1.199198824144154e+35,7.742317233509993e+35
5.154194288658359e+38,1.5278536267279943e+35,8.534956084972875e+35
5.60328529670203e+38,1.9437851908132983e+35,9.42889614077024e+35
6.091506132262971e+38,2.469464558096369e+35,1.0441492796594916e+36
6.6222662232168345e+38,3.1330314544613586e+35,1.1593831252356642e+36
7.199272064898475e+38,3.969607355805013e+35,1.2911563363373379e+36
7.826553103938916e+38,5.0229319620149666e+35,1.442594271433905e+36
8.50848987739147e+38,6.347529871928908e+35,1.61752033573358e+36
9.249844603653017e+38,8.011597928136884e+35,1.8206407831100653e+36
1.0055794438808173e+39,1.0099595724998234e+36,2.0577090299648429e+36
1.0931967630637899e+39,1.2716826690000438e+36,2.3358130155443797e+36
1.18844828227693e+39,1.5994161963724646e+36,2.66368176829337e+36
1.2919991783442271e+39,2.0094603615369787e+36,3.0520892878079336e+36
1.4045725857283793e+39,2.5220034240052727e+36,3.5142850688674966e+36
1.5269546464479916e+39,3.162264859509954e+36,4.066702445462104e+36
1.6600000000000013e+39,3.961601660193654e+36,4.729644591866432e+36
