number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
9.999999999999999e+31,3.45328750224e+25,1.4912022785940002e+29
1.0864673259398206e+32,3.863182855618608e+25,1.620174538375531e+29
1.1804112503348246e+32,4.3209057020271124e+25,1.7603008439559965e+29
1.2824782546605572e+32,4.832490681339267e+25,1.9125488584757077e+29
1.393370719917024e+32,5.403962925668036e+25,2.077966977763111e+29
1.5138517601110923e+32,6.041901413505094e+25,2.2576922690534024e+29
1.6447504736771893e+32,6.754443461725692e+25,2.452964374916001e+29
1.786967648974309e+32,7.549596477319734e+25,2.6651273611847614e+29
1.941481963122086e+32,8.437633456580714e+25,2.8956419422526103e+29
2.1093567168336464e+32,9.428788693653985e+25,3.1460985603900044e+29
2.2917471515914515e+32,1.053548292193763e+26,3.418218500739206e+29
2.489908399519766e+32,1.1770950963510444e+26,3.7138803365213844e+29
2.7052041206613387e+32,1.3150333074062432e+26,4.035117212483852e+29
2.939115887096309e+32,1.468793476339163e+26,4.384143252380157e+29
3.1932533784807705e+32,1.6404856593736865e+26,4.763361373573224e+29
3.469365459166301e+32,1.8320232480067275e+26,5.1753866680699284e+29
3.769352213128389e+32,2.045719735888394e+26,5.623057003089486e+29
4.0952780195229464e+32,2.284028701834744e+26,6.109454246401617e+29
4.44938575885122e+32,2.5497591290504205e+26,6.637931065868119e+29
4.8341122474938065e+32,2.8465675977573553e+26,7.21212908901418e+29
5.252105006827532e+32,3.177150308623369e+26,7.836001759361923e+29
5.706240482323054e+32,3.545649210736695e+26,8.513850928915672e+29
6.199643837999081e+32,3.957233013332816e+26,9.250344755172726e+29
6.735710462450148e+32,4.415458582059681e+26,1.0050559397134258e+30
7.318129334443087e+32,4.926684147142793e+26,1.0920007378620024e+30
7.95090840887414e+32,5.496523680228136e+26,1.1864681812631335e+30
8.638402197781923e+32,6.131552979737818e+26,1.2891091484176978e+30
9.385341736216798e+32,6.839790828807928e+26,1.4006309470695082e+30
1.0196867139178857e+33,7.628085421867228e+26,1.521802275078766e+30
1.1078562973667284e+33,8.507544066985693e+26,1.6534590882361468e+30
1.2036496689256204e+33,9.48641684071269e+26,1.796506001739681e+30
1.307726037165969e+33,1.0578581432440926e+27,1.951930836882064e+30
1.420801610661589e+33,1.1794595954814894e+27,2.1208059874702221e+30
1.5436545266264871e+33,1.3148371133285187e+27,2.3042944300645306e+30
1.677130205718779e+33,1.4656956479800433e+27,2.50366098987477e+30
1.8221471698601832e+33,1.633837866237264e+27,2.720280027195062e+30
1.979703363106806e+33,1.820892131129854e+27,2.955644915995611e+30
2.1508830190687211e+33,2.0292046667037287e+27,3.211378082607448e+30
2.3368641221369622e+33,2.2611607073314076e+27,3.4892418720840984e+30
2.538926513862852e+33,2.519509860480117e+27,3.791154553866425e+30
2.758460700274284e+33,2.807011129583972e+27,4.119194877213481e+30
2.996977420737086e+33,3.12691920491521e+27,4.47562827350396e+30
3.256118044210244e+33,3.4829525895854517e+27,4.862908247108544e+30
3.5376658644375034e+33,3.879250606453489e+27,5.283709818687895e+30
3.843558371803998e+33,4.320203120373336e+27,5.740933359474971e+30
4.175900586307501e+33,4.8108049095204646e+27,6.23773052456395e+30
4.53697954339604e+33,5.35686975929877e+27,6.777530112313208e+30
4.9292800323571636e+33,5.963510390697355e+27,7.364053774090184e+30
5.355501695563642e+33,6.638484801904549e+27,8.001347999072153e+30
5.818577606245205e+33,7.389637436831521e+27,8.693810439516062e+30
6.321694452630552e+33,8.223926828230489e+27,9.44621568995699e+30
6.868314467358115e+33,9.151803721122172e+27,1.0263755412633305e+31
7.462199253064356e+33,1.0183048057229374e+28,1.115207175977609e+31
8.107435668106957e+33,1.132926563408761e+28,1.2117291674044006e+31
8.808463950557291e+33,1.260346173187482e+28,1.3166075221892772e+31
9.570108273999288e+33,1.4017883460265513e+28,1.430566216477906e+31
1.039760994540656e+34,1.5590285259667478e+28,1.5543909367514165e+31
1.129666347355115e+34,1.7337094841347074e+28,1.6889380792484845e+31
1.227345575615117e+34,1.9275895712895805e+28,1.8351336184955314e+31
1.3334708655426262e+34,2.1429306782206767e+28,1.9939888388115203e+31
1.4487725255047552e+34,2.381959944971782e+28,2.1665993306619853e+31
1.574044011680232e+34,2.6474108505622387e+28,2.3541581167275758e+31
1.7101473882818099e+34,2.941837486823567e+28,2.5579566455483895e+31
1.8580192599095055e+34,3.268966703479051e+28,2.7794051753533794e+31
2.018677216858566e+34,3.631332874760966e+28,3.0200321978330334e+31
2.1932268377359653e+34,4.033437942462345e+28,3.2814963720976197e+31
2.3828692975744434e+34,4.479417329438425e+28,3.565608015251078e+31
2.5889096337998047e+34,4.974226997636787e+28,3.8743255692357016e+31
2.8127657269343146e+34,5.522344585977948e+28,4.209781928178567e+31
3.055978057837501e+34,6.1299583120029535e+28,4.574295100336808e+31
3.320220308629476e+34,6.803568542384871e+28,4.9703832389584135e+31
3.6073108802477533e+34,7.511423862030078e+28,5.400720628129325e+31
3.9192254058963974e+34,8.332211096084653e+28,5.868394392853116e+31
4.258110346499668e+34,9.241115698983012e+28,6.3765798634905975e+31
4.626297761718178e+34,1.0246137738073517e+29,6.928787945809695e+31
5.026321358175327e+34,1.1358996679634513e+29,7.528837604526405e+31
5.460933925330955e+34,1.2591062299104392e+29,8.180873419412458e+31
5.933126278988372e+34,1.3952530861729879e+29,8.889400761302688e+31
6.446147842795776e+34,1.5458416382683261e+29,9.659318842749195e+31
7.003529009375069e+34,1.7122835686579836e+29,1.0495943813675563e+32
7.609105434957695e+34,1.8963266220275143e+29,1.1405064332916774e+32
8.267044434712643e+34,2.099520494481005e+29,1.2392961185699621e+32
8.981873660407921e+34,2.323894043704058e+29,1.3466464865248e+32
9.758512257752704e+34,2.5716560133923824e+29,1.4632995643012375e+32
1.0602304717831543e+35,2.8452857256213957e+29,1.5900621177812618e+32
1.1519057655581583e+35,3.147073438113797e+29,1.7278097630937775e+32
1.2515079768406344e+35,3.480212175901696e+29,1.8774968772113897e+32
1.3597225249903992e+35,3.847208652922874e+29,2.040156605471112e+32
1.4772940957464599e+35,4.251918014219945e+29,2.216915172348835e+32
1.6050317658323418e+35,4.69764714976508e+29,2.4089933762268742e+32
1.743814570672333e+35,5.1889568293022966e+29,2.617721233723279e+32
1.8945975535332668e+35,5.729785360575054e+29,2.8445426831244508e+32
2.058418337719414e+35,6.325104765625104e+29,3.0910258341825422e+32
2.236404267047503e+35,6.980185968688858e+29,3.3588768773025685e+32
2.4297801637395054e+35,7.539684269476243e+29,3.6499466293046425e+32
2.6398767571196795e+35,7.857868829872919e+29,3.966235982589322e+32
2.8681398411185044e+35,8.161962730247798e+29,4.309901423353841e+32
3.1161402236014835e+35,8.47596170069007e+29,4.683313859920639e+32
3.385584535989819e+35,8.813727094697887e+29,5.089041648620338e+32
3.678326977560068e+35,9.173967200698866e+29,5.529882257692085e+32
3.99638207524199e+35,9.573007092616455e+29,6.008875408500527e+32
4.3419385467219964e+35,1.0011634732382717e+30,6.52932332686901e+32
4.717374362252079e+35,1.0500739575530758e+30,7.094813531159441e+32
5.1252731088130825e+35,1.1045682021429975e+30,7.709244456420748e+32
5.568441769243423e+35,1.1650481514733604e+30,8.376854743634265e+32
6.0499300386815054e+35,1.2333044869444132e+30,9.102248048937536e+32
