number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
9.999999999999999e+31,3.4338706828200004e+25,1.4912348381050166e+29
1.085405171009441e+32,3.835861480086106e+25,1.6186251076872896e+29
1.1781043852540337e+32,4.284528342648773e+25,1.7568989220384757e+29
1.2787205917436267e+32,4.784737684809774e+25,1.9069849603803955e+29
1.3879299425547847e+32,5.343068220957053e+25,2.0698940991608103e+29
1.5064663366477998e+32,5.966080927719398e+25,2.246722581771851e+29
1.635126351749171e+32,6.660708418960599e+25,2.4386583729723636e+29
1.7747745974423525e+32,7.435321706262605e+25,2.646991731857443e+29
1.926349525440128e+32,8.299755248217314e+25,2.8731266553421567e+29
2.090869736084298e+32,9.263270470364856e+25,3.1185817007526355e+29
2.269440823453042e+32,1.0336568069385043e+26,3.3850074331029825e+29
2.4632628050758554e+32,1.153236232054016e+26,3.6741989574825055e+29
2.673638186184554e+32,1.2864465581727911e+26,3.988097932217013e+29
2.9019807126930174e+32,1.4350081443942914e+26,4.3288171561651936e+29
3.1498248717266638e+32,1.6006538398183948e+26,4.698650033428017e+29
3.418836203546271e+32,1.7852040420799454e+26,5.100084140492797e+29
3.7108224941634075e+32,1.990809107207828e+26,5.5358189235244746e+29
4.027745923863114e+32,2.2200363126037213e+26,6.008786250548823e+29
4.371736253273222e+32,2.4754814780256367e+26,6.522170015014201e+29
4.745105135592194e+32,2.7597317846597606e+26,7.07941872592625e+29
5.150361651155222e+32,3.0758075606612567e+26,7.68428621541747e+29
5.590229168732601e+32,3.428186190592946e+26,8.340841041732247e+29
6.067663646870173e+32,3.820676915480193e+26,9.053501490335107e+29
6.585873498258888e+32,4.257663809347189e+26,9.827061420958334e+29
7.148341150624233e+32,4.744342621501687e+26,1.06667268740511e+30
7.75884644902712e+32,5.2864325494245514e+26,1.1578150124787e+30
8.421492056842275e+32,5.889999719373018e+26,1.2567461753792919e+30
9.140731026111537e+32,6.562334747746107e+26,1.3641322052785617e+30
9.921396722547897e+32,7.308797288848157e+26,1.4806950513272624e+30
1.0768735306289608e+33,8.139857954893861e+26,1.6072205161512187e+30
1.1688440986678674e+33,9.064602784378068e+26,1.7445592254288128e+30
1.2686694287979727e+33,1.0094067235956528e+27,1.8936345024542867e+30
1.3770203583189135e+33,1.1239358473386463e+27,2.0554509825963185e+30
1.4946250175046217e+33,1.25135109614338e+27,2.2310989136003527e+30
1.6222737227195925e+33,1.3932016237805053e+27,2.4217598111891844e+30
1.760824287432582e+33,1.5510780038191608e+27,2.6287158800122903e+30
1.9112077868183384e+33,1.7265552774218653e+27,2.853361206522007e+30
2.0744348146861343e+33,1.9214488001639638e+27,3.0972097986331525e+30
2.2516022747823413e+33,2.1382464378741723e+27,3.361899523150449e+30
2.4439007521053734e+33,2.3793134220177122e+27,3.649216531010628e+30
2.6526225137690343e+33,2.647161785814724e+27,3.9610925706384593e+30
