number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
9.999999999999999e+31,3.4559262927000002e+25,1.4909869456020003e+29
1.0868958367843182e+32,3.8679956095858432e+25,1.62058002307749e+29
1.1813425600190831e+32,4.328662534907636e+25,1.7614354245367017e+29
1.2839963103008699e+32,4.84327759770655e+25,1.914536947340947e+29
1.395570244112441e+32,5.418439731956858e+25,2.08094784835513e+29
1.516839488265887e+32,6.06138005890398e+25,2.261823203691807e+29
1.648646524866248e+32,6.779179926178721e+25,2.4584214816258654e+29
1.791907044206059e+32,7.580965387004229e+25,2.672110504816567e+29
1.947616306252059e+32,8.477234577455794e+25,2.9043758237948325e+29
2.1168560549186146e+32,9.478052902940027e+25,3.1568313425535987e+29
2.3008020331627183e+32,1.0595725222408057e+26,3.43123420936926e+29
2.500732151109453e+32,1.1842991130353794e+26,3.7294922785806665e+29
2.7180353639535575e+32,1.3236064739020702e+26,4.053677078690455e+29
2.95422132131367e+32,1.4791642617378511e+26,4.406047923414987e+29
3.2109308550752952e+32,1.6527821852764578e+26,4.7890499097286235e+29
3.48994737858365e+32,1.846630298635745e+26,5.205350537953384e+29
3.793209276378914e+32,2.0630048131540495e+26,5.65784378512898e+29
4.1228233705478985e+32,2.3042325950301525e+26,6.149675616418229e+29
4.4810795572456006e+32,2.573825912784095e+26,6.684269564331311e+29
4.8704667150695595e+32,2.874199307962211e+26,7.265340418659192e+29
5.293689995805699e+32,3.209762506820661e+26,7.896931907991977e+29
5.753689617668008e+32,3.583828739560417e+26,8.583439345108055e+29
6.2536612915925126e+32,4.000958575774993e+26,9.329632141610097e+29
6.797078422491144e+32,4.4670331249656226e+26,1.0140705838742523e+30
7.387716239702147e+32,4.986122783693188e+26,1.1022302040110555e+30
8.029678024276161e+32,5.565240024302086e+26,1.1980551451668772e+30
8.727423615304288e+32,6.210740244214782e+26,1.302212227787986e+30
9.485800393327375e+32,6.930882142348843e+26,1.4154261512736195e+30
1.0310076956074573e+33,7.73356934347755e+26,1.538484266404273e+30
1.1205979720483385e+33,8.628420656601378e+26,1.6722443647144046e+30
1.2179732705282888e+33,9.625812621276809e+26,1.8176339163861618e+30
1.3238100770517776e+33,1.0738009075302875e+27,1.9756664482600295e+30
1.4388436614407047e+33,1.1977459266845857e+27,2.147441719578156e+30
1.563873185403407e+33,1.3357738129551067e+27,2.3341567534006013e+30
1.699767254473593e+33,1.489626030651763e+27,2.5371064353397127e+30
1.8474699523896592e+33,1.6609960318373438e+27,2.7577084251628993e+30
2.0080073998364432e+33,1.8519922623397216e+27,2.9974949406435287e+30
2.182494883114334e+33,2.064798438091766e+27,3.2581341953708144e+30
2.3721446022600466e+33,2.3015591887864673e+27,3.5414425610296023e+30
2.5782740924468369e+33,2.5654180803792687e+27,3.849389879767941e+30
2.802315377169334e+33,2.8594311533843845e+27,4.184121770367292e+30
3.045824916802025e+33,3.186567716526543e+27,4.547966753700963e+30
3.3104944216460635e+33,3.5507834319255464e+27,4.943459688520574e+30
3.598162604584815e+33,3.9560684415096257e+27,5.373350399144995e+30
3.9108279549962547e+33,4.4074172405455997e+27,5.840636973604286e+30
4.250662622665158e+33,4.909265169392524e+27,6.348568654785487e+30
4.6200275081494717e+33,5.468206340829779e+27,6.900682988173504e+30
5.021488664436688e+33,6.089588412321107e+27,7.500825160051236e+30
5.457835123835883e+33,6.781321793730798e+27,8.15317417709025e+30
5.932098273952446e+33,7.55068518604035e+27,8.86227354087673e+30
6.447572917354352e+33,8.406103355355528e+27,9.633062108863903e+30
7.007840161235766e+33,9.357370868609037e+27,1.0470906488772898e+31
7.6167922960971e+33,1.0414656145142117e+28,1.1381644427820996e+31
8.278659836278807e+33,1.1590107148193362e+28,1.2371616801996e+31
8.998040910204979e+33,1.2897436505520083e+28,1.3447723893549302e+31
9.779933204516768e+33,1.4350567427880888e+28,1.4617459691099468e+31
1.062976868401799e+34,1.5963214654778092e+28,1.5888973059012103e+31
1.1553451328639476e+34,1.7755185127365632e+28,1.7271122754739787e+31
1.2557398149588495e+34,1.9747975758001649e+28,1.8773553844588614e+31
1.3648583769630838e+34,2.19576082657749e+28,2.0406702796243434e+31
1.4834588877213775e+34,2.441407076338281e+28,2.2181974068361992e+31
1.61236528910506e+34,2.7139594761274644e+28,2.411173166466035e+31
1.7524731201038332e+34,3.016544362057274e+28,2.6209432920161316e+31
1.9047557383172812e+34,3.352314417326349e+28,2.8489689471023774e+31
2.0702710820680937e+34,3.724859024274309e+28,3.0968404171611176e+31
2.250169020114776e+34,4.137956255065547e+28,3.3662850692333583e+31
2.445699340023799e+34,4.596404110436651e+28,3.6591800863187446e+31
2.658220430698022e+34,5.104512573360988e+28,3.9775703276420895e+31
2.889208719380697e+34,5.667704025334077e+28,4.323672746621217e+31
3.1402689286958314e+34,6.292200221134613e+28,4.699901876233376e+31
3.4131452249826505e+34,6.984039217436329e+28,5.108880866363101e+31
3.709733335373917e+34,7.7504592815139095e+28,5.553464665270107e+31
4.032093717797914e+34,8.599783059662252e+28,6.036746756523864e+31
4.382465875398757e+34,9.539636846956936e+28,6.562105930624613e+31
4.76328391482025e+34,1.0579988667163884e+29,7.133200150384785e+31
5.177193456439839e+34,1.1731321579403625e+29,7.754015450102852e+31
5.627070014031476e+34,1.3005892201062098e+29,8.428885167066987e+31
6.116038971544684e+34,1.4415148765337732e+29,9.162512291873197e+31
6.647497295782561e+34,1.5973265345526305e+29,9.960020408899933e+31
7.225137135821079e+34,1.7697757540458356e+29,1.082697022551594e+32
7.852971473119706e+34,1.9600035126451694e+29,1.1769412984770855e+32
8.535362000519822e+34,2.170533184334881e+29,1.2793925202803758e+32
9.277049423812063e+34,2.402697171382815e+29,1.390765486089471e+32
1.0083186396383689e+35,2.6592852107511444e+29,1.5118375852222456e+32
1.0959373315749705e+35,2.9424028741743606e+29,1.6434538220884463e+32
1.1911697230653504e+35,3.254729234676876e+29,1.7865333208451492e+32
1.2946774129032582e+35,3.59905849087434e+29,1.942074159974907e+32
1.4071794900632434e+35,3.9791273735859076e+29,2.1111617907455374e+32
1.529457529358019e+35,4.397652989655548e+29,2.2949785549811577e+32
1.66236102119766e+35,4.8591876161777435e+29,2.4948064076979905e+32
1.8068132731722645e+35,5.36718973231163e+29,2.7120403005149516e+32
1.9638178244575815e+35,5.926064235846086e+29,2.9481969919608813e+32
2.1344654176057825e+35,6.541378507001975e+29,3.2049276600421312e+32
