number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
9.999999999999999e+31,3.3652589265000002e+25,1.4911454012040004e+29
1.0868958367843182e+32,3.7661070845478933e+25,1.620750604335127e+29
1.1813425600190831e+32,4.2136793485700645e+25,1.7616208050433257e+29
1.2839963103008699e+32,4.714199030741399e+25,1.9147381242061495e+29
1.395570244112441e+32,5.273176181965739e+25,2.0811648116933755e+29
1.516839488265887e+32,5.897270099715733e+25,2.2620575701694443e+29
1.648646524866248e+32,6.594849647109889e+25,2.4586748409942824e+29
1.791907044206059e+32,7.373752557338532e+25,2.6723844645202604e+29
1.947616306252059e+32,8.243621747294556e+25,2.9046703034432645e+29
2.1168560549186146e+32,9.214951730547746e+25,3.157150606610758e+29
2.3008020331627183e+32,1.029899171324668e+26,3.431576964857528e+29
2.500732151109453e+32,1.1509340618912727e+26,3.7298627416605655e+29
2.7180353639535575e+32,1.2860099871642052e+26,4.0540778124001144e+29
2.95422132131367e+32,1.4368384943535625e+26,4.406479262807346e+29
3.2109308550752952e+32,1.6050332187001633e+26,4.7895144882017844e+29
3.48994737858365e+32,1.792827210721391e+26,5.205851512470188e+29
3.793209276378914e+32,2.0024480510940407e+26,5.658382596568413e+29
4.1228233705478985e+32,2.236075448543025e+26,6.150256605209714e+29
4.4810795572456006e+32,2.496895147511674e+26,6.684894571588858e+29
4.8704667150695595e+32,2.78763772050892e+26,7.266013408632577e+29
5.293689995805699e+32,3.1122565191976174e+26,7.897655077559027e+29
5.753689617668008e+32,3.473927948516273e+26,8.584216324725622e+29
6.2536612915925126e+32,3.8773265069606174e+26,9.330467066209414e+29
6.797078422491144e+32,4.3275413310650475e+26,1.0141601082405584e+30
7.387716239702147e+32,4.8288323172071116e+26,1.102326231170132e+30
8.029678024276161e+32,5.3876096485325234e+26,1.198158104369511e+30
8.727423615304288e+32,6.0110777241830985e+26,1.3023224810497382e+30
9.485800393327375e+32,6.705316725174851e+26,1.4155441011642125e+30
1.0310076956074573e+33,7.479920458642747e+26,1.5386103372832552e+30
1.1205979720483385e+33,8.341867299191789e+26,1.6723788605401984e+30
1.2179732705282888e+33,9.302525828501225e+26,1.8177774187804598e+30
1.3238100770517776e+33,1.0373828867864614e+27,1.9758192360076015e+30
1.4388436614407047e+33,1.1566742819936533e+27,2.147606103754954e+30
1.563873185403407e+33,1.289440929852212e+27,2.3343295283543325e+30
1.699767254473593e+33,1.4373943204809041e+27,2.53729235221437e+30
1.8474699523896592e+33,1.6020464883171991e+27,2.757904395005142e+30
2.0080073998364432e+33,1.7855911342009885e+27,2.9977025079086253e+30
2.182494883114334e+33,1.989744625969045e+27,3.2583533590684544e+30
2.3721446022600466e+33,2.2170181322367623e+27,3.541673323086271e+30
2.5782740924468369e+33,2.469963344622843e+27,3.84963383918475e+30
2.802315377169334e+33,2.7517149359666894e+27,4.1843773281265043e+30
3.045824916802025e+33,3.0648648341445366e+27,4.5482355123858155e+30
3.3104944216460635e+33,3.4137244787196214e+27,4.9437400360987704e+30
3.598162604584815e+33,3.8014063751860866e+27,5.373642352724527e+30
3.9108279549962547e+33,4.2326530368548777e+27,5.840940521425134e+30
4.250662622665158e+33,4.712317412383158e+27,6.348882194777649e+30
4.6200275081494717e+33,5.245785653522564e+27,6.901005799282315e+30
5.021488664436688e+33,5.838865618246067e+27,7.501156953826867e+30
5.457835123835883e+33,6.498284126735581e+27,8.153510183286518e+30
5.932098273952446e+33,7.231378715303151e+27,8.862613242115833e+30
6.447572917354352e+33,8.045300950145898e+27,9.633401781343769e+30
7.007840161235766e+33,8.950506023139129e+27,1.0471242990620386e+31
7.6167922960971e+33,9.955266407941624e+27,1.1381971021659108e+31
8.278659836278807e+33,1.1072040447732945e+28,1.2371931528384394e+31
