number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
9.999999999999999e+31,3.4757003982600004e+25,1.4907072049740003e+29
1.0876937229187028e+32,3.893940376196293e+25,1.621465195834517e+29
1.1830776348767479e+32,4.361923456838356e+25,1.76369285837155e+29
1.2868261171809437e+32,4.885422274465156e+25,1.9183987006715568e+29
1.3996726901455595e+32,5.470620398027809e+25,2.0866755545330134e+29
1.52241519921206e+32,6.125297340994153e+25,2.269715291404588e+29
1.655921455858984e+32,6.856825801242182e+25,2.468812099847274e+29
1.8011353731842168e+32,7.675758079106153e+25,2.6853745208190396e+29
1.959083639539308e+32,8.591029376839857e+25,2.9209360567763443e+29
2.1308829773996322e+32,9.614458862008258e+25,3.177163430898449e+29
2.317748038791896e+32,1.0757719634753085e+26,3.4558696797151656e+29
2.5209999931010795e+32,1.2035116155795597e+26,3.759029330660896e+29
2.7420758679741375e+32,1.3464352155833681e+26,4.088781917617402e+29
2.982538709362323e+32,1.5059780766029097e+26,4.447468097059229e+29
3.2440886325354488e+32,1.68445886037028e+26,4.8376233107006775e+29
3.528574842200726e+32,1.8837549368591316e+26,5.2620084123233804e+29
3.8380087067105816e+32,2.1063009753280017e+26,5.723628941901707e+29
4.174577978796429e+32,2.3550289010973775e+26,6.2257494861638634e+29
4.540662263371522e+32,2.632673467203288e+26,6.771927487945519e+29
4.938849841763034e+32,2.942907750381259e+26,7.366027472474768e+29
5.3719559713236804e+32,3.289262959293993e+26,8.012254544207724e+29
5.8430427898044114e+32,3.6760668798201845e+26,8.71518406123774e+29
6.355440965215644e+32,4.107793098149328e+26,9.47979278195839e+29
6.912773244245437e+32,4.59014480285074e+26,1.0311490881640445e+30
7.51898006572612e+32,5.1283310158736284e+26,1.1216170133915792e+30
8.178347420241157e+32,5.7295983761600564e+26,1.2200233076644213e+30
8.895537152844674e+32,6.399764399445345e+26,1.3270649176964621e+30
9.67561992313926e+32,7.147920666605474e+26,1.4434995220778876e+30
1.0524111055745718e+33,7.983187320873477e+26,1.5701512060695465e+30
1.1447009534633939e+33,8.914528315449143e+26,1.7079172912260875e+30
1.2450840417011879e+33,9.954560233418235e+26,1.8577745470014808e+30
1.354270096664631e+33,1.1114623680951769e+27,2.0207822447200393e+30
1.4730310832786236e+33,1.2408843410799913e+27,2.1980946670488381e+30
1.6022066629462962e+33,1.3850970858929208e+27,2.3909691812333085e+30
1.7427101301052082e+33,1.5458928385511303e+27,2.600769823522049e+30
1.895534869382271e+33,1.7254527909272919e+27,2.828985183618322e+30
2.0617613790006196e+33,1.9255015532945895e+27,3.0772295105655517e+30
2.2425649100951826e+33,2.1485460604289797e+27,3.347261980922859e+30
2.4392237759482752e+33,2.3971874108410986e+27,3.640994579182302e+30
2.653128389892995e+33,2.674433578409282e+27,3.960509173003083e+30
2.885791095784016e+33,2.9833328540227e+27,4.308068495201288e+30
3.1388568605389596e+33,3.327488370592094e+27,4.6861349692064266e+30
3.414114904348533e+33,3.7112099257956403e+27,5.097388862211951e+30
3.7135113507830865e+33,4.1383428706037936e+27,5.544741769309057e+30
4.0391629862341166e+33,4.6146164206288374e+27,6.031364317837767e+30
4.393372225972411e+33,5.144545074450461e+27,6.560705268278053e+30
4.7786433926355607e+33,5.735354918732911e+27,7.136514238524295e+30
5.197700422236634e+33,6.392339219385911e+27,7.762872935043987e+30
5.653506122878678e+33,7.124452731883866e+27,8.444221799393818e+30
6.149283122337593e+33,7.939018711216278e+27,9.185387123745377e+30
6.688536652616521e+33,8.846493423744429e+27,9.991623872428885e+30
7.275079332562663e+33,9.855507452663284e+27,1.086864636483314e+31
7.913058123763993e+33,1.0979315517607152e+28,1.1822672122973207e+31
8.606983650308945e+33,1.2229158591085517e+28,1.28604642393805e+31
9.361762089704943e+33,1.3619375845294854e+28,1.3989378872364208e+31
1.0182729860430344e+34,1.516462965594068e+28,1.5217421562285464e+31
1.1075691351366925e+34,1.68850013898091e+28,1.655330165039082e+31
1.204695995986677e+34,1.8796274212669983e+28,1.800648632805584e+31
1.3103402728600035e+34,2.0921211039246085e+28,1.9587271911806511e+31
1.4252488896774061e+34,2.3283998249063708e+28,2.1306897566196676e+31
1.5502342708989654e+34,2.590773663622655e+28,2.317753725137558e+31
1.6861800855102567e+34,2.882393735625494e+28,2.521246911306392e+31
1.8340474947200277e+34,3.206405008441211e+28,2.742611150832243e+31
1.9948819475417475e+34,3.566057600251098e+28,2.983419069700478e+31
2.1698205723049953e+34,3.9655955376747705e+28,3.2453751532079337e+31
2.3601002163560113e+34,4.4092942190146684e+28,3.530341864317931e+31
2.567066190789506e+34,4.901579992081717e+28,3.8403388365000135e+31
2.792181782038571e+34,5.447734028214867e+28,4.177567043421367e+31
3.037038597571311e+34,6.054005637058948e+28,4.544418650509319e+31
3.3033678188401363e+34,6.726400704938052e+28,4.943496685165132e+31
3.593052441044063e+34,7.471898915908991e+28,5.377632683386292e+31
3.9081405862413495e+34,8.297783940436813e+28,5.849911255306959e+31
4.250859983938536e+34,9.21459523923895e+28,6.363678980906088e+31
4.623633721536243e+34,1.02295352164409e+29,6.922587714522855e+31
5.029097375990213e+34,1.1354284034492027e+29,7.53060326843676e+31
5.470117647811474e+34,1.2600402290796697e+29,8.192040583225482e+31
5.949812629151361e+34,1.39800172473222e+29,8.911597862360131e+31
6.471573849270359e+34,1.550550521493159e+29,9.69438542315593e+31
7.0390902532561985e+34,1.7196429839664053e+29,1.054595820270439e+32
7.656374283524989e+34,1.9065261087428315e+29,1.147236501639479e+32
8.327790248506312e+34,2.1133225198129218e+29,1.2480185962165622e+32
9.0580851790839e+34,2.3418412349524516e+29,1.3576577240224069e+32
9.852422390952492e+34,2.5944720804784782e+29,1.4769325667071053e+32
1.0716417990182705e+35,2.8737812821560744e+29,1.6066919218060257e+32
1.165618058009479e+35,3.1818355427984894e+29,1.7478527689538714e+32
1.2678354450175989e+35,3.522284279727342e+29,1.9014239214789478e+32
1.3790166552394823e+35,3.897916248004597e+29,2.0684935534772085e+32
1.4999477597043297e+35,4.312827672412702e+29,2.250248081396487e+32
1.6314837629363705e+35,4.7702542097687705e+29,2.4479793333563114e+32
