number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
7.294656684413895e+37,6.199602382785066e+32,1.1066723611428726e+35
8.000910059528155e+37,7.705364550013277e+32,1.2144869236127904e+35
8.775541406552462e+37,9.657159876391392e+32,1.3329059762513234e+35
9.625170937449377e+37,1.2184596703826218e+33,1.4630053595669264e+35
1.0557059819231819e+38,1.5449587127295123e+33,1.6059790850401754e+35
1.1579172229888014e+38,1.9661283045184985e+33,1.763154527882222e+35
1.270024342243102e+38,2.499356987224606e+33,1.9360073480234524e+35
1.3929854378766969e+38,3.1869121719632073e+33,2.126179970591353e+35
1.527851369139434e+38,4.105820102731453e+33,2.335533055300698e+35
1.6757747372717843e+38,5.380229156698708e+33,2.5662015966308466e+35
1.838019735951185e+38,7.218358348137699e+33,2.8206842515033025e+35
2.0159729554379548e+38,9.959325058365572e+33,3.1019813576624356e+35
2.2111552327559887e+38,1.4129066803919713e+34,3.4137963881467815e+35
2.425234649183103e+38,2.049758002520514e+34,3.760812522856861e+35
2.6600407861311688e+38,3.012469703904755e+34,4.1490471509983915e+35
2.9175803612506894e+38,4.437810110221668e+34,4.5862731861772245e+35
3.2000543783902547e+38,6.4906360702357765e+34,5.082478501685725e+35
3.50987693797914e+38,9.355401732098697e+34,5.650316787735931e+35
3.849695868591723e+38,1.322198594009276e+35,6.305491786705721e+35
4.222415356016756e+38,1.8268666189742392e+35,7.067024253142252e+35
4.6312207632256775e+38,2.4648564999301872e+35,7.95739004411798e+35
5.0796058533582875e+38,3.2488305969769435e+35,9.002591312492812e+35
5.5714026483808194e+38,4.1906146259657805e+35,1.0232310539411816e+36
6.1108141785967356e+38,5.305004080662125e+35,1.1680353411697924e+36
6.7024504028965465e+38,6.614732752832576e+35,1.3385567773684724e+36
7.351367606730926e+38,8.155504674766984e+35,1.5393342725428427e+36
8.063111614513042e+38,9.98074856917326e+35,1.7757724962913868e+36
