number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
4.36478103065829e+31,1.128988806233963e+25,6.510347586711381e+28
4.917296897839844e+31,1.3306018985242371e+25,7.334613093143434e+28
5.539752993716293e+31,1.564699605862302e+25,8.263238952795708e+28
6.241002703105069e+31,1.8421899500185806e+25,9.309452331494435e+28
7.03102011666326e+31,2.1652297099814557e+25,1.0488131267895505e+29
7.92104189545184e+31,2.5467806712485885e+25,1.1816062316926782e+29
8.923727093427727e+31,2.9920514336406413e+25,1.3312134777017247e+29
1.0053337211068185e+32,3.5161314385735525e+25,1.4997651460792464e+29
1.1325939041085804e+32,4.129209119190628e+25,1.689659578623455e+29
1.275963319137108e+32,4.8483953047680075e+25,1.9036000755885935e+29
1.4374811535514881e+32,5.691838801127344e+25,2.1446319793135033e+29
1.6194447252708816e+32,6.6778284985425615e+25,2.4161855607184185e+29
1.8244421582350474e+32,7.836798278012347e+25,2.7221279890314852e+29
2.05538919408848e+32,9.187483424731106e+25,3.0668117562659318e+29
2.3155706636721026e+32,1.0779210730099884e+26,3.4551480441840206e+29
2.6086872081843027e+32,1.2627941443185194e+26,3.8926591555572066e+29
2.93890791454079e+32,1.4811577342776309e+26,4.385582701946446e+29
3.3109296135822046e+32,1.7340317913287852e+26,4.940924653603927e+29
3.7300436845461634e+32,2.0334616251446446e+26,5.566608103381503e+29
4.202211315984316e+32,2.379005663285089e+26,6.2715206639014196e+29
4.7341482935836346e+32,2.7890938600877937e+26,7.065727436798216e+29
5.333420520855237e+32,3.2609321266237575e+26,7.96050193635352e+29
6.008551631310919e+32,3.822250508218495e+26,8.968631951277649e+29
6.769144222728547e+32,4.466086652412012e+26,1.0104415979914188e+30
7.626016437858613e+32,5.232193348049515e+26,1.1384098481247897e+30
8.591355834201428e+32,6.111377737490153e+26,1.2825826581781844e+30
9.678892731392164e+32,7.154919132717928e+26,1.4450221303069218e+30
1.090409550176707e+33,8.355409571171628e+26,1.628032683612677e+30
1.2284390581788685e+33,9.775846290708838e+26,1.8342311518448102e+30
1.3839410333620366e+33,1.1414031080378164e+27,2.066544314340323e+30
1.559127228226167e+33,1.3346129368901611e+27,2.3282927218919e+30
1.756489369992035e+33,1.557892909301537e+27,2.62319406180676e+30
1.9788346012051485e+33,1.8204411382233104e+27,2.9554614502601316e+30
