number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
4.36478103065829e+31,1.1171262957458072e+25,6.508717852407794e+28
4.917296897839844e+31,1.3165970410535154e+25,7.332775312591794e+28
5.539752993716293e+31,1.548235021846846e+25,8.261166578947645e+28
6.241002703105069e+31,1.822811290416066e+25,9.30711523293355e+28
7.03102011666326e+31,2.142461986500863e+25,1.0485495546469253e+29
7.92104189545184e+31,2.519976859369976e+25,1.1813089613951425e+29
8.923727093427727e+31,2.9604598001814604e+25,1.330878193017317e+29
1.0053337211068185e+32,3.4788813790132286e+25,1.4993869605608749e+29
1.1325939041085804e+32,4.085309425136082e+25,1.689232983190299e+29
1.275963319137108e+32,4.796608681986649e+25,1.9031188466120247e+29
1.4374811535514881e+32,5.630686977865983e+25,2.1440890882539338e+29
1.6194447252708816e+32,6.605750420741796e+25,2.4155730743836403e+29
1.8244421582350474e+32,7.75189387705902e+25,2.72143692789923e+29
2.05538919408848e+32,9.08738111820288e+25,3.066032002882036e+29
2.3155706636721026e+32,1.0660955747802683e+26,3.4542681182955e+29
2.6086872081843027e+32,1.2488862577738565e+26,3.8916661613281674e+29
2.93890791454079e+32,1.4648004900970584e+26,4.3844619619226874e+29
3.3109296135822046e+32,1.7147917089737575e+26,4.939659749968522e+29
3.7300436845461634e+32,2.0107764477343513e+26,5.565180274033074e+29
4.202211315984316e+32,2.3524527822779386e+26,6.269908914431937e+29
4.7341482935836346e+32,2.7579782039733575e+26,7.063907714756445e+29
5.333420520855237e+32,3.224568364151929e+26,7.958447503501535e+29
6.008551631310919e+32,3.779646445836344e+26,8.966311996975297e+29
6.769144222728547e+32,4.416493731373907e+26,1.01017964672932e+30
7.626016437858613e+32,5.1743233240018054e+26,1.1381139993362933e+30
8.591355834201428e+32,6.0439890604321016e+26,1.2822485684129516e+30
9.678892731392164e+32,7.076103349163859e+26,1.4446447608725114e+30
1.090409550176707e+33,8.261922366961283e+26,1.62760642436442e+30
1.2284390581788685e+33,9.664640441060612e+26,1.8337495448760422e+30
1.3839410333620366e+33,1.1281666533366373e+27,2.0660001497125145e+30
1.559127228226167e+33,1.3188458118121678e+27,2.3276777137510651e+30
