number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
4.917296897839844e+31,1.3173872102625206e+25,7.332038529068018e+28
5.539752993716293e+31,1.5491787409842622e+25,8.260336613395444e+28
6.241002703105069e+31,1.8239352376333752e+25,9.306180331964925e+28
7.03102011666326e+31,2.143785282737602e+25,1.0484442515304916e+29
7.92104189545184e+31,2.5215739390900487e+25,1.1811903514808983e+29
8.923727093427727e+31,2.9624635284543576e+25,1.3307445894268513e+29
1.0053337211068185e+32,3.4813941331796627e+25,1.4992364715495644e+29
1.1325939041085804e+32,4.088457973214432e+25,1.6890634796050916e+29
1.275963319137108e+32,4.800501329393223e+25,1.9029279307716683e+29
1.4374811535514881e+32,5.635443029262953e+25,2.143874061435411e+29
1.6194447252708816e+32,6.611614115990753e+25,2.4153308976461152e+29
1.8244421582350474e+32,7.759172977102498e+25,2.721164181363787e+29
2.05538919408848e+32,9.09640178790631e+25,3.0657248442875487e+29
2.3155706636721026e+32,1.0672136240688954e+26,3.453922225001182e+29
2.6086872081843027e+32,1.2502573059673093e+26,3.891276655366704e+29
2.93890791454079e+32,1.4664778483146306e+26,4.3840233619139734e+29
3.3109296135822046e+32,1.7168107010076035e+26,4.939165873488813e+29
3.7300436845461634e+32,2.0132016509862714e+26,5.564624180985757e+29
4.202211315984316e+32,2.355315101778273e+26,6.269282769017215e+29
4.7341482935836346e+32,2.7613545853706252e+26,7.063202732077289e+29
5.333420520855237e+32,3.228403197906324e+26,7.957653752113796e+29
6.008551631310919e+32,3.783987701722498e+26,8.965418359520695e+29
6.769144222728547e+32,4.4210888481623634e+26,1.0100790258503599e+30
7.626016437858613e+32,5.1791289894401306e+26,1.1380007096744158e+30
8.591355834201428e+32,6.049199979317266e+26,1.2821210015052792e+30
9.678892731392164e+32,7.081909995738904e+26,1.4445011268603238e+30
1.090409550176707e+33,8.270127052644982e+26,1.6274447141132312e+30
1.2284390581788685e+33,9.676047561022888e+26,1.8335675028529e+30
1.3839410333620366e+33,1.1297543140220198e+27,2.0657952615145568e+30
1.559127228226167e+33,1.3209800342911956e+27,2.3274471463741884e+30
1.756489369992035e+33,1.541906092655799e+27,2.622239524954143e+30
1.9788346012051485e+33,1.8016260048835327e+27,2.954383753701916e+30
2.2293254065889935e+33,2.1024452007594168e+27,3.3286010605306786e+30
2.5115245940395543e+33,2.4549488142668912e+27,3.750234274731975e+30
2.82944596953964e+33,2.864132964463649e+27,4.2252820658253164e+30
3.1876114267579526e+33,3.342000699995551e+27,4.760521943861398e+30
3.591115263335838e+33,3.897810351995509e+27,5.363576898606481e+30
4.045696638652087e+33,4.5449534327489794e+27,6.043043225041003e+30
4.557821203654888e+33,5.299512176021675e+27,6.808609781504e+30
5.1347730638072055e+33,6.174761037000533e+27,7.671178184351311e+30
5.784758383162859e+33,7.197005604231215e+27,8.643065426552985e+30
6.517022103166001e+33,8.379430533028761e+27,9.73809425743449e+30
7.341979436301461e+33,9.763895582794071e+27,1.0971926014551993e+31
8.271364004870628e+33,1.1358462352320654e+28,1.2362084145294551e+31
9.318394731916318e+33,1.3228372116225139e+28,1.3928487013486837e+31
1.0497963858037698e+34,1.5375869021154247e+28,1.569334521739978e+31
1.1826848758316309e+34,1.7899833353267154e+28,1.7681997571940578e+31
1.3323950572090613e+34,2.07862751881698e+28,1.9922588602442371e+31
1.5010563039683866e+34,2.4184543731205716e+28,2.2447361605008824e+31
1.6910675369832876e+34,2.8057490078769945e+28,2.529197186825905e+31
1.9051313445594442e+34,3.262510184748913e+28,2.849745813066261e+31
2.1462924221806203e+34,3.7814333396970727e+28,3.210898458895103e+31
2.4179808781505347e+34,4.392704157115468e+28,3.6178736671238914e+31
2.724061021080011e+34,5.088181887487451e+28,4.076408178525286e+31
3.068886323138864e+34,5.904309051308672e+28,4.5931217560779445e+31
3.4573613408317787e+34,6.833799521704613e+28,5.175307997541218e+31
3.895011474016478e+34,7.920372395741552e+28,5.831362293628614e+31
4.388061555368153e+34,9.16037090683927e+28,6.570559936379442e+31
4.943524388092343e+34,1.06039782735016e+29,7.403545799606651e+31
5.569300491185438e+34,1.22526178054962e+29,8.342118701788775e+31
6.27429047095033e+34,1.4164495203326441e+29,9.39977205918311e+31
7.068521617061971e+34,1.6351897663585107e+29,1.0591519211091924e+32
7.963290523797606e+34,1.8876612650282612e+29,1.1934459471378933e+32
8.971323764977428e+34,2.176536293711853e+29,1.3447702579582267e+32
1.0106958907944819e+35,2.501811984941596e+29,1.515267103178278e+32
1.1386348441203777e+35,2.8640626200535042e+29,1.7073531978394213e+32
1.2827689516239156e+35,3.286568749868611e+29,1.9238309891669486e+32
1.4451482771208391e+35,3.780800023312394e+29,2.1678086522942232e+32
1.6280823917833846e+35,4.3444445144642404e+29,2.4427285593058444e+32
1.834173223882595e+35,4.9917841958580766e+29,2.7525393499087265e+32
2.0663520668157165e+35,5.4895558612540294e+29,3.101612361233745e+32
2.3279212717952602e+35,5.872478642970488e+29,3.4949819319342284e+32
2.6226012182076823e+35,6.231225139682093e+29,3.9381296838403716e+32
2.9545832297155715e+35,6.536288400400105e+29,4.437485447932558e+32
3.328589188745357e+35,6.931294457683141e+29,5.0000121262316975e+32
3.749938697275782e+35,7.307147751984851e+29,5.633893837701607e+32
4.224624739175691e+35,7.821015554399262e+29,6.347957932000003e+32
4.759398920259929e+35,8.322779929644868e+29,7.152606681195973e+32
5.36186749845886e+35,9.011006098712558e+29,8.059038881384842e+32
6.040599569968249e+35,9.707281356321854e+29,9.080457776517228e+32
6.805248950144411e+35,1.0634520381533853e+30,1.02311057526245e+33
7.666691482694163e+35,1.1618852321069436e+30,1.1527694708511066e+33
8.637179730150494e+35,1.2871813327391212e+30,1.2988392171803184e+33
9.73051724584422e+35,1.4259395121524708e+30,1.4634315660727426e+33
1.0962254906095607e+36,1.5971958892758372e+30,1.6488633324770273e+33
1.2349912095119171e+36,1.7923324728927697e+30,1.857805234186091e+33
1.3913225888622718e+36,2.027930425557307e+30,2.0932099393539582e+33
1.5674431780315718e+36,2.300803069410753e+30,2.3584578805189096e+33
1.7658579944186633e+36,2.625956379775612e+30,2.657308624353669e+33
1.9893891530844988e+36,3.005844642745379e+30,2.994043639398027e+33
2.2412160065640835e+36,3.455074731577274e+30,3.373447829972688e+33
2.524920365777076e+36,3.981344264058476e+30,3.8009490357350966e+33
2.844537445227975e+36,4.600860366889261e+30,4.282630953476288e+33
3.2046132571051864e+36,5.327071086565803e+30,4.8253748641739644e+33
3.610269270612911e+36,6.180509778929704e+30,5.436922360631806e+33
4.0672752562054484e+36,7.179485807706537e+30,6.125993824368388e+33
4.582131350809925e+36,8.353578849189617e+30,6.902440943858736e+33
5.162160511276356e+36,9.725764572135305e+30,7.777314044638564e+33
5.815612671048977e+36,1.1341958242751598e+31,8.763153308789951e+33
6.551782081511259e+36,1.3231978677442067e+31,9.873962370355484e+33
7.381139506986687e+36,1.5466754187142598e+31,1.1125703285661753e+34
8.315481153645585e+36,1.8092016594836467e+31,1.2536123458476858e+34
9.368096450579605e+36,2.1214468762007174e+31,1.4125547340798261e+34
1.0553957069445928e+37,2.492588641962683e+31,1.5916515915567563e+34
1.1889929871165685e+37,2.937348237436704e+31,1.7934777338461794e+34
1.3395016808483175e+37,3.47511313518039e+31,2.0209059343397e+34
1.5090625196593852e+37,4.130638610240241e+31,2.277202079197408e+34
1.7000872195983506e+37,4.9373343207543345e+31,2.5660339849574804e+34
1.915292783823182e+37,5.9402172462001845e+31,2.891541281772816e+34
2.157740147374209e+37,7.198439131016416e+31,3.2583956373384345e+34
2.4308777137962094e+37,8.791305740496316e+31,3.6718666423019147e+34
2.738590402844407e+37,1.0821407446631347e+32,4.1379030562485746e+34
3.0852549068950144e+37,1.3414929223911263e+32,4.663223759494849e+34
3.4758019419892704e+37,1.6731245111843662e+32,5.255413586579649e+34
3.915786378926738e+37,2.0961858819368067e+32,5.923039978550305e+34
4.411466251904037e+37,2.6329697138291145e+32,6.675781859513437e+34
4.969891768463182e+37,3.3087299128834354e+32,7.524571779097204e+34
5.5990055867654855e+37,4.151226611390275e+32,8.481762164859912e+34
6.307755786465548e+37,5.184019820531754e+32,9.561300964218172e+34
7.1062231400048955e+37,6.431245169753958e+32,1.0778932719672362e+35
8.005764494544111e+37,8.05526963728867e+32,1.2152499572115854e+35
9.01917430389879e+37,1.027662784270123e+33,1.3702333769532017e+35
1.0160866607997868e+38,1.3277191296404166e+33,1.5451604281237627e+35
1.1447080048214214e+38,1.7516217706268649e+33,1.7426818460473413e+35
1.289610883456363e+38,2.361834495494306e+33,1.9658507045794396e+35
1.4528562949890002e+38,3.3020129289455885e+33,2.2182250510772287e+35
1.6367661292000792e+38,4.8082082371791003e+33,2.504055540736721e+35
1.8439561923203787e+38,7.255861405629931e+33,2.8285121107323002e+35
2.0773734124486086e+38,1.122431252735026e+34,3.1980074805649535e+35
2.3403377546176453e+38,1.757274105337316e+34,3.62066515438835e+35
2.636589441680004e+38,2.7513773300608266e+34,4.106944567998901e+35
2.970342152649757e+38,4.266814073197576e+34,4.670401871514149e+35
3.3463429551572956e+38,6.509546548890989e+34,5.32863476755284e+35
3.769939824454716e+38,9.730524068711598e+34,6.104373508038971e+35
4.24715770931542e+38,1.4227856045356276e+35,7.026642117153846e+35
4.784784226736688e+38,2.03538254125948e+35,8.132303427372927e+35
5.390466204307354e+38,2.8528774358383866e+35,9.467662160119884e+35
6.072818443392426e+38,3.926248149970582e+35,1.1090867579187451e+36
6.841546250106947e+38,5.318398842212089e+35,1.3074411690791276e+36
7.707583476874873e+38,7.107908719574054e+35,1.5509013377537492e+36
8.683248037980579e+38,9.393897443485582e+35,1.8507905122682313e+36
9.782417111058637e+38,1.2301864897884511e+36,2.2213046465310493e+36
1.102072451646657e+39,1.5990977172248132e+36,2.680166694613613e+36
1.2415783081928259e+39,2.0663176575748877e+36,3.249685308755539e+36
1.3987435155208792e+39,2.6574188724834888e+36,3.957813683169255e+36
1.5758034827939772e+39,3.404788480422682e+36,4.839723875958633e+36
1.7752765884751378e+39,4.349406079025255e+36,5.939622118087771e+36
1.9999999999999805e+39,5.543158276799892e+36,7.313192490985078e+36
