number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
4.36478103065829e+31,1.1196877309144563e+25,6.49934615007564e+28
4.917296897839844e+31,1.3194726551349955e+25,7.3222180486830325e+28
5.539752993716293e+31,1.5514746455766334e+25,8.249273752585575e+28
6.241002703105069e+31,1.826451177502948e+25,9.29371794818938e+28
7.03102011666326e+31,2.1465226768432608e+25,1.04704034702355e+29
7.92104189545184e+31,2.5245246052511045e+25,1.1796088414616752e+29
8.923727093427727e+31,2.965597828408926e+25,1.3289630100835595e+29
1.0053337211068185e+32,3.484703209086796e+25,1.497229518657693e+29
1.1325939041085804e+32,4.0919336239511785e+25,1.6868026448080783e+29
1.275963319137108e+32,4.804243330454625e+25,1.9003810932650715e+29
1.4374811535514881e+32,5.639610885365727e+25,2.141005033905828e+29
1.6194447252708816e+32,6.616164250021233e+25,2.4120989306489875e+29
1.8244421582350474e+32,7.764039009674605e+25,2.7175233786397988e+29
2.05538919408848e+32,9.101709031608389e+25,3.061623488158007e+29
2.3155706636721026e+32,1.0677997847110415e+26,3.449302074044534e+29
2.6086872081843027e+32,1.2509149232392774e+26,3.886072091248591e+29
2.93890791454079e+32,1.4672212149058009e+26,4.3781604986033724e+29
3.3109296135822046e+32,1.7176826216376413e+26,4.932561426358134e+29
3.7300436845461634e+32,2.0142384294549464e+26,5.557184396905002e+29
4.202211315984316e+32,2.35639691995739e+26,6.260902008042159e+29
4.7341482935836346e+32,2.762429812275197e+26,7.05376207443316e+29
5.333420520855237e+32,3.229163253816521e+26,7.947019012030348e+29
6.008551631310919e+32,3.784240516944111e+26,8.953438611091984e+29
6.769144222728547e+32,4.420487110938405e+26,1.0087295192396218e+30
7.626016437858613e+32,5.177312400693616e+26,1.1364805167647838e+30
8.591355834201428e+32,6.0454611728325505e+26,1.280408491934638e+30
9.678892731392164e+32,7.075575178037572e+26,1.442571980441796e+30
1.090409550176707e+33,8.260521819397867e+26,1.6252714804675013e+30
1.2284390581788685e+33,9.662087981584667e+26,1.8311193003667264e+30
1.3839410333620366e+33,1.1277804630243628e+27,2.0630372423027873e+30
1.559127228226167e+33,1.3182982981888643e+27,2.324340092110622e+30
1.756489369992035e+33,1.5384835828891477e+27,2.6187391920197924e+30
1.9788346012051485e+33,1.797292172864997e+27,2.9504403482568543e+30
2.2293254065889935e+33,2.0970347590873703e+27,3.32415845511988e+30
2.5115245940395543e+33,2.4482745435827162e+27,3.7452292497331665e+30
2.82944596953964e+33,2.8560496546364953e+27,4.219643372207223e+30
3.1876114267579526e+33,3.3323761765958885e+27,4.754169336827696e+30
3.591115263335838e+33,3.8865902239705926e+27,5.356419965790463e+30
