number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
4.36478103065829e+31,1.0941526629244255e+25,6.502317147636221e+28
4.917296897839844e+31,1.2894386373398322e+25,7.3255613118858785e+28
5.539752993716293e+31,1.5161846387650152e+25,8.253035871471967e+28
6.241002703105069e+31,1.784930390192286e+25,9.297951034621404e+28
7.03102011666326e+31,2.097736970179153e+25,1.0475166459526244e+29
7.92104189545184e+31,2.4671433826418985e+25,1.1801447170801777e+29
8.923727093427727e+31,2.8981486757046464e+25,1.3295658906560725e+29
1.0053337211068185e+32,3.405370436206005e+25,1.4979077261230054e+29
1.1325939041085804e+32,3.998643117466623e+25,1.687565546161993e+29
1.275963319137108e+32,4.694382019140255e+25,1.9012392043202116e+29
1.4374811535514881e+32,5.510043849895711e+25,2.1419701651803875e+29
1.6194447252708816e+32,6.463462456233688e+25,2.4131843569569396e+29
1.8244421582350474e+32,7.584021464028647e+25,2.7187439650036728e+29
2.05538919408848e+32,8.889516065281767e+25,3.0629959813873787e+29
2.3155706636721026e+32,1.0427531739988466e+26,3.450845164429227e+29
2.6086872081843027e+32,1.2213459325562523e+26,3.887806905779518e+29
2.93890791454079e+32,1.4322410178611674e+26,4.380110521037586e+29
3.3109296135822046e+32,1.67631302685447e+26,4.93475330161239e+29
3.7300436845461634e+32,1.965196230252507e+26,5.559647597802231e+29
4.202211315984316e+32,2.2985145900402036e+26,6.263670051614653e+29
4.7341482935836346e+32,2.693980696465918e+26,7.056871855784997e+29
5.333420520855237e+32,3.148762883250932e+26,7.950512892571628e+29
6.008551631310919e+32,3.689585425257282e+26,8.957362803913945e+29
6.769144222728547e+32,4.30946603241152e+26,1.0091702943148697e+30
7.626016437858613e+32,5.046748036707876e+26,1.1369754307894733e+30
8.591355834201428e+32,5.8927036143850666e+26,1.2809642387359908e+30
9.678892731392164e+32,6.896378257409081e+26,1.443195812888587e+30
1.090409550176707e+33,8.050421507042651e+26,1.6259717784162167e+30
1.2284390581788685e+33,9.415198910541968e+26,1.831905153708489e+30
1.3839410333620366e+33,1.0987982171071049e+27,2.063919090453679e+30
1.559127228226167e+33,1.2841952779574226e+27,2.325329317866229e+30
1.756489369992035e+33,1.4983279471974807e+27,2.6198488371837925e+30
1.9788346012051485e+33,1.7499064893613928e+27,2.951684617115206e+30
2.2293254065889935e+33,2.0410669494885737e+27,3.325553455907957e+30
2.5115245940395543e+33,2.3820275022530952e+27,3.7467926835890767e+30
2.82944596953964e+33,2.777520894612351e+27,4.221395196514536e+30
3.1876114267579526e+33,3.239098967787491e+27,4.756131513609873e+30
3.591115263335838e+33,3.7755967131278835e+27,5.358617009952499e+30
4.045696638652087e+33,4.399665351269882e+27,6.037439226309513e+30
4.557821203654888e+33,5.126584596382735e+27,6.80227696569725e+30
5.1347730638072055e+33,5.969276253170374e+27,7.664020802148519e+30
5.784758383162859e+33,6.952844182052839e+27,8.634974347654657e+30
6.517022103166001e+33,8.088374190276147e+27,9.728946525710375e+30
7.341979436301461e+33,9.415757309243544e+27,1.0961580775839516e+31
8.271364004870628e+33,1.0944196705814603e+28,1.235038352453796e+31
9.318394731916318e+33,1.2735268670192643e+28,1.3915249021134481e+31
1.0497963858037698e+34,1.4788576368644311e+28,1.5678366510244424e+31
1.1826848758316309e+34,1.7198398233837638e+28,1.7665042236206505e+31
1.3323950572090613e+34,1.995001863322664e+28,1.990339463600742e+31
1.5010563039683866e+34,2.3184829775472645e+28,2.2425622586074985e+31
1.6910675369832876e+34,2.686868386617942e+28,2.5267349793744168e+31
1.9051313445594442e+34,3.120731567630438e+28,2.846955404852799e+31
2.1462924221806203e+34,3.6121212627012193e+28,3.207736115447158e+31
2.4179808781505347e+34,4.189907420872174e+28,3.6142874637543596e+31
2.724061021080011e+34,4.846199647535256e+28,4.072341129567725e+31
3.068886323138864e+34,5.614771256659233e+28,4.588506282441065e+31
3.4573613408317787e+34,6.487812430047872e+28,5.17006951081688e+31
3.895011474016478e+34,7.505975731647814e+28,5.825412616058987e+31
4.388061555368153e+34,8.664627005567792e+28,6.563801211724932e+31
4.943524388092343e+34,1.000985909775487e+29,7.3958626670669e+31
5.569300491185438e+34,1.154136542906585e+29,8.333382206814206e+31
6.27429047095033e+34,1.3311602142534451e+29,9.389830845698938e+31
7.068521617061971e+34,1.532920322718956e+29,1.0580202689351473e+32
7.963290523797606e+34,1.760466648247677e+29,1.1921423899282053e+32
8.971323764977428e+34,2.0109942692087766e+29,1.3432417650443366e+32
1.0106958907944819e+35,2.303144056568595e+29,1.513520977135074e+32
1.1386348441203777e+35,2.6455728274447326e+29,1.7054225129965058e+32
1.2827689516239156e+35,3.036369126429835e+29,1.921660614533155e+32
1.4451482771208391e+35,3.483146091555619e+29,2.1653285917728284e+32
1.6280823917833846e+35,3.9860391654525465e+29,2.4398930622070015e+32
1.834173223882595e+35,4.556466657490104e+29,2.7492943761413875e+32
2.0663520668157165e+35,5.198681154362963e+29,3.0979190726004674e+32
2.3279212717952602e+35,5.929822951092791e+29,3.490788101866293e+32
2.6226012182076823e+35,6.739503000183473e+29,3.9334493346461264e+32
2.9545832297155715e+35,7.654369270392399e+29,4.432302754601657e+32
3.328589188745357e+35,8.338120515308542e+29,4.99432917625692e+32
3.749938697275782e+35,8.937051131704821e+29,5.627700023135416e+32
4.224624739175691e+35,9.538578723466484e+29,6.341177305412666e+32
4.759398920259929e+35,1.0081026024288784e+30,7.145208033253503e+32
5.36186749845886e+35,1.0790933730740656e+30,8.050905913708472e+32
6.040599569968249e+35,1.1460195119514881e+30,9.071543854618702e+32
6.805248950144411e+35,1.235241489229913e+30,1.0221257570621417e+33
7.666691482694163e+35,1.3235310344502778e+30,1.1516835400372207e+33
8.637179730150494e+35,1.437104788930146e+30,1.297633171371954e+33
