number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
4.36478103065829e+31,1.112375468458383e+25,6.510454769054015e+28
4.917296897839844e+31,1.310932774557284e+25,7.3347315218802566e+28
5.539752993716293e+31,1.541483520189734e+25,8.263369710743038e+28
6.241002703105069e+31,1.8147626201304248e+25,9.30959640105146e+28
7.03102011666326e+31,2.1329093449400647e+25,1.048828984876768e+29
7.92104189545184e+31,2.508656375512385e+25,1.1816236491337216e+29
8.923727093427727e+31,2.9471147749415426e+25,1.3312325823422621e+29
1.0053337211068185e+32,3.4631525880629175e+25,1.4997860482458338e+29
1.1325939041085804e+32,4.066795312738174e+25,1.6896823945928774e+29
1.275963319137108e+32,4.77488466546245e+25,1.9036249178025884e+29
1.4374811535514881e+32,5.605280415221132e+25,2.1446589513909193e+29
1.6194447252708816e+32,6.576044502518251e+25,2.4162147683606454e+29
1.8244421582350474e+32,7.717142532415458e+25,2.7221594956311777e+29
2.05538919408848e+32,9.047030883658815e+25,3.0668456303714242e+29
2.3155706636721026e+32,1.061426450288025e+26,3.455184252598394e+29
2.6086872081843027e+32,1.2434600536869013e+26,3.8926977159317845e+29
2.93890791454079e+32,1.4584719947060577e+26,4.3856234333656706e+29
3.3109296135822046e+32,1.707468724588013e+26,4.9409675098507624e+29
3.7300436845461634e+32,2.002308540254315e+26,5.566652677943554e+29
4.202211315984316e+32,2.3423212709460343e+26,6.271566718531808e+29
4.7341482935836346e+32,2.7457440051751306e+26,7.065774157432937e+29
5.333420520855237e+32,3.209576777078895e+26,7.960548757773489e+29
6.008551631310919e+32,3.761203914563181e+26,8.968677405784776e+29
6.769144222728547e+32,4.393442100673526e+26,1.0104458975265689e+30
7.626016437858613e+32,5.1454780592652166e+26,1.138413658396348e+30
8.591355834201428e+32,6.008263576170455e+26,1.2825857883976027e+30
9.678892731392164e+32,7.031993323170597e+26,1.445024201631336e+30
1.090409550176707e+33,8.209448336781811e+26,1.6280333515525258e+30
1.2284390581788685e+33,9.602201085119826e+26,1.8342298400604996e+30
1.3839410333620366e+33,1.1208186949457823e+27,2.0665404773589847e+30
1.559127228226167e+33,1.3102014212933472e+27,2.3282855045408127e+30
1.756489369992035e+33,1.5291065150473575e+27,2.6231826072488085e+30
1.9788346012051485e+33,1.7864164088545279e+27,2.9554445150309346e+30
2.2293254065889935e+33,2.0844175773873476e+27,3.329794128737427e+30
2.5115245940395543e+33,2.433654294231312e+27,3.7515760027802916e+30
2.82944596953964e+33,2.8391700791588925e+27,4.226790888010935e+30
3.1876114267579526e+33,3.312589517238936e+27,4.7622185026908824e+30
3.591115263335838e+33,3.8629650070361413e+27,5.365484408209638e+30
4.045696638652087e+33,4.5032598698496e+27,6.04518763648005e+30
4.557821203654888e+33,5.249161608195309e+27,6.811020149203755e+30
5.1347730638072055e+33,6.113974635137206e+27,7.673887056296938e+30
5.784758383162859e+33,7.123553747736815e+27,8.646109103345006e+30
6.517022103166001e+33,8.290748410202321e+27,9.741513642590716e+30
7.341979436301461e+33,9.656687561362219e+27,1.097576651689451e+31
8.271364004870628e+33,1.1230643235918691e+28,1.236639721165545e+31
9.318394731916318e+33,1.3076417787767576e+28,1.3933329377079594e+31
1.0497963858037698e+34,1.5196241882264198e+28,1.5698781551190017e+31
1.1826848758316309e+34,1.7687258274772115e+28,1.7688098598767825e+31
1.3323950572090613e+34,2.0531754753106375e+28,1.9929435370528317e+31
1.5010563039683866e+34,2.3878339775624207e+28,2.245504195577968e+31
1.6910675369832876e+34,2.7682484861346527e+28,2.5300584818817087e+31
1.9051313445594442e+34,3.2164065849138502e+28,2.850711127641453e+31
2.1462924221806203e+34,3.7248855101321515e+28,3.2119798733352136e+31
2.4179808781505347e+34,4.323157126472159e+28,3.6190842719114307e+31
2.724061021080011e+34,5.002536010327439e+28,4.0777627914637905e+31
3.068886323138864e+34,5.79873085935058e+28,4.594636189565977e+31
3.4573613408317787e+34,6.704558369917732e+28,5.176999857428918e+31
3.895011474016478e+34,7.762128904727742e+28,5.833250501628156e+31
4.388061555368153e+34,8.968003073658051e+28,6.572665945437071e+31
4.943524388092343e+34,1.0369797873820487e+29,7.405892005756905e+31
5.569300491185438e+34,1.1967965615531261e+29,8.344730092076784e+31
6.27429047095033e+34,1.3818003384866702e+29,9.402674821437535e+31
7.068521617061971e+34,1.5930222433411377e+29,1.0594742374377235e+32
7.963290523797606e+34,1.8362738049911874e+29,1.1938032765534103e+32
8.971323764977428e+34,2.1138757950286968e+29,1.3451657876967358e+32
1.0106958907944819e+35,2.43120621081597e+29,1.5157278913914723e+32
1.1386348441203777e+35,2.7923106625673738e+29,1.707922779492503e+32
1.2827689516239156e+35,3.203160648631407e+29,1.9244933403887135e+32
1.4451482771208391e+35,3.671304702294217e+29,2.168538394329068e+32
1.6280823917833846e+35,4.201024250097162e+29,2.4435300703607264e+32
1.834173223882595e+35,4.804479521597903e+29,2.753416373481033e+32
2.0663520668157165e+35,5.479645385169341e+29,3.1025900640500735e+32
2.3279212717952602e+35,6.245126361766219e+29,3.496082701756759e+32
2.6226012182076823e+35,6.813241207648541e+29,3.9394044168513136e+32
2.9545832297155715e+35,7.270459172226858e+29,4.438979403737972e+32
3.328589188745357e+35,7.65421959151323e+29,5.0016531133756425e+32
3.749938697275782e+35,7.936327369448966e+29,5.635659079052202e+32
4.224624739175691e+35,8.428450137023845e+29,6.349996485861644e+32
4.759398920259929e+35,8.898305282600745e+29,7.15498972838285e+32
5.36186749845886e+35,9.544183314465606e+29,8.061783278653584e+32
6.040599569968249e+35,1.0163843051618003e+30,9.083621645933366e+32
6.805248950144411e+35,1.1006422192383417e+30,1.0234714573150655e+33
7.666691482694163e+35,1.1859740373882019e+30,1.1531811886046597e+33
8.637179730150494e+35,1.294847939253501e+30,1.2993039491801494e+33
9.73051724584422e+35,1.4103291893906422e+30,1.4639554754285987e+33
1.0962254906095607e+36,1.551716769631668e+30,1.649449120397042e+33
1.2349912095119171e+36,1.7074869477131594e+30,1.8584581221281135e+33
1.3913225888622718e+36,1.8964326867872404e+30,2.0939311925718603e+33
1.5674431780315718e+36,2.1068924889523756e+30,2.359250411094386e+33
1.7658579944186633e+36,2.3489195887789896e+30,2.6581710889438806e+33
1.9893891530844988e+36,2.622231428355412e+30,2.994974258870338e+33
2.2412160065640835e+36,2.937557039274255e+30,3.3744395204595854e+33
2.524920365777076e+36,3.293400140260815e+30,3.8019913295646875e+33
2.844537445227975e+36,3.698162821265178e+30,4.283705364316287e+33
3.2046132571051864e+36,4.151982395558481e+30,4.826455153703538e+33
3.610269270612911e+36,4.6607059085151057e+30,5.437970103483331e+33
4.0672752562054484e+36,5.224589238583923e+30,6.126955798773221e+33
4.582131350809925e+36,5.848593699068633e+30,6.90324432252458e+33
5.162160511276356e+36,6.531228353926992e+30,7.777860619338649e+33
5.815612671048977e+36,7.277967419585973e+30,8.763312318600998e+33
6.551782081511259e+36,8.087502926666298e+30,9.873562827605381e+33
7.381139506986687e+36,8.964461594763615e+30,1.1124519209816824e+34
8.315481153645585e+36,9.924671080571078e+30,1.2533869416935392e+34
9.368096450579605e+36,1.0963474021347023e+31,1.412184414295837e+34
1.0553957069445928e+37,1.2152873914803533e+31,1.5910898559872437e+34
1.1889929871165685e+37,1.3495293158854792e+31,1.7926637290524982e+34
1.3395016808483175e+37,1.5183850146012453e+31,2.019766416042154e+34
1.5090625196593852e+37,1.7342392710450986e+31,2.275644004161866e+34
1.7000872195983506e+37,2.0272341064884564e+31,2.5639437740977067e+34
1.915292783823182e+37,2.4439981756594476e+31,2.888781835405948e+34
2.157740147374209e+37,3.053015178231939e+31,3.254803141565533e+34
2.4308777137962094e+37,3.963532866035774e+31,3.6672515455676984e+34
2.738590402844407e+37,5.33414121337308e+31,4.132051720437982e+34
3.0852549068950144e+37,7.381329389186278e+31,4.655900979419782e+34
3.4758019419892704e+37,1.042371440190504e+32,5.246377784964804e+34
3.915786378926738e+37,1.4908192875882703e+32,5.912069248527463e+34
4.411466251904037e+37,2.143355011939839e+32,6.662709943039062e+34
4.969891768463182e+37,3.082612405745352e+32,7.5093714366978605e+34
5.5990055867654855e+37,4.3811887897545724e+32,8.464611882951931e+34
6.307755786465548e+37,6.2664769843699416e+32,9.54275791674663e+34
7.1062231400048955e+37,9.001560292082886e+32,1.0760249803598406e+35
8.005764494544111e+37,1.2857638301589694e+33,1.2135975798243319e+35
9.01917430389879e+37,1.8266415391275068e+33,1.3691654908469005e+35
1.0160866607997868e+38,2.5817353691050195e+33,1.5452360596849511e+35
1.1447080048214214e+38,3.624930872460217e+33,1.744721494189489e+35
1.289610883456363e+38,5.0030007829149994e+33,1.9709781389626423e+35
1.4528562949890002e+38,6.890561126869705e+33,2.2279137281317404e+35
1.6367661292000792e+38,9.545232890492681e+33,2.5202029189387072e+35
1.8439561923203787e+38,1.339434296530899e+34,2.8535369766719725e+35
2.0773734124486086e+38,1.9190054737119046e+34,3.2350410876896166e+35
2.3403377546176453e+38,2.8260913988577604e+34,3.6740230643791626e+35
2.636589441680004e+38,4.277420374698421e+34,4.183161278537177e+35
2.970342152649757e+38,6.568276286120604e+34,4.7799897485341435e+35
3.3463429551572956e+38,1.0018831099530198e+35,5.4882162205900996e+35
3.769939824454716e+38,1.4929474107210995e+35,6.338568981916557e+35
4.24715770931542e+38,2.160168544149793e+35,7.369252800239107e+35
4.784784226736688e+38,3.0393216000679924e+35,8.627620569965938e+35
5.390466204307354e+38,4.176429582781868e+35,1.0172036574646038e+36
6.072818443392426e+38,5.631357729000476e+35,1.2074854141309813e+36
6.841546250106947e+38,7.481346211292621e+35,1.4426337345260913e+36
7.707583476874873e+38,9.825162230933548e+35,1.7339077802436508e+36
8.683248037980579e+38,1.2788578565490209e+36,2.0954220593114405e+36
9.782417111058637e+38,1.6531201295965784e+36,2.544856032022529e+36
1.102072451646657e+39,2.1255115686685558e+36,3.104396651644781e+36
1.2415783081928259e+39,2.7216049266700483e+36,3.801946620660366e+36
1.3987435155208792e+39,3.47385975709291e+36,4.6725529909676715e+36
1.5758034827939772e+39,4.423227449236246e+36,5.760329903656731e+36
1.7752765884751378e+39,5.621622942852987e+36,7.120830063663861e+36
1.9999999999999805e+39,7.134731845199864e+36,8.823972928525048e+36
