number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
4.36478103065829e+31,1.1459350219967856e+25,6.510547365821534e+28
4.917296897839844e+31,1.3504888817273733e+25,7.334840381122747e+28
5.539752993716293e+31,1.5880228520860877e+25,8.263497523211194e+28
6.241002703105069e+31,1.8695723681006456e+25,9.309746703203903e+28
7.03102011666326e+31,2.1973168407899773e+25,1.0488466471909136e+29
7.92104189545184e+31,2.584397859801884e+25,1.1816444202004058e+29
8.923727093427727e+31,3.0360808579534857e+25,1.3312569818512266e+29
1.0053337211068185e+32,3.567711298390673e+25,1.4998147322961516e+29
1.1325939041085804e+32,4.189645025272324e+25,1.6897161157543047e+29
1.275963319137108e+32,4.919104799023772e+25,1.9036645546271583e+29
1.4374811535514881e+32,5.7744403699012695e+25,2.1447055341758035e+29
1.6194447252708816e+32,6.774395118817976e+25,2.4162694963518093e+29
1.8244421582350474e+32,7.949841862078657e+25,2.7222238271019422e+29
2.05538919408848e+32,9.319518748988806e+25,3.06692119091001e+29
2.3155706636721026e+32,1.0933421395818169e+26,3.455273085801444e+29
2.6086872081843027e+32,1.2807932938374437e+26,3.892801995116653e+29
2.93890791454079e+32,1.5021967740167972e+26,4.385745996205328e+29
3.3109296135822046e+32,1.7585302053800206e+26,4.941111319330388e+29
3.7300436845461634e+32,2.0620130694437486e+26,5.566821719024497e+29
4.202211315984316e+32,2.41226951979573e+26,6.271764935615973e+29
4.7341482935836346e+32,2.8279381395753672e+26,7.066007086821764e+29
5.333420520855237e+32,3.3061266552296144e+26,7.960821908820994e+29
6.008551631310919e+32,3.8749501069231296e+26,8.968998591908783e+29
6.769144222728547e+32,4.5274044945592005e+26,1.010483563238455e+30
7.626016437858613e+32,5.3037325195955015e+26,1.1384579544699428e+30
8.591355834201428e+32,6.194984927447817e+26,1.2826377674697058e+30
9.678892731392164e+32,7.252890484939951e+26,1.445085353525669e+30
1.090409550176707e+33,8.470199984529647e+26,1.6281051619027317e+30
1.2284390581788685e+33,9.91070922341353e+26,1.8343143511905765e+30
1.3839410333620366e+33,1.15726594559078e+27,2.0666397845211172e+30
1.559127228226167e+33,1.3532781434926633e+27,2.3284024060838374e+30
1.756489369992035e+33,1.5797348078065422e+27,2.623320056966477e+30
1.9788346012051485e+33,1.845835527873244e+27,2.9556063075221894e+30
2.2293254065889935e+33,2.1536717187153794e+27,3.3299843213429524e+30
2.5115245940395543e+33,2.514259889897145e+27,3.751799673799519e+30
2.82944596953964e+33,2.932602672060084e+27,4.2270535930131614e+30
3.1876114267579526e+33,3.4211075580016775e+27,4.7625270348414074e+30
3.591115263335838e+33,3.9892540727364957e+27,5.365846490690257e+30
4.045696638652087e+33,4.650842459357443e+27,6.045612477542829e+30
4.557821203654888e+33,5.422363045393034e+27,6.811518664467363e+30
5.1347730638072055e+33,6.317836458452737e+27,7.674471833669836e+30
5.784758383162859e+33,7.364252528967438e+27,8.646795588031116e+30
6.517022103166001e+33,8.574341707261605e+27,9.74231904053796e+30
7.341979436301461e+33,9.9909912578318e+27,1.0976712598909097e+31
8.271364004870628e+33,1.1621521421729383e+28,1.2367507051387357e+31
9.318394731916318e+33,1.3532868902397198e+28,1.3934633274193044e+31
1.0497963858037698e+34,1.5726919005111756e+28,1.5700309902174089e+31
1.1826848758316309e+34,1.8304787009696802e+28,1.7689893221993086e+31
1.3323950572090613e+34,2.125637505929466e+28,1.9931537637135603e+31
1.5010563039683866e+34,2.473211693160776e+28,2.245751028466177e+31
1.6910675369832876e+34,2.869600993283847e+28,2.5303478086212e+31
1.9051313445594442e+34,3.337177213059046e+28,2.851051230904898e+31
2.1462924221806203e+34,3.8677721059422376e+28,3.212379028514679e+31
2.4179808781505347e+34,4.49270883262154e+28,3.6195540711432175e+31
2.724061021080011e+34,5.203062202456916e+28,4.078314640495562e+31
3.068886323138864e+34,6.03646926701207e+28,4.595286055997512e+31
3.4573613408317787e+34,6.985608021830562e+28,5.177764066439795e+31
3.895011474016478e+34,8.094059643046818e+28,5.834150902485688e+31
4.388061555368153e+34,9.354670280701246e+28,6.573724652722684e+31
4.943524388092343e+34,1.0821457403919024e+29,7.407138535822209e+31
