number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
4.36478103065829e+31,1.145253422640407e+25,6.511621069279793e+28
4.917296897839844e+31,1.3496706016491834e+25,7.3360498092801585e+28
5.539752993716293e+31,1.5870653057807722e+25,8.264859797639784e+28
6.241002703105069e+31,1.868448420883337e+25,9.311281106964585e+28
7.03102011666326e+31,2.1959935445532387e+25,1.0490194715288164e+29
7.92104189545184e+31,2.582886408198618e+25,1.181839078976283e+29
8.923727093427727e+31,3.0344584115187386e+25,1.3314762426134792e+29
1.0053337211068185e+32,3.5659560845233676e+25,1.5000616962431068e+29
1.1325939041085804e+32,4.187714350705532e+25,1.6899942717274515e+29
1.275963319137108e+32,4.917119572994759e+25,1.903977849766297e+29
1.4374811535514881e+32,5.772598410279845e+25,2.1450584180149406e+29
1.6194447252708816e+32,6.772845209941853e+25,2.4166669708483994e+29
1.8244421582350474e+32,7.94878420565377e+25,2.72267152386631e+29
2.05538919408848e+32,9.319275103706269e+25,3.0674254569243335e+29
2.3155706636721026e+32,1.0934399759873944e+26,3.455841063961337e+29
2.6086872081843027e+32,1.2810816249597757e+26,3.893441792989517e+29
2.93890791454079e+32,1.5027570573446539e+26,4.3864667210325264e+29
3.3109296135822046e+32,1.759501300102943e+26,4.9419232109514535e+29
3.7300436845461634e+32,2.0635525913675232e+26,5.56773630422586e+29
4.202211315984316e+32,2.414552842747897e+26,6.272795340615095e+29
4.7341482935836346e+32,2.8312035575147348e+26,7.067168017884927e+29
5.333420520855237e+32,3.310336973329365e+26,7.9621299667178e+29
6.008551631310919e+32,3.880328325046128e+26,8.97047245262979e+29
6.769144222728547e+32,4.533711716530253e+26,1.0106496344716219e+30
7.626016437858613e+32,5.311119843698549e+26,1.1386450831675012e+30
8.591355834201428e+32,6.203192302066494e+26,1.282848615379864e+30
9.678892731392164e+32,7.261963237404758e+26,1.445322930094468e+30
1.090409550176707e+33,8.47995349142691e+26,1.6283728471067012e+30
1.2284390581788685e+33,9.921027233541509e+26,1.834615959873217e+30
1.3839410333620366e+33,1.1583031251493521e+27,2.0669795903831744e+30
1.559127228226167e+33,1.3543354295869275e+27,2.3287852382454884e+30
1.756489369992035e+33,1.5809528732855464e+27,2.623751326685163e+30
1.9788346012051485e+33,1.8474086351660637e+27,2.9560921582592943e+30
2.2293254065889935e+33,2.1561189415482318e+27,3.3305317052127825e+30
2.5115245940395543e+33,2.5179864720755736e+27,3.752416480255273e+30
2.82944596953964e+33,2.93824276807392e+27,4.2277488170833195e+30
3.1876114267579526e+33,3.42936701502045e+27,4.7633108478300877e+30
3.591115263335838e+33,4.001084183691951e+27,5.366730480954935e+30
4.045696638652087e+33,4.6667719237589255e+27,6.046609781897243e+30
4.557821203654888e+33,5.442962145803729e+27,6.812644220460297e+30
5.1347730638072055e+33,6.343258772208831e+27,7.675742382379857e+30
5.784758383162859e+33,7.39476549098443e+27,8.648230132304162e+30
6.517022103166001e+33,8.610637515218133e+27,9.74393888571265e+30
7.341979436301461e+33,1.0034041097644216e+28,1.0978542013756524e+31
8.271364004870628e+33,1.16744157885487e+28,1.236957348316397e+31
9.318394731916318e+33,1.359876575034927e+28,1.3936968058822234e+31
1.0497963858037698e+34,1.5809051364591466e+28,1.570294876278911e+31
1.1826848758316309e+34,1.8407301762730126e+28,1.7692876924560013e+31
1.3323950572090613e+34,2.1380781220324522e+28,1.9934912082413647e+31
1.5010563039683866e+34,2.4882896643627924e+28,2.2461328327278843e+31
1.6910675369832876e+34,2.8864727546957414e+28,2.530779691528015e+31
1.9051313445594442e+34,3.355919996444029e+28,2.8515399720314615e+31
2.1462924221806203e+34,3.8893415380056655e+28,3.2129316653561026e+31
2.4179808781505347e+34,4.517722007005278e+28,3.620179220463347e+31
2.724061021080011e+34,5.234275971016364e+28,4.079021897557015e+31
3.068886323138864e+34,6.07524145541335e+28,4.59608657487868e+31
3.4573613408317787e+34,7.032069291544181e+28,5.178670363762142e+31
3.895011474016478e+34,8.15089823469543e+28,5.835177600486072e+31
4.388061555368153e+34,9.428815576661565e+28,6.574888683640116e+31
4.943524388092343e+34,1.0917358738604742e+29,7.40845961496491e+31
5.569300491185438e+34,1.2619147173760337e+29,8.34769670670231e+31
6.27429047095033e+34,1.4593303930358314e+29,9.406106905351117e+31
7.068521617061971e+34,1.6852350215126625e+29,1.0598714033174915e+32
7.963290523797606e+34,1.9458408218658e+29,1.1942634041561464e+32
8.971323764977428e+34,2.243674816690248e+29,1.345699144068333e+32
1.0106958907944819e+35,2.585407038279552e+29,1.5163466417732556e+32
1.1386348441203777e+35,2.9760135034952213e+29,1.7086410749617366e+32
1.2827689516239156e+35,3.422837540950469e+29,1.9253279107206923e+32
1.4451482771208391e+35,3.934983066746008e+29,2.1695092238448817e+32
1.6280823917833846e+35,4.5170499637751225e+29,2.444660190139015e+32
1.834173223882595e+35,5.183409275946274e+29,2.7547339188178087e+32
2.0663520668157165e+35,5.9137958172823176e+29,3.1041258086195282e+32
2.3279212717952602e+35,6.731444021915315e+29,3.4978754150040955e+32
