number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
6.241002703105069e+31,1.835336450160036e+25,9.298254866381481e+28
7.03102011666326e+31,2.157126262974477e+25,1.0475515365084672e+29
7.92104189545184e+31,2.5371822459739996e+25,1.1801848279161607e+29
8.923727093427727e+31,2.980675665535341e+25,1.3296120255053896e+29
1.0053337211068185e+32,3.5026879921431227e+25,1.4979608211826468e+29
1.1325939041085804e+32,4.11340046628245e+25,1.687626658393083e+29
1.275963319137108e+32,4.829745331288052e+25,1.9013095803141158e+29
1.4374811535514881e+32,5.669763887217393e+25,2.142051250997543e+29
1.6194447252708816e+32,6.651842331146572e+25,2.4132778686010498e+29
1.8244421582350474e+32,7.806314043093863e+25,2.718851945877698e+29
2.05538919408848e+32,9.15153027607392e+25,3.0631206248430204e+29
2.3155706636721026e+32,1.0736611841056092e+26,3.450989152682734e+29
2.6086872081843027e+32,1.2577799490902514e+26,3.887973228999145e+29
2.93890791454079e+32,1.4752608391319358e+26,4.380302906353735e+29
3.3109296135822046e+32,1.7270809250013278e+26,4.934975721028213e+29
3.7300436845461634e+32,2.02524307294295e+26,5.559905150271709e+29
4.202211315984316e+32,2.3694124742123822e+26,6.263968156733345e+29
4.7341482935836346e+32,2.7778967268105672e+26,7.057217588033277e+29
5.333420520855237e+32,3.2478595436774446e+26,7.950913396254424e+29
6.008551631310919e+32,3.8069459168623295e+26,8.957827798792742e+29
6.769144222728547e+32,4.4483848136263045e+26,1.0092242239878622e+30
7.626016437858613e+32,5.211691130417193e+26,1.137038129547982e+30
8.591355834201428e+32,6.08798240774558e+26,1.2810370498292803e+30
9.678892731392164e+32,7.128219209643955e+26,1.4432805605928417e+30
1.090409550176707e+33,8.325208577208465e+26,1.62607033289041e+30
1.2284390581788685e+33,9.741725555477967e+26,1.832020002672782e+30
1.3839410333620366e+33,1.1375768491051417e+27,2.0640528580425917e+30
1.559127228226167e+33,1.33031620520878e+27,2.32548539859545e+30
1.756489369992035e+33,1.5530395133971755e+27,2.620030872254093e+30
1.9788346012051485e+33,1.814805559064452e+27,2.9518972410718575e+30
2.2293254065889935e+33,2.1177376347259617e+27,3.3258017680258906e+30
2.5115245940395543e+33,2.472587140338429e+27,3.7470829680964875e+30
2.82944596953964e+33,2.884236209682644e+27,4.221734490522097e+30
3.1876114267579526e+33,3.364887047719831e+27,4.756528335346001e+30
3.591115263335838e+33,3.9238165739916904e+27,5.359081169908618e+30
4.045696638652087e+33,4.5744656876157916e+27,6.037982270857567e+30
4.557821203654888e+33,5.332957900016187e+27,6.802912595708082e+30
5.1347730638072055e+33,6.213149839534402e+27,7.664764767025244e+30
5.784758383162859e+33,7.241528170364975e+27,8.635845915334138e+30
6.517022103166001e+33,8.430895367910952e+27,9.729967470062381e+30
7.341979436301461e+33,9.823343821471209e+27,1.096277846141253e+31
8.271364004870628e+33,1.1425599398065322e+28,1.2351787365074436e+31
9.318394731916318e+33,1.3303466208872027e+28,1.3916897264649466e+31
1.0497963858037698e+34,1.5459143081101137e+28,1.568029910467104e+31
1.1826848758316309e+34,1.7991773801188607e+28,1.7667312864882233e+31
1.3323950572090613e+34,2.0891456769590787e+28,1.9906058711252758e+31
1.5010563039683866e+34,2.430580368311814e+28,2.2428756158235894e+31
1.6910675369832876e+34,2.819999045925379e+28,2.527102989221929e+31
1.9051313445594442e+34,3.2793285182219066e+28,2.847388862891261e+31
2.1462924221806203e+34,3.8003133490812087e+28,3.208245606813691e+31
2.4179808781505347e+34,4.413872107200983e+28,3.6148880728359283e+31
2.724061021080011e+34,5.111642025233907e+28,4.073047867706039e+31
3.068886323138864e+34,5.930411941721059e+28,4.589340057868718e+31
3.4573613408317787e+34,6.86400518147403e+28,5.1710518837872525e+31
3.895011474016478e+34,7.954553676817881e+28,5.82657261524761e+31
4.388061555368153e+34,9.195144357621995e+28,6.565169409817467e+31
4.943524388092343e+34,1.0637916815139523e+29,7.397479000903638e+31
5.569300491185438e+34,1.2282647464111252e+29,8.335289048037681e+31
6.27429047095033e+34,1.418684160245173e+29,9.3920828434677e+31
7.068521617061971e+34,1.6360055823715256e+29,1.0582859506542338e+32
7.963290523797606e+34,1.8866994878600864e+29,1.1924705384697389e+32
8.971323764977428e+34,2.1735410788169828e+29,1.3436712976858314e+32
1.0106958907944819e+35,2.5027675644617472e+29,1.5140526207548379e+32
1.1386348441203777e+35,2.8793715427701036e+29,1.70604555564063e+32
1.2827689516239156e+35,3.309076091876098e+29,1.9223908514913713e+32
1.4451482771208391e+35,3.800234891741721e+29,2.1661849914772523e+32
1.6280823917833846e+35,4.356217996590528e+29,2.4408970111195454e+32
1.834173223882595e+35,4.990265900957811e+29,2.750472367623817e+32
2.0663520668157165e+35,5.66257882890729e+29,3.09929709095282e+32
2.3279212717952602e+35,6.395600296189536e+29,3.492400394015376e+32
2.6226012182076823e+35,6.937775073511062e+29,3.9352699103095605e+32
2.9545832297155715e+35,7.363694360309822e+29,4.4343309793541916e+32
3.328589188745357e+35,7.727151127586042e+29,4.9964232931787346e+32
3.749938697275782e+35,7.984931536632301e+29,5.62977486552749e+32
4.224624739175691e+35,8.49677762180917e+29,6.3433729731230086e+32
4.759398920259929e+35,9.000855500018557e+29,7.147534214592898e+32
5.36186749845886e+35,9.66819636664087e+29,8.053401016599061e+32
6.040599569968249e+35,1.0313311208705301e+30,9.07420015156845e+32
6.805248950144411e+35,1.1199159927737337e+30,1.0224118242387282e+33
7.666691482694163e+35,1.2107565604890348e+30,1.1519897684537351e+33
8.637179730150494e+35,1.326415425082926e+30,1.2979657255871927e+33
9.73051724584422e+35,1.4510128835969004e+30,1.4624528438793207e+33
1.0962254906095607e+36,1.6070838147217733e+30,1.6477619845042167e+33
1.2349912095119171e+36,1.7800257770737166e+30,1.8565648472679565e+33
1.3913225888622718e+36,1.983763344886489e+30,2.0918083794468535e+33
1.5674431780315718e+36,2.2154972471004018e+30,2.356871781123787e+33
1.7658579944186633e+36,2.4923705677284605e+30,2.655507870341117e+33
1.9893891530844988e+36,2.8091762321737856e+30,2.991994781518949e+33
2.2412160065640835e+36,3.1775730421470834e+30,3.371109196148889e+33
2.524920365777076e+36,3.5980955804282017e+30,3.798272835700952e+33
