number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
4.36478103065829e+31,1.108443841412105e+25,6.513325083606874e+28
4.917296897839844e+31,1.3064161246344704e+25,7.337964338237909e+28
5.539752993716293e+31,1.536341603725771e+25,8.267010831747991e+28
6.241002703105069e+31,1.8088879943107733e+25,9.313697325797676e+28
7.03102011666326e+31,2.126148394166295e+25,1.049290865649934e+29
7.92104189545184e+31,2.500899053450213e+25,1.1821438508620982e+29
8.923727093427727e+31,2.938280553997093e+25,1.3318184692346714e+29
1.0053337211068185e+32,3.4530808052765977e+25,1.5004459101086181e+29
1.1325939041085804e+32,4.055299079357391e+25,1.690425574488465e+29
1.275963319137108e+32,4.761685460538846e+25,1.90446192979301e+29
1.4374811535514881e+32,5.590027779041322e+25,2.1456016358756353e+29
1.6194447252708816e+32,6.558497748863911e+25,2.4172764494013843e+29
1.8244421582350474e+32,7.697022749444268e+25,2.7233551673441183e+29
2.05538919408848e+32,9.023907102007713e+25,3.068192204874284e+29
2.3155706636721026e+32,1.0587626323018256e+26,3.4567007501847354e+29
2.6086872081843027e+32,1.2403884358086278e+26,3.894405576383275e+29
2.93890791454079e+32,1.4549238870656742e+26,4.3875467542257496e+29
3.3109296135822046e+32,1.7033086754225427e+26,4.9431334813399286e+29
3.7300436845461634e+32,1.9973975381045325e+26,5.5690918358165695e+29
4.202211315984316e+32,2.3368402459642806e+26,6.2743135460223186e+29
4.7341482935836346e+32,2.7397085968640985e+26,7.068867344342197e+29
5.333420520855237e+32,3.203201671133761e+26,7.964032143619202e+29
6.008551631310919e+32,3.7545885362364504e+26,8.972600060787238e+29
6.769144222728547e+32,4.3870724720793394e+26,1.0108876677999971e+30
7.626016437858613e+32,5.139682400113104e+26,1.138911164091701e+30
8.591355834201428e+32,6.003419769191624e+26,1.283146105598474e+30
9.678892731392164e+32,7.028649037054838e+26,1.445655246139515e+30
1.090409550176707e+33,8.208123252273181e+26,1.6287441060427304e+30
1.2284390581788685e+33,9.603762380800608e+26,1.8350303684969942e+30
1.3839410333620366e+33,1.1213580934508987e+27,2.06744219500844e+30
1.559127228226167e+33,1.311206507928544e+27,2.329301205208211e+30
1.756489369992035e+33,1.5305181849851765e+27,2.624326760560466e+30
1.9788346012051485e+33,1.788398194142354e+27,2.956733372870399e+30
2.2293254065889935e+33,2.0872399305222127e+27,3.331246034436964e+30
2.5115245940395543e+33,2.4374092351087828e+27,3.7532116067940634e+30
2.82944596953964e+33,2.84380663922502e+27,4.228633491379641e+30
3.1876114267579526e+33,3.3184666986032235e+27,4.7642943436549034e+30
3.591115263335838e+33,3.870611057375594e+27,5.367823075321352e+30
4.045696638652087e+33,4.5134787380986394e+27,6.047822558906756e+30
4.557821203654888e+33,5.263038348960492e+27,6.813989041636196e+30
5.1347730638072055e+33,6.132624969284739e+27,7.677232526340639e+30
5.784758383162859e+33,7.148407339403633e+27,8.649879201538353e+30
6.517022103166001e+33,8.323341323777263e+27,9.745762755413919e+30
7.341979436301461e+33,9.699063337513176e+27,1.0980555958115363e+31
8.271364004870628e+33,1.128393123233818e+28,1.237179630735777e+31
9.318394731916318e+33,1.3142774019309464e+28,1.3939416329073367e+31
1.0497963858037698e+34,1.5276857874619128e+28,1.570564441978476e+31
1.1826848758316309e+34,1.7784865221883e+28,1.7695836996887593e+31
1.3323950572090613e+34,2.065542472424525e+28,1.9938162007531919e+31
1.5010563039683866e+34,2.403599529348481e+28,2.246488427227452e+31
1.6910675369832876e+34,2.7887828467902616e+28,2.531168917525273e+31
1.9051313445594442e+34,3.2430959756883152e+28,2.851964196595246e+31
2.1462924221806203e+34,3.7591411260617542e+28,3.2133945783790707e+31
2.4179808781505347e+34,4.367074977379942e+28,3.6206819068324672e+31
2.724061021080011e+34,5.058942599953035e+28,4.079567876469272e+31
3.068886323138864e+34,5.871010666444053e+28,4.596676457592508e+31
3.4573613408317787e+34,6.796616488446672e+28,5.1793073906998465e+31
3.895011474016478e+34,7.878707838890321e+28,5.835861530755807e+31
4.388061555368153e+34,9.112833285256468e+28,6.575621849972097e+31
4.943524388092343e+34,1.0550076190166201e+29,7.4092402649572e+31
5.569300491185438e+34,1.2192749091481032e+29,8.348525134852356e+31
6.27429047095033e+34,1.409795764538204e+29,9.406979054543866e+31
7.068521617061971e+34,1.6277687347801873e+29,1.0599627262513354e+32
7.963290523797606e+34,1.8794174477227354e+29,1.1943580956240672e+32
8.971323764977428e+34,2.1674334588514323e+29,1.3457964594284065e+32
1.0106958907944819e+35,2.4913101719769437e+29,1.5164197467503134e+32
1.1386348441203777e+35,2.8512964610052202e+29,1.708645200445356e+32
1.2827689516239156e+35,3.271829258800413e+29,1.925281903626558e+32
1.4451482771208391e+35,3.7645572784068425e+29,2.1694409624222934e+32
1.6280823917833846e+35,4.275457459953319e+29,2.4445635095540194e+32
1.834173223882595e+35,4.811733773068576e+29,2.754600696208164e+32
2.0663520668157165e+35,5.198799803215172e+29,3.1039033177631385e+32
2.3279212717952602e+35,5.45641811381994e+29,3.497510007308668e+32
2.6226012182076823e+35,5.764733625407675e+29,3.94092372513818e+32
