number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
8.674691155228856e+29,1e+20,1.3058454366445294e+27
1.010714611476953e+30,1.2898902612533133e+20,1.5214801954207015e+27
1.1776222118755968e+30,1.6638168860761273e+20,1.77273473357255e+27
1.3720976330581053e+30,2.1461411978584103e+20,2.0654885277935892e+27
1.5987018240021437e+30,2.768286630392061e+20,2.4066074107882597e+27
1.862739637266071e+30,3.57078596490047e+20,2.804077052442911e+27
2.170398929840445e+30,4.605922041145094e+20,3.267212355800307e+27
2.5288901736047658e+30,5.941133984965039e+20,3.806867620276441e+27
2.9466152199869583e+30,7.663410868007431e+20,4.435690592328727e+27
3.433366272910266e+30,9.884959046625586e+20,5.168421990385602e+27
4.000555203583267e+30,1.2750512407130181e+21,6.022240705138821e+27
4.661481898963677e+30,1.6446761779946628e+21,7.017167759525901e+27
5.431646922138797e+30,2.1214517849106363e+21,8.176536974101682e+27
6.329116018707239e+30,2.736439997074666e+21,9.527543679358692e+27
7.374945082044413e+30,3.529707302730657e+21,1.1101884440559765e+28
8.593675624757488e+30,4.552935074866938e+21,1.2936502920001303e+28
1.0013912477463974e+31,5.872786613189489e+21,1.5074459521382241e+28
1.1668997387164333e+31,7.575250258771889e+21,1.7565945398172886e+28
1.3597794457647324e+31,9.771241535346502e+21,2.046946482537356e+28
1.584560601176701e+31,1.2603829296797223e+22,2.3853213904389705e+28
1.846524160211563e+31,1.6257556664437933e+22,2.7796689813128393e+28
2.151826164235874e+31,2.0970464013232393e+22,3.2392562925520237e+28
2.5076432581305213e+31,2.7049597304631315e+22,3.7748867382338143e+28
2.922342030949771e+31,3.489101213406781e+22,4.399155029231748e+28
3.4056767087740188e+31,4.5005576757004886e+22,5.126744774202171e+28
3.9690197394379594e+31,5.805225516094908e+22,5.974775595513401e+28
4.625630794539223e+31,7.4881038575899995e+22,6.963208078119527e+28
5.390970612633681e+31,9.658832241158708e+22,8.115316222035866e+28
6.283067187091593e+31,1.2458833642950133e+23,9.458238694325247e+28
7.322943064348063e+31,1.6070528182616383e+23,1.102362207680675e+29
8.5351139944409e+31,2.0729217795953783e+23,1.2848371528042675e+29
9.948170902407214e+31,2.673841615839944e+23,1.4975526877681716e+29
1.159545916928046e+32,3.448962260405767e+23,1.745528521264494e+29
1.3515871575539763e+32,4.448782831127576e+23,2.0346194573899575e+29
1.575477402718328e+32,5.7384416483024045e+23,2.3716547548925383e+29
1.8365086424758244e+32,7.401959996915622e+23,2.7646008423296917e+29
2.1408544830576542e+32,9.547716114208067e+23,3.2227513268409874e+29
2.4957175535285406e+32,1.2315506032928211e+24,3.756948903631418e+29
2.909501683534324e+32,1.5885651294280528e+24,4.379844557766034e+29
3.392013044128504e+32,2.0490746898158543e+24,5.106200369601079e+29
3.954695160034452e+32,2.643081486974103e+24,5.95324331382834e+29
4.6109035421608474e+32,3.4092850697468215e+24,6.941078707641542e+29
5.376226675646585e+32,4.3976036093027124e+24,8.093173448944225e+29
6.2688612570406484e+32,5.672426068491989e+24,9.436920929784369e+29
7.310050935003151e+32,7.316807143427177e+24,1.1004301559395467e+30
8.524599408336375e+32,9.43787827777539e+24,1.2832655239874967e+30
9.941470616068782e+32,1.217382727739667e+25,1.4965584970206832e+30
1.1594490967532023e+33,1.5702901247293776e+25,1.745401408760657e+30
1.3523171166181726e+33,2.0255019392306583e+25,2.0357423579900292e+30
1.5773668250962975e+33,2.6126752255633264e+25,2.3745300526834385e+30
1.839991209854267e+33,3.3700643292719386e+25,2.769883418033207e+30
2.146492490025548e+33,4.347013158125018e+25,3.2312902626841507e+30
2.5042367170263447e+33,5.607169938205469e+25,3.7698400571694457e+30
2.921834980060754e+33,7.232633896483578e+25,4.398496776357229e+30
3.409355873097887e+33,9.329304026284696e+25,5.13241882028778e+30
3.97857471392134e+33,1.2033778407775855e+26,5.989334284230888e+30
4.643265997093881e+33,1.552225357427048e+26,6.989981342595701e+30
5.419546734603793e+33,2.0022003718155926e+26,8.158625277599779e+30
6.326279734836105e+33,2.5826187606826747e+26,9.523665789140582e+30
7.385547529466308e+33,3.331294787934684e+26,1.111835072318268e+31
