number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
8.665141583110065e+29,1e+20,1.3044078913124956e+27
1.0097903993175371e+30,1.2898902612533133e+20,1.5200889321841633e+27
1.1757301848038899e+30,1.6638168860761273e+20,1.7698865691533295e+27
1.3699444846182322e+30,2.1461411978584103e+20,2.062247284075702e+27
1.595170617315181e+30,2.768286630392061e+20,2.4012917055150372e+27
1.859104145188064e+30,3.57078596490047e+20,2.798604361341959e+27
2.1653232361291612e+30,4.605922041145094e+20,3.259571655380035e+27
2.5224269452090442e+30,5.941133984965039e+20,3.797138193346262e+27
2.9387403574728933e+30,7.663410868007431e+20,4.423836160272065e+27
3.423136755042342e+30,9.884959046625586e+20,5.153022974395922e+27
3.9885162807965953e+30,1.2750512407130181e+21,6.004117900106336e+27
4.646949264630208e+30,1.6446761779946628e+21,6.995291042963089e+27
5.413582576640585e+30,2.1214517849106363e+21,8.149343791663163e+27
6.307637622748461e+30,2.736439997074666e+21,9.495211151736347e+27
7.347477246565889e+30,3.529707302730657e+21,1.1060535701693246e+28
8.559992058161326e+30,4.552935074866938e+21,1.288579732096149e+28
9.973074194174156e+30,5.872786613189489e+21,1.5012983559308787e+28
1.1618624961195187e+31,7.575250258771889e+21,1.7490117199496911e+28
1.3536296272442818e+31,9.771241535346502e+21,2.0376888446875144e+28
1.5769621870621927e+31,1.2603829296797223e+22,2.373883106731506e+28
1.8371922125208809e+31,1.6257556664437933e+22,2.7656211196471573e+28
2.140321004612188e+31,2.0970464013232393e+22,3.221936982015208e+28
2.4935538470594697e+31,2.7049597304631315e+22,3.7536772195632872e+28
2.904985064801472e+31,3.489101213406781e+22,4.373026689061553e+28
3.3844012388557057e+31,4.5005576757004886e+22,5.094717705132839e+28
3.94287646462538e+31,5.805225516094908e+22,5.935420764016607e+28
4.593496899502286e+31,7.4881038575899995e+22,6.914835249890512e+28
5.351489070543488e+31,9.658832241158708e+22,8.055882591677314e+28
6.234579454039372e+31,1.2458833642950133e+23,9.385247565791589e+28
7.26338368601721e+31,1.6070528182616383e+23,1.0933964208824831e+29
8.461949658764379e+31,2.0729217795953783e+23,1.2738233386745542e+29
9.858287721908836e+31,2.673841615839944e+23,1.4840220955725797e+29
1.1485064611936325e+32,3.448962260405767e+23,1.728910239927035e+29
1.3380299208334494e+32,4.448782831127576e+23,2.0142110224174072e+29
1.5588240294315112e+32,5.7384416483024045e+23,2.3465855346000116e+29
1.8160548055285107e+32,7.401959996915622e+23,2.733810572439598e+29
2.1157314127344967e+32,9.547716114208067e+23,3.1849321974815075e+29
2.4648631510848493e+32,1.2315506032928211e+24,3.71050207452052e+29
2.8716017866786133e+32,1.5885651294280528e+24,4.32279174121396e+29
3.3454614316060775e+32,2.0490746898158543e+24,5.0361236223127966e+29
3.8975159684642274e+32,2.643081486974103e+24,5.867168245367662e+29
4.5406696541827634e+32,3.4092850697468215e+24,6.835351623761298e+29
5.2899541703148395e+32,4.3976036093027124e+24,7.963302459427341e+29
6.162879865799717e+32,5.672426068491989e+24,9.27738093510647e+29
7.179854869889097e+32,7.316807143427177e+24,1.0808309689464493e+30
8.364648745211459e+32,9.43787827777539e+24,1.2591871858541624e+30
9.74495160451703e+32,1.217382727739667e+25,1.4669752847148407e+30
1.1353030444257336e+33,1.5702901247293776e+25,1.7090528476573432e+30
1.322646851959719e+33,2.0255019392306583e+25,1.9910778177073667e+30
1.540905762313758e+33,2.6126752255633264e+25,2.3196428405330903e+30
1.7951810340951075e+33,3.3700643292719386e+25,2.702427673437672e+30
2.0914166960714432e+33,4.347013158125018e+25,3.1483809048239913e+30
2.4365364434399816e+33,5.607169938205469e+25,3.6679260791796883e+30
2.838607429790408e+33,7.232633896483578e+25,4.273208323803661e+30
3.3070277595481936e+33,9.329304026284696e+25,4.978376670804084e+30
3.8527464871397016e+33,1.2033778407775855e+26,5.799915336567616e+30
4.488519628901414e+33,1.552225357427048e+26,6.757029242989953e+30
5.229208179724657e+33,2.0022003718155926e+26,7.872092809202606e+30
6.092125714323215e+33,2.5826187606826747e+26,9.171173435589557e+30
7.097443152546736e+33,3.331294787934684e+26,1.0684641104068933e+31
8.268660009099462e+33,4.297004704320835e+26,1.2447878143769022e+31
9.63315420991919e+33,5.5426645206631184e+26,1.450210737426408e+31
1.1222822045885302e+34,7.149428986597563e+26,1.6895356075396116e+31
1.3074823837831124e+34,9.221978823334341e+26,1.968357926776372e+31
1.5232452815852258e+34,1.1895340673703256e+27,2.2931968704153693e+31
1.7746147513722938e+34,1.5343684089300132e+27,2.67164781979745e+31
2.0674671114662689e+34,1.9791668678535493e+27,3.112560065481201e+31
2.408648564020453e+34,2.5529080682395166e+27,3.626243890479047e+31
2.80613531189701e+34,3.2929712550971614e+27,4.224711885593157e+31
3.2692200550966883e+34,4.2475715525368943e+27,4.921960057357645e+31
3.808729387645736e+34,5.478901179593956e+27,5.734295557967114e+31
4.437277000638714e+34,7.067181273927534e+27,6.6807184526841835e+31
5.169558744645545e+34,9.115888299750837e+27,7.783366676549846e+31
6.022696446179725e+34,1.1758495540521533e+28,9.068034610506628e+31
7.0166384666375755e+34,1.5167168884709241e+28,1.0564777368141809e+32
8.174626493498499e+34,1.9563983435170729e+28,1.23086151637004e+32
9.523739419296325e+34,2.5235391704347657e+28,1.4340354212360332e+32
1.1095527114089858e+35,3.2550885998350432e+28,1.6707543581505715e+32
1.2926748939078338e+35,4.19870708444394e+28,1.9465590526569947e+32
1.5060234360042591e+35,5.415871378079487e+28,2.26790606779333e+32
1.7545885807200374e+35,6.985879746785235e+28,2.6423193710556545e+32
2.0441847431141933e+35,9.011018251665037e+28,3.078567048960413e+32
2.381586713841977e+35,1.162322468679859e+29,3.586867341984739e+32
2.7746883994354854e+35,1.499268432786047e+29,4.179128895473884e+32
3.232687832279005e+35,1.9338917504552242e+29,4.869230930171531e+32
3.766302811038964e+35,2.4945081352303164e+29,5.673350005524596e+32
4.3880222471020755e+35,3.217641750250749e+29,6.61034115645994e+32
5.11239915495782e+35,4.150404757850473e+29,7.702182523251657e+32
5.956392198653329e+35,5.353566677410741e+29,8.97449411312062e+32
6.939763871551309e+35,6.905513520162373e+29,1.045714315391314e+33
8.085544731501387e+35,8.907354638610458e+29,1.2184950612237948e+33
9.42057469291126e+35,1.1489510001873062e+30,1.4198515938927055e+33
1.0976134225802952e+36,1.48202070579886e+30,1.6545180033316668e+33
1.278868045712398e+36,1.9116440753857114e+30,1.9280149835325623e+33
1.4900705713995318e+36,2.465811075822604e+30,2.246781202766821e+33
1.7361738982414602e+36,3.180625692794106e+30,2.618326806078313e+33
2.022951423142371e+36,4.10265810582719e+30,3.051412835171631e+33
2.357133359846904e+36,5.291978735958459e+30,3.5562610121862696e+33
2.7465658192467404e+36,6.826071834272379e+30,4.14479911812305e+33
3.200396484089111e+36,8.804883581643483e+30,4.830948122482055e+33
3.7292913661262316e+36,1.1357333583431122e+31,5.630958320146321e+33
4.3456879020993355e+36,1.4649713983072878e+31,6.563803034024446e+33
5.0640905497027e+36,1.8896523396912038e+31,7.651639992437515e+33
5.901416108031268e+36,2.4374441501222216e+31,8.920352334651637e+33
6.877397240132269e+36,3.144035471591513e+31,1.0400183399454528e+34
8.015054151933569e+36,4.0554607358408275e+31,1.2126482082115564e+34
9.341246125127789e+36,5.231099308056279e+31,1.4140578696657485e+34
1.0887316659677088e+37,6.747544053110741e+31,1.6490815060870892e+34
1.2689848417719984e+37,8.703591361485183e+31,1.9233757072094976e+34
1.4791547043503308e+37,1.1226677735108114e+32,2.2435623525401414e+34
1.7242276354039767e+37,1.448118227674524e+32,2.617397155617996e+34
2.0100271454993972e+37,1.8679135990207924e+32,3.05396871211148e+34
2.343356116450202e+37,2.4094035602395268e+32,3.563933868979747e+34
2.7321636876851996e+37,3.107866187782001e+32,4.159796420388091e+34
3.185741185535806e+37,4.0088063288984975e+32,4.856237587546274e+34
3.7149523135055444e+37,5.170920242896776e+32,5.670508517042504e+34
4.332503801664244e+37,6.669919663030115e+32,6.62289721481441e+34
5.053263887819668e+37,8.603464416684597e+32,7.737285020318447e+34
5.894637412965933e+37,1.109752496412079e+33,9.041811043716202e+34
