number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
3.1622776601683796e+26,3.422023556230881e+17,4.7563785495850784e+23
3.783462617131933e+26,4.612846294337687e+17,5.690703156848721e+23
4.526670619578869e+26,6.217826475517115e+17,6.808562771787909e+23
5.4158713780794874e+26,8.565812418934943e+17,8.146010564263092e+23
6.479743115621128e+26,1.166574302789903e+18,9.746181617149735e+23
7.752597488629433e+26,1.5039021880745341e+18,1.1660684424077436e+24
9.275486195712038e+26,2.0331808031423214e+18,1.395126550059851e+24
1.1097524964120699e+27,2.764774612547637e+18,1.6691799707294195e+24
1.3277477614727672e+27,3.70695103301554e+18,1.9970675811179777e+24
1.5885651294280528e+27,5.000991501120169e+18,2.3893642243096165e+24
1.9006163999369884e+27,6.762361455374424e+18,2.8587223511549757e+24
2.2739657523579323e+27,9.072433973655839e+18,3.420279666398565e+24
2.7206543324935056e+27,1.223261390277577e+19,4.0921476009274533e+24
3.25508859983507e+27,1.6523841502914615e+19,4.89599518374502e+24
3.8945049601597785e+27,2.224976672332172e+19,5.857748326511253e+24
4.6595256686646677e+27,2.9991741452478816e+19,7.008425618190252e+24
5.574823932450244e+27,4.032024363641198e+19,8.38513908182934e+24
6.669919663030115e+27,5.433496793275661e+19,1.0032290818701017e+25
7.980131543225705e+27,7.3041340786898166e+19,1.2003005679993044e+25
9.547716114208066e+27,9.823306685874114e+19,1.4360843857880714e+25
1.1423230620163488e+28,1.320785564373756e+20,1.7181851970493134e+25
1.3667163564620101e+28,1.776049973618338e+20,2.0557015054022946e+25
1.6351885566624925e+28,2.3865292184700767e+20,2.459519194424615e+25
1.9563983435170729e+28,3.205789220024536e+20,2.9426625645147276e+25
2.340705273970628e+28,4.304014597265214e+20,3.520714513041256e+25
2.8005038941836252e+28,5.77459997365708e+20,4.212319130574644e+25
3.350623484533604e+28,7.745217145731136e+20,5.039783096210796e+25
4.008806328898464e+28,1.0381371982508588e+21,6.029795183035256e+25
4.796279933211698e+28,1.3905037818037333e+21,7.214287206898056e+25
5.738441648302404e+28,1.8613082473957656e+21,8.631463991621612e+25
6.865677777260413e+28,2.4893069994727393e+21,1.0327035913158589e+26
8.214343584919455e+28,3.3264714824530306e+21,1.235569333286964e+26
9.827935816415687e+28,4.4411379258563856e+21,1.4782870887836798e+26
1.1758495540521534e+29,5.923095520992037e+21,1.76868585672753e+26
1.406828656181537e+29,7.89110750275469e+21,2.1161327300897185e+26
1.683180353330955e+29,1.0500792128033113e+22,2.531835101105721e+26
2.01381745345521e+29,1.395638533371531e+22,3.0292022501531272e+26
2.409403560239527e+29,1.8525251713835295e+22,3.624277974259838e+26
2.8826969922892382e+29,2.4555757628044117e+22,4.3362582561133606e+26
3.448962260405767e+29,3.2502620543839235e+22,5.18811063827461e+26
4.1264623737844884e+29,4.2956541024630334e+22,6.20731532441541e+26
4.937047852839024e+29,5.668515727505502e+22,7.42675194497158e+26
5.906861445308119e+29,7.468236027759657e+22,8.885760583511237e+26
7.067181273927476e+29,9.823267031612361e+22,1.0631411349505798e+27
8.455429608599176e+29,1.289949324654127e+23,1.2720023477540692e+27
1.011637979766207e+30,1.6910662628312357e+23,1.521898301320048e+27
1.2103600283829964e+30,2.213189427518294e+23,1.8208917806768795e+27
1.448118227674536e+30,2.891660180846659e+23,2.178630003830686e+27
1.732580680250015e+30,3.771838966404451e+23,2.6066560336051375e+27
2.0729217795953784e+30,4.9118684131640656e+23,3.118781413751253e+27
2.4801180997243767e+30,6.38619435958044e+23,3.731532062557396e+27
2.9673024081888604e+30,8.290071336173896e+23,4.464681834153054e+27
3.5501872199642123e+30,1.0745232324135067e+24,5.341890990911818e+27
4.247571552536894e+30,1.390717414107829e+24,6.391470222856526e+27
5.081947225899414e+30,1.797439498700767e+24,7.647294899944218e+27
6.080224261649427e+30,2.3200099271900044e+24,9.14989913429532e+27
7.27459877653638e+30,2.990712369741061e+24,1.094778500395601e+28
8.703591361485184e+30,3.0525851895821006e+24,2.4197621726259393e+28
1.0413289435570383e+31,3.0554753520955013e+24,2.6774566366932657e+28
1.2458833642950131e+31,3.059093912328679e+24,2.9857491166682017e+28
1.4906196231566074e+31,3.063657103238691e+24,3.354576044831977e+28
1.7834308769319058e+31,3.069461423354615e+24,3.7958253695807886e+28
2.133760782015392e+31,3.076884617127201e+24,4.323719860290154e+28
2.5529080682395165e+31,3.086446712274201e+24,4.955275700058197e+28
