number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
2.0904999999999998e+35,6.215e+29,3.1412392252030516e+32
2.2058999999999998e+35,6.4304e+29,3.314878725735005e+32
2.3114e+35,6.5813e+29,3.4736887658178005e+32
2.6425999999999996e+35,6.9945e+29,3.9724080144988605e+32
3.0532999999999994e+35,7.4685e+29,4.590841452987665e+32
3.5330999999999995e+35,8.0149e+29,5.313350741174192e+32
4.0764e+35,8.6443e+29,6.131667331414065e+32
4.679999999999999e+35,9.3667e+29,7.040758194706357e+32
5.3413999999999995e+35,1.0191e+30,8.037208061371865e+32
6.059399999999999e+35,1.1128e+30,9.118770043463752e+32
7.6608e+35,1.337e+30,1.1531927698372107e+33
1.0471e+36,1.7792e+30,1.576686210057999e+33
1.2616e+36,2.1547e+30,1.9000583233675062e+33
1.6246e+36,2.8565e+30,2.447490102736102e+33
2.0384e+36,3.7461e+30,3.0717654498866955e+33
2.6725999999999993e+36,5.2679e+30,4.028849839723533e+33
3.4064e+36,7.2304e+30,5.136655473034534e+33
4.474599999999999e+36,1.0405e+31,6.750190645420743e+33
5.725999999999999e+36,1.4513e+31,8.641351292518754e+33
7.496299999999999e+36,2.0894e+31,1.1318023965832746e+34
9.9795e+36,3.072e+31,1.507571936813138e+34
1.2513e+37,4.1574e+31,1.8911606470980118e+34
1.6546999999999998e+37,6.0234e+31,2.5024939196747953e+34
2.1404999999999997e+37,8.4613e+31,3.239383290721112e+34
2.4157e+37,9.9286e+31,3.6568550712443635e+34
2.7894e+37,1.2023e+32,4.224239215580917e+34
3.1940999999999996e+37,1.443e+32,4.8391675088726475e+34
3.6263999999999996e+37,1.7175e+32,5.496157544529261e+34
3.9887999999999995e+37,1.9626e+32,6.047184344612804e+34
4.4578e+37,2.3024e+32,6.760795956529838e+34
4.8425e+37,2.6018e+32,7.346245079959e+34
5.232699999999999e+37,2.9261e+32,7.940502004139784e+34
5.6264e+37,3.2756e+32,8.54015145939299e+34
6.0219e+37,3.6505e+32,9.143036433289646e+34
6.4183e+37,4.0509e+32,9.746999913400788e+34
6.716299999999999e+37,4.3681e+32,1.0201770033841618e+35
7.015399999999999e+37,4.6998e+32,1.065833766463992e+35
7.317399999999999e+37,5.0462e+32,1.1119399071331909e+35
