number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
8.67606736553658e+29,1e+20,1.3060526045627063e+27
1.0108723371281285e+30,1.2898902612533133e+20,1.5217176278428633e+27
1.1778027215365624e+30,1.6638168860761273e+20,1.7730064639189836e+27
1.3723039379736256e+30,2.1461411978584103e+20,2.0657990890431354e+27
1.5989373629249557e+30,2.768286630392061e+20,2.4069619794689855e+27
1.8630081147261764e+30,3.57078596490047e+20,2.804481205170505e+27
2.1707044373546832e+30,4.605922041145094e+20,3.267672251740918e+27
2.5292355188554983e+30,5.941133984965039e+20,3.807387485973399e+27
2.9470084423638383e+30,7.663410868007431e+20,4.4362825298818563e+27
3.433810911201664e+30,9.884959046625586e+20,5.169091326907155e+27
4.001056682637904e+30,1.2750512407130181e+21,6.022995606922735e+27
4.6620458428761e+30,1.6446761779946628e+21,7.018016692798759e+27
5.43227902851132e+30,2.1214517849106363e+21,8.17748851574203e+27
6.329821875920285e+30,2.736439997074666e+21,9.52860624182374e+27
7.375729911822793e+30,3.529707302730657e+21,1.1103065884355873e+28
8.59454392747663e+30,4.552935074866938e+21,1.2937810019743457e+28
1.0014867551816703e+31,5.872786613189489e+21,1.507589724272137e+28
1.1670040690846624e+31,7.575250258771889e+21,1.75675159354e+28
1.3598924778194037e+31,9.771241535346502e+21,2.0471166353231757e+28
1.5846818441329168e+31,1.2603829296797223e+22,2.385503903474777e+28
1.8466525297301428e+31,1.6257556664437933e+22,2.779862222274488e+28
2.1519599228836626e+31,2.0970464013232393e+22,3.239457645975227e+28
2.5077797636761527e+31,2.7049597304631315e+22,3.7750922266093016e+28
2.922477270541097e+31,3.489101213406781e+22,4.399358611776186e+28
3.405805038988214e+31,4.5005576757004886e+22,5.1269379555395695e+28
3.9691333402575047e+31,5.805225516094908e+22,5.974946603713062e+28
4.625719023634726e+31,7.4881038575899995e+22,6.963340892659339e+28
5.391019186815396e+31,9.658832241158708e+22,8.115389341591781e+28
6.283057146977215e+31,1.2458833642950133e+23,9.458223578222308e+28
7.3228494674174085e+31,1.6070528182616383e+23,1.1023481177593247e+29
8.534904268116343e+31,2.0729217795953783e+23,1.2848055812278434e+29
9.947802771966677e+31,2.673841615839944e+23,1.4974972706693026e+29
1.1594878054475707e+32,3.448962260405767e+23,1.7454410423484717e+29
1.3515007323758603e+32,4.448782831127576e+23,2.0344893561559904e+29
1.5753540959707424e+32,5.7384416483024045e+23,2.371469133594059e+29
1.8363361630337722e+32,7.401959996915622e+23,2.7643411983713823e+29
2.140618665088111e+32,9.547716114208067e+23,3.2223963354975355e+29
2.4953998907562267e+32,1.2315506032928211e+24,3.756470706219941e+29
2.909078745227795e+32,1.5885651294280528e+24,4.379207882480287e+29
3.3914552237695045e+32,2.0490746898158543e+24,5.10536064778741e+29
3.953965113297174e+32,2.643081486974103e+24,5.95214432855222e+29
4.609954242190848e+32,3.4092850697468215e+24,6.939649666139753e+29
5.374998980980823e+32,4.3976036093027124e+24,8.091325321408782e+29
6.2672808869496415e+32,5.672426068491989e+24,9.434541896078812e+29
7.30802469672258e+32,7.316807143427177e+24,1.100125132956106e+30
8.522010496401024e+32,9.43787827777539e+24,1.2828757977769028e+30
9.938172755578547e+32,1.217382727739667e+25,1.4960620476776116e+30
1.1590301117519116e+33,1.5702901247293776e+25,1.744770681650221e+30
1.3517860428745644e+33,2.0255019392306583e+25,2.0349428951999135e+30
1.5766950544070718e+33,2.6126752255633264e+25,2.3735187878093763e+30
1.8391430040997958e+33,3.3700643292719386e+25,2.7686065512709155e+30
2.145423221859573e+33,4.347013158125018e+25,3.2296806123120867e+30
2.502890676551002e+33,5.607169938205469e+25,3.7678137576360353e+30
2.9201426396225513e+33,7.232633896483578e+25,4.395949160579714e+30
3.407230474764943e+33,9.329304026284696e+25,5.129219282252069e+30
3.975908010660819e+33,1.2033778407775855e+26,5.985319867480349e+30
4.639922934312688e+33,1.552225357427048e+26,6.98494873341177e+30
5.415358805096044e+33,2.0022003718155926e+26,8.152320800942051e+30
6.321036670783863e+33,2.5826187606826747e+26,9.51577290092059e+30
7.378986907640812e+33,3.331294787934684e+26,1.1108474360691683e+31
8.615003861452984e+33,4.297004704320835e+26,1.2969262323749e+31
1.0059298195796181e+34,5.5426645206631184e+26,1.5143624267878601e+31
1.1747264636051442e+34,7.149428986597563e+26,1.7684854383122213e+31
1.3720386126282944e+34,9.221978823334341e+26,2.06554154916929e+31
1.6027299404369377e+34,1.1895340673703256e+27,2.4128544208829548e+31
1.8725051791242583e+34,1.5343684089300132e+27,2.8190144271937263e+31
2.18805847550014e+34,1.9791668678535493e+27,3.2941021665743206e+31
2.557248676580624e+34,2.5529080682395166e+27,3.8499525669979444e+31
2.989306652969655e+34,3.2929712550971614e+27,4.50046728979821e+31
3.495080661291724e+34,4.2475715525368943e+27,5.261984487620249e+31
4.087327436204369e+34,5.478901179593956e+27,6.153717521088007e+31
4.781057321813784e+34,7.067181273927534e+27,7.198275179186011e+31
5.59394472865602e+34,9.115888299750837e+27,8.422280440057035e+31
6.5468165895241515e+34,1.1758495540521533e+28,9.857106911116712e+31
7.664234755436266e+34,1.5167168884709241e+28,1.1539757025856302e+32
8.975191644557121e+34,1.9563983435170729e+28,1.351391117474815e+32
1.0513942837738886e+35,2.5235391704347657e+28,1.5831183575007978e+32
1.2321005788848387e+35,3.2550885998350432e+28,1.8552628968068036e+32
1.44443607260068e+35,4.19870708444394e+28,2.1750554689490257e+32
1.694089859446507e+35,5.415871378079487e+28,2.5510705940505218e+32
1.9878172102247793e+35,6.985879746785235e+28,2.993490906661141e+32
